"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00191204588910134,0.00431331953071084,0.633099002985284,2.4088187136687,0,196,"c(""EGR1"", ""GADD45B"", ""FOS"", ""NFKBIA"", ""GEM"", ""MYC"", ""HES1"", ""SAT1"", ""FJX1"", ""TNFRSF9"", ""CYR61"", ""PTX3"", ""ID2"", ""KLF9"", ""RHOB"", ""PTGS2"", ""RIPK2"", ""MARCKS"", ""PHLDA2"", ""DUSP1"", ""FOSB"", ""DUSP4"", ""G0S2"", ""PANX1"", ""BHLHE40"", ""CCND1"", ""NAMPT"", ""EGR3"", ""JUN"", ""IER5"", ""PLAU"", ""PFKFB3"", ""NFKB2"", ""JUNB"", ""TNC"", ""TRIB1"", ""RELB"", ""BMP2"", ""TNFAIP3"", ""SDC4"", ""IL15RA"", ""ETS2"", ""SLC2A6"", ""GCH1"", ""KLF4"", ""INHBA"", ""LDLR"", ""ATF3"", ""F2RL1"", ""IER3"", ""B4GALT5"", ""KLF6"", ""CD83"", ""TNIP1"", ""TNFSF9"", ""DUSP5"", ""CSF1"", ""LAMB3"", 
""CCL20"", ""CXCL1"", ""PHLDA1"", ""CXCL2"", ""ICAM1"", ""SOD2"", ""FUT4"", ""MAFF"", ""ATP2B1"", ""CD44"", ""CEBPD"", ""IFIH1"", ""SGK1"", ""MAP2K3"", ""CEBPB"", ""TNFAIP8"", ""NR4A1"", ""B4GALT1"", ""NR4A2"", ""NINJ1"", ""TAP1"", ""PMEPA1"", ""CCL2"", ""TNF"", ""IER2"", ""ZBTB10"")"
"HALLMARK_HYPOXIA",0.00191204588910134,0.00431331953071084,0.538213251327889,2.04779686214927,0,196,"c(""PGK1"", ""FOS"", ""LDHA"", ""SLC37A4"", ""HSPA5"", ""NDRG1"", ""CYR61"", ""PGM1"", ""CSRP2"", ""TPI1"", ""KDELR3"", ""DUSP1"", ""FAM162A"", ""COL5A1"", ""EXT1"", ""ENO1"", ""BHLHE40"", ""ADORA2B"", ""MIF"", ""PFKP"", ""JUN"", ""AKAP12"", ""SDC2"", ""GALK1"", ""TPST2"", ""GPI"", ""CITED2"", ""GPC1"", ""PRDX5"", ""PFKFB3"", ""GAPDH"", ""CHST2"", ""SCARB1"", ""B3GALT6"", ""TNFAIP3"", ""SDC4"", ""ERRFI1"", ""TPBG"", ""ATF3"", ""IER3"", ""ALDOA"", ""CTGF"", ""GAA"", ""KLF6"", ""GPC4"", ""CA12"", ""HMOX1"", ""PGM2"", ""PCK1"", ""GPC3"", ""AK4"", ""EGFR"", ""BCL2"", ""LOX"", ""TGM2"", ""MAFF"", ""CHST3"", ""ALDOC"", 
""CXCR4"", ""SIAH2"")"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00198412698412698,0.00431331953071084,0.579533682226607,1.94954432486525,0,73,"c(""SCD"", ""DHCR7"", ""HMGCS1"", ""EBP"", ""CYP51A1"", ""SQLE"", ""CD9"", ""ALCAM"", ""FASN"", ""LGMN"", ""ACTG1"", ""FABP5"", ""ERRFI1"", ""LDLR"", ""ATF3"", ""S100A11"", ""ECH1"", ""STARD4"", ""CXCL16"", ""IDI1"", ""FDFT1"", ""CBS"", ""FADS2"", ""ACAT2"", ""SREBF2"", ""TMEM97"", ""ALDOC"", ""ABCA2"", ""MVK"", ""LGALS3"", ""NFIL3"", ""LPL"", ""PMVK"", ""NSDHL"", ""MAL2"", ""PDK3"")"
"HALLMARK_ADIPOGENESIS",0.00187265917602996,0.00431331953071084,0.519685315794013,1.98279727707478,0,192,"c(""DHCR7"", ""ACLY"", ""SLC1A5"", ""PGM1"", ""UQCR11"", ""SORBS1"", ""ALDH2"", ""DHRS7"", ""ESRRA"", ""MDH2"", ""APLP2"", ""PFKFB3"", ""ATP1B3"", ""SCARB1"", ""GPX4"", ""CMPK1"", ""CYC1"", ""CD151"", ""GRPEL1"", ""UQCRC1"", ""COL4A1"", ""TST"", ""ENPP2"", ""TKT"", ""APOE"", ""COX6A1"", ""SLC25A10"", ""PPP1R15B"", ""SOD1"", ""PRDX3"", ""PIM3"", ""ALDOA"", ""COX7B"", ""SLC5A6"", ""LAMA4"", ""SLC19A1"", ""MTCH2"", ""DNAJB9"", ""NDUFAB1"", ""UQCR10"", ""ECH1"", ""STOM"", ""ARL4A"", ""NDUFB7"", ""SDHC"", ""CHCHD10"", ""MGST3"", ""ME1"", ""PDCD4"", ""CD302"", ""VEGFB"", ""AK2"", ""UQCRQ"", ""PEMT"", ""PQLC3"", 
""COX8A"", ""PREB"", ""RREB1"", ""IMMT"", ""REEP5"", ""ECHS1"", ""CS"", ""COQ3"", ""SDHB"", ""DHRS7B"", ""REEP6"", ""LPCAT3"", ""DGAT1"", ""ANGPT1"", ""RTN3"", ""ETFB"", ""SUCLG1"", ""LPL"", ""ATP5O"", ""BCL2L13"", ""SCP2"", ""NMT1"", ""IDH3G"", ""COL15A1"", ""DLD"", ""ARAF"", ""PTRF"", ""GPX3"", ""ACADS"", ""FZD4"", ""DNAJC15"", ""RNF11"", ""HADH"", ""TALDO1"", ""PPARG"", ""DLAT"", ""MRPL15"", ""GADD45A"", ""IFNGR1"", ""JAGN1"", ""CHUK"")"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00190839694656489,0.00431331953071084,0.536849130460818,2.04603299135704,0,198,"c(""PMAIP1"", ""FOS"", ""MYC"", ""HES1"", ""DHCR7"", ""GJA1"", ""ABCA3"", ""ASB13"", ""ADCY1"", ""BHLHE40"", ""CCND1"", ""SLC16A1"", ""FOXC1"", ""GLA"", ""EGR3"", ""RAB31"", ""FASN"", ""FARP1"", ""SLC7A5"", ""RPS6KA2"", ""TIAM1"", ""TUBB2B"", ""SCARB1"", ""SLC7A2"", ""CHPT1"", ""NPY1R"", ""MYBBP1A"", ""SLC27A2"", ""PPIF"", ""KLF4"", ""SLC19A2"", ""TPBG"", ""TPD52L1"", ""NBL1"", ""ABLIM1"", ""CA12"", ""XBP1"", ""ENDOD1"", ""PODXL"", ""SLC39A6"", ""ELOVL5"", ""FDFT1"", ""PRSS23"", ""UGCG"", ""BCL2"", ""TGM2"", ""GREB1"", ""SIAH2"", ""FHL2"", ""KCNK15"", ""CD44"", ""ELF1"", ""RASGRP1"", ""KAZN"", ""MYB"", ""B4GALT1"", 
""ISG20L2"", ""IGF1R"", ""DLC1"", ""RET"", ""CALB2"", ""AKAP1"", ""WWC1"", ""SULT2B1"", ""SLC1A4"", ""PTGES"", ""DYNLT3"", ""MAPT"", ""HR"", ""IGFBP4"", ""ESRP2"", ""RHOBTB3"", ""MAST4"", ""REEP1"", ""FKBP5"", ""WISP2"", ""KRT18"", ""NCOR2"", ""NXT1"", ""AREG"", ""SLC26A2"", ""SYNGR1"", ""SLC22A5"", ""CELSR2"", ""FKBP4"", ""CISH"", ""KRT13"", ""WFS1"", ""PDLIM3"", ""CYP26B1"")"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00190839694656489,0.00431331953071084,0.568611733046624,2.16566831045991,0,194,"c(""FOS"", ""CA2"", ""DHCR7"", ""CKB"", ""GAL"", ""ABCA3"", ""ID2"", ""IDH2"", ""SLC29A1"", ""CCND1"", ""SLC16A1"", ""CD9"", ""FOXC1"", ""GLA"", ""EGR3"", ""RAB31"", ""FARP1"", ""SLC7A5"", ""RPS6KA2"", ""RNASEH2A"", ""TIAM1"", ""SORD"", ""SCARB1"", ""PERP"", ""CHPT1"", ""NPY1R"", ""FABP5"", ""SLC27A2"", ""TST"", ""ASS1"", ""PPIF"", ""KLF4"", ""TPBG"", ""COX6C"", ""TPD52L1"", ""PRKAR2B"", ""NBL1"", ""TSPAN13"", ""CA12"", ""UNC13B"", ""XBP1"", ""NMU"", ""DNAJC12"", ""EMP2"", ""ELOVL5"", ""FDFT1"", ""PLAC1"", ""CDH1"", ""HOMER2"", ""PRSS23"", ""BCL2"", ""TFPI2"", ""PDCD4"", ""SIAH2"", ""CD44"", ""CHST8"", ""MYB"", 
""SGK1"", ""IGSF1"", ""RET"", ""SERPINA3"", ""SULT2B1"", ""NAB2"", ""SLC1A4"", ""CACNA2D2"", ""DCXR"", ""HPRT1"", ""PTGES"", ""DYNLT3"", ""MAPT"", ""ETFB"", ""GINS2"", ""HR"", ""IGFBP4"", ""FKBP5"", ""WISP2"", ""DUSP2"", ""NCOR2"", ""NXT1"", ""IMPA2"", ""AREG"", ""SLC26A2"", ""SLC22A5"", ""CELSR2"", ""FKBP4"", ""CISH"", ""KRT13"", ""CCNA1"", ""WFS1"", ""PDLIM3"", ""CYP26B1"", ""TFAP2C"", ""SERPINA5"", ""PRLR"", ""ST14"", ""IL17RB"", ""LLGL2"", ""SNX10"", ""MYOF"", ""LAMC2"", ""OVOL2"")"
"HALLMARK_ANDROGEN_RESPONSE",0.00192678227360308,0.00431331953071084,0.583812249547952,2.04865532880204,0,99,"c(""SCD"", ""INSIG1"", ""SAT1"", ""NDRG1"", ""DHCR24"", ""ADAMTS1"", ""DBI"", ""HMGCS1"", ""ANKH"", ""CCND1"", ""SLC38A2"", ""FADS1"", ""AKAP12"", ""CAMKK2"", ""UAP1"", ""SPCS3"", ""GUCY1A3"", ""SORD"", ""PA2G4"", ""TMEM50A"", ""SMS"", ""HPGD"", ""DNAJB9"", ""B2M"", ""IDI1"", ""ELOVL5"", ""MAF"", ""UBE2J1"", ""SRP19"", ""CDK6"", ""ALDH1A3"", ""HOMER2"", ""ACTN1"", ""SEC24D"", ""GSR"", ""ABCC4"", ""SGK1"", ""TNFAIP8"", ""B4GALT1"", ""TPD52"", ""LMAN1"", ""PMEPA1"", ""SRF"", ""ZBTB10"", ""RAB4A"", ""FKBP5"", ""ELL2"", ""PDLIM5"", ""SLC26A2"", ""IQGAP2"", ""HMGCR"", ""MAP7"")"
"HALLMARK_COMPLEMENT",0.00189753320683112,0.00431331953071084,0.440792891659679,1.67444564521253,0,187,"c(""CA2"", ""HSPA5"", ""CTSC"", ""FN1"", ""HPCAL4"", ""CALM3"", ""GNB4"", ""LGMN"", ""MMP15"", ""CALM1"", ""TNFAIP3"", ""CD55"", ""CTSB"", ""HSPA1A"", ""COL4A2"", ""S100A13"", ""PFN1"", ""LTA4H"", ""DUSP5"", ""TIMP1"", ""CASP7"", ""APOC1"", ""CSRP1"", ""TFPI2"", ""CDA"", ""SH2B3"", ""CXCL1"", ""ME1"", ""TIMP2"", ""MAFF"", ""ADAM9"", ""FDX1"", ""RASGRP1"", ""CEBPB"", ""USP14"", ""DYRK2"", ""PSMB9"", ""CD46"", ""ATOX1"", ""DPP4"", ""MMP12"", ""LYN"", ""PREP"", ""ADRA2B"", ""ERAP2"", ""LGALS3"", ""DUSP6"", ""GZMB"", ""LAP3"", ""LIPA"", ""SERPING1"", ""KCNIP3"", ""CTSH"", ""KLK1"", ""PLA2G4A"", ""RABIF"", ""PDP1"", 
""EHD1"", ""PHEX"", ""OLR1"", ""C1R"", ""PRKCD"", ""LRP1"", ""PRCP"", ""PIK3R5"", ""CD59"", ""GNG2"")"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00189393939393939,0.00431331953071084,0.563399676063738,2.01437462774953,0,110,"c(""SSR1"", ""ASNS"", ""HSPA5"", ""NFYA"", ""NHP2"", ""PDIA6"", ""KDELR3"", ""LSM4"", ""NOLC1"", ""MTHFD2"", ""EIF4EBP1"", ""EIF4A1"", ""HSP90B1"", ""EXOSC2"", ""SRPRB"", ""PSAT1"", ""SLC7A5"", ""SPCS3"", ""CALR"", ""SERP1"", ""DCTN1"", ""ATF3"", ""FKBP14"", ""XBP1"", ""DNAJB9"", ""IARS"", ""HYOU1"", ""ALDH18A1"", ""PDIA5"", ""IMP3"", ""GEMIN4"", ""YIF1A"", ""NPM1"", ""EIF4G1"", ""DKC1"", ""TATDN2"", ""EIF4A3"", ""CEBPB"", ""XPOT"", ""NOP14"", ""PREB"", ""EXOSC4"", ""CCL2"", ""SPCS1"", ""CHAC1"", ""SLC1A4"", ""YWHAZ"", ""BANF1"", ""ARFGAP1"", ""SLC30A5"", ""H2AFX"", ""TUBB2A"", ""RPS14"", ""EXOC2"", ""NOP56"", 
""WFS1"")"
"HALLMARK_MTORC1_SIGNALING",0.00190839694656489,0.00431331953071084,0.605901441949321,2.30920433581589,0,198,"c(""PGK1"", ""RRM2"", ""SCD"", ""PNP"", ""INSIG1"", ""LDHA"", ""RPN1"", ""SSR1"", ""IGFBP5"", ""ASNS"", ""DHCR7"", ""SLC37A4"", ""HSPA5"", ""ACLY"", ""DHCR24"", ""TFRC"", ""CTSC"", ""PPIA"", ""SLC1A5"", ""PGM1"", ""TPI1"", ""SDF2L1"", ""BCAT1"", ""HMGCS1"", ""TUBG1"", ""EBP"", ""ENO1"", ""MTHFD2"", ""CYP51A1"", ""SQLE"", ""BHLHE40"", ""CD9"", ""FADS1"", ""NAMPT"", ""GLA"", ""HSP90B1"", ""LGMN"", ""PRDX1"", ""PSAT1"", ""SLC7A5"", ""ATP5G1"", ""GPI"", ""CALR"", ""GAPDH"", ""SERP1"", ""SORD"", ""SHMT2"", ""HMBS"", ""ATP2A2"", ""IFI30"", ""ABCF2"", ""LDLR"", ""PPA1"", ""ALDOA"", ""LTA4H"", ""XBP1"", ""PSMB5"", ""PHGDH"", 
""GOT1"", ""STARD4"", ""TOMM40"", ""IDI1"", ""ELOVL5"", ""PSPH"", ""EIF2S2"", ""FADS2"", ""CCT6A"", ""AK4"", ""NUP205"", ""PLOD2"", ""ME1"", ""POLR3G"", ""TMEM97"", ""GSR"", ""CXCR4"", ""G6PD"", ""MAP2K3"", ""EGLN3"", ""RDH11"", ""PSMA4"", ""IMMT"", ""SRD5A1"", ""HK2"", ""FKBP2"", ""SLC1A4"", ""HPRT1"", ""EPRS"", ""NFIL3"", ""MCM4"")"
