Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_COMPLEMENT,,,0.0,1000000000.0,200,11,ITIH1;HSPA1A;CDA;DUSP5;MAFF;FN1;CA2;APOC1;USP15;CSRP1;F8,ITIH1;HSPA1A;CDA;DUSP5;MAFF;FN1;CA2;APOC1;USP15;CSRP1;F8
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,,,0.0,1000000000.0,200,22,ECM1;GLIPR1;DKK1;TGM2;LAMA1;FZD8;CTGF;CRLF1;SPARC;GAS1;COL5A1;CYR61;SAT1;FN1;GJA1;FAS;ACTA2;COL3A1;ANPEP;CD44;LUM;SFRP1,ECM1;GLIPR1;DKK1;TGM2;LAMA1;FZD8;CTGF;CRLF1;SPARC;GAS1;COL5A1;CYR61;SAT1;FN1;GJA1;FAS;ACTA2;COL3A1;ANPEP;CD44;LUM;SFRP1
HALLMARK_ESTROGEN_RESPONSE_EARLY,,,0.0,1000000000.0,200,10,CA12;TGM2;NPY1R;GJA1;HES1;DHCR7;GAB2;SYT12;CD44;EGR3,CA12;TGM2;NPY1R;GJA1;HES1;DHCR7;GAB2;SYT12;CD44;EGR3
HALLMARK_GLYCOLYSIS,,,0.0,1000000000.0,200,12,CHST2;CXCR4;ADORA2B;COL5A1;B3GALT6;KDELR3;SLC37A4;CYB5A;MIF;LDHC;TKTL1;CD44,CHST2;CXCR4;ADORA2B;COL5A1;B3GALT6;KDELR3;SLC37A4;CYB5A;MIF;LDHC;TKTL1;CD44
HALLMARK_HYPOXIA,,,0.0,1000000000.0,200,22,CA12;TGM2;CHST2;ALDOC;CTGF;CXCR4;MAFF;ADORA2B;COL5A1;CYR61;B3GALT6;KDELR3;NDRG1;SLC37A4;MIF;PDK1;LDHC;PHKG1;BCAN;TKTL1;EDN2;PCK1,CA12;TGM2;CHST2;ALDOC;CTGF;CXCR4;MAFF;ADORA2B;COL5A1;CYR61;B3GALT6;KDELR3;NDRG1;SLC37A4;MIF;PDK1;LDHC;PHKG1;BCAN;TKTL1;EDN2;PCK1
HALLMARK_IL2_STAT5_SIGNALING,,,0.0,1000000000.0,200,10,ECM1;IL18R1;TGM2;MAFF;CA2;NDRG1;LIF;CAPN3;CD44;ETV4,ECM1;IL18R1;TGM2;MAFF;CA2;NDRG1;LIF;CAPN3;CD44;ETV4
HALLMARK_KRAS_SIGNALING_DN,,,0.0,1000000000.0,200,12,ZBTB16;SNCB;CHST2;COL2A1;PAX3;SKIL;RIBC2;CYP39A1;FGGY;C5;GPR19;EDN2,ZBTB16;SNCB;CHST2;COL2A1;PAX3;SKIL;RIBC2;CYP39A1;FGGY;C5;GPR19;EDN2
HALLMARK_KRAS_SIGNALING_UP,,,0.0,1000000000.0,200,16,ETV5;MMP11;GUCY1A3;CXCR4;TMEM158;IGF2;PCSK1N;CA2;RBM4;SNAP91;LAT2;LCP1;LIF;CCL20;ETV4;KCNN4,ETV5;MMP11;GUCY1A3;CXCR4;TMEM158;IGF2;PCSK1N;CA2;RBM4;SNAP91;LAT2;LCP1;LIF;CCL20;ETV4;KCNN4
HALLMARK_P53_PATHWAY,,,0.0,1000000000.0,200,14,ZBTB16;VDR;SAT1;PROCR;NDRG1;RPS27L;SESN1;TRAFD1;PLK2;PLK3;FAS;LIF;GLS2;NHLH2,ZBTB16;VDR;SAT1;PROCR;NDRG1;RPS27L;SESN1;TRAFD1;PLK2;PLK3;FAS;LIF;GLS2;NHLH2
HALLMARK_TNFA_SIGNALING_VIA_NFKB,,,0.0,1000000000.0,200,21,DUSP4;FOSB;SLC2A6;DUSP5;IL15RA;FJX1;MAFF;CYR61;SAT1;JUNB;HES1;PLK2;LIF;LAMB3;IFIH1;CCL20;CD44;CLCF1;CXCL2;EGR3;ICAM1,DUSP4;FOSB;SLC2A6;DUSP5;IL15RA;FJX1;MAFF;CYR61;SAT1;JUNB;HES1;PLK2;LIF;LAMB3;IFIH1;CCL20;CD44;CLCF1;CXCL2;EGR3;ICAM1
