Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_COMPLEMENT,,,0.0,1000000000.0,200,11,NPIPA8;MMP24;LINC01057;ADM5;STAC3;KRTAP19-1;TSC22D3;MVP;BORCS8-MEF2B;SESN1;FAM185A,NPIPA8;MMP24;LINC01057;ADM5;STAC3;KRTAP19-1;TSC22D3;MVP;BORCS8-MEF2B;SESN1;FAM185A
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,,,0.0,1000000000.0,200,22,P2RX5;LGI2;DNAH10;CDH1;HES5;SNAI1;NPY1R;C3orf52;C1QL1;PRR7;GJA1;AC006011.4;TFRC;PYCR1;NT5C2;FAM188A;CEP95;MVP;GGNBP2;GVQW2;RP4-740C4.5;KLHDC1,P2RX5;LGI2;DNAH10;CDH1;HES5;SNAI1;NPY1R;C3orf52;C1QL1;PRR7;GJA1;AC006011.4;TFRC;PYCR1;NT5C2;FAM188A;CEP95;MVP;GGNBP2;GVQW2;RP4-740C4.5;KLHDC1
HALLMARK_ESTROGEN_RESPONSE_EARLY,,,0.0,1000000000.0,200,10,ALOXE3;CDH1;SOWAHA;C3orf52;NMB;GGNBP2;MBTD1;LYSMD1;CCDC191;SNX19,ALOXE3;CDH1;SOWAHA;C3orf52;NMB;GGNBP2;MBTD1;LYSMD1;CCDC191;SNX19
HALLMARK_GLYCOLYSIS,,,0.0,1000000000.0,200,12,CDH1;FAM150A;CA2;PRDX4;NT5C2;ING4;C5orf51;KIF18A;TEX10;MYL5;KIF27;ICAM1,CDH1;FAM150A;CA2;PRDX4;NT5C2;ING4;C5orf51;KIF18A;TEX10;MYL5;KIF27;ICAM1
HALLMARK_HYPOXIA,,,0.0,1000000000.0,200,22,WNT8B;HSPA1A;SOWAHA;C3orf52;FAM150A;MFSD3;GJA1;CA2;TSC22D3;PRDX4;NT5C2;FAM188A;ING4;C5orf51;LRSAM1;KIF18A;MYL5;FAM212B;KIF27;EDN2;HHIPL2;ICAM1,WNT8B;HSPA1A;SOWAHA;C3orf52;FAM150A;MFSD3;GJA1;CA2;TSC22D3;PRDX4;NT5C2;FAM188A;ING4;C5orf51;LRSAM1;KIF18A;MYL5;FAM212B;KIF27;EDN2;HHIPL2;ICAM1
HALLMARK_IL2_STAT5_SIGNALING,,,0.0,1000000000.0,200,10,LINC00694;ZBTB16;CDH1;HES5;TMEM51;C3orf52;TSC22D3;BORCS8-MEF2B;LRSAM1;LGI3,LINC00694;ZBTB16;CDH1;HES5;TMEM51;C3orf52;TSC22D3;BORCS8-MEF2B;LRSAM1;LGI3
HALLMARK_KRAS_SIGNALING_DN,,,0.0,1000000000.0,200,12,WNT8B;FZD8;CA8;FAM150A;ZNF622;C8orf44;CYP39A1;ADAMTS7P4;RNF103-CHMP3;IFIH1;CNTD1;PCDHGC4,WNT8B;FZD8;CA8;FAM150A;ZNF622;C8orf44;CYP39A1;ADAMTS7P4;RNF103-CHMP3;IFIH1;CNTD1;PCDHGC4
HALLMARK_KRAS_SIGNALING_UP,,,0.0,1000000000.0,200,16,C2orf88;LINC00694;MAFA;NPTX2;ISOC2;CA2;NDRG1;DBI;ATF5;BORCS8-MEF2B;PDK1;HIST1H2AG;CACNG6;CYP4F22;LGI3;TMEM253,C2orf88;LINC00694;MAFA;NPTX2;ISOC2;CA2;NDRG1;DBI;ATF5;BORCS8-MEF2B;PDK1;HIST1H2AG;CACNG6;CYP4F22;LGI3;TMEM253
HALLMARK_P53_PATHWAY,,,0.0,1000000000.0,200,14,TMEM92;FZD8;AGAP2;CEP95;C1orf112;LRSAM1;LIN37;KDM4C;TEX9;UBE2F-SCLY;TBC1D19;GVQW2;LGI3;RSPH10B,TMEM92;FZD8;AGAP2;CEP95;C1orf112;LRSAM1;LIN37;KDM4C;TEX9;UBE2F-SCLY;TBC1D19;GVQW2;LGI3;RSPH10B
HALLMARK_TNFA_SIGNALING_VIA_NFKB,,,0.0,1000000000.0,200,21,AC090286.2;ALOXE3;ANKK1;CDH1;SNCAIP;EMILIN2;A4GALT;MESDC1;KRTAP19-1;FAM84B;SLC37A4;TSC22D3;FAM188A;CEP95;LRRC37B;MBTD1;UBE2F-SCLY;LGI3;SLC30A10;TMEFF2;TMEM253,AC090286.2;ALOXE3;ANKK1;CDH1;SNCAIP;EMILIN2;A4GALT;MESDC1;KRTAP19-1;FAM84B;SLC37A4;TSC22D3;FAM188A;CEP95;LRRC37B;MBTD1;UBE2F-SCLY;LGI3;SLC30A10;TMEFF2;TMEM253
