Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_MTORC1_SIGNALING,0.8094585708054081,1.556393867032208,0.08366533864541832,0.3794339517985412,200,193,HSPD1;TCEA1;QDPR;CCT6A;WARS;DDIT3;CANX;ATP2A2;ELOVL5;PLOD2;PFKL;NUPR1;TMEM97;LTA4H;IDH1;SLC6A6;USO1;MCM4;MAP2K3;PSME3;HPRT1;DDIT4;EDEM1;YKT6;SLC7A11;CORO1A;ELOVL6;FAM129A;CCNF;PSMA4;PNO1;TRIB3;SLC9A3R1;EEF1E1;HSPE1;DDX39A;NMT1;EPRS;CCNG1;TXNRD1;TES;HK2;HSP90B1;HSPA5;FKBP2;GBE1;CTH;XBP1;GOT1;DHFR;PSMA3;PIK3R3;ADIPOR2;P4HA1;SLC1A4;ACACA;TM7SF2;NFIL3;SDF2L1;PLK1;CALR;AURKA;ACSL3;RIT1;SHMT2;GPI;SERP1;RPA1;M6PR;BUB1;PHGDH;MLLT11;SEC11A;SLC2A1;NAMPT;RAB1A;PITPNB;TOMM40;CDKN1A;TBK1;HMBS;GCLC;STIP1;PGM1;ABCF2;SSR1;VLDLR;ARPC5L;ETF1;G6PD;SORD;SQSTM1;PDAP1;GTF2H1;RPN1;UNG;GSK3B;PSMD13;BTG2;PGK1;MTHFD2;SLC7A5;CDC25A;GAPDH;GSR;HSPA4;BHLHE40;ASNS;CYB5B;TPI1;BCAT1;PNP;MTHFD2L;PSMD12;ATP5G1;GGA2;SLC2A3;NFKBIB;ACTR2;SKAP2;ITGB2;COPS5;HMGCS1;UCHL5;ENO1;FDXR;UBE2D3;DHCR7;ATP6V1D;SRD5A1;NFYC;TUBG1;LDHA;RRM2;ACTR3;PPA1;CTSC;PSMC6;SCD;GLRX;ACLY;HMGCR;FADS2;INSIG1;MCM2;PSAT1;PSMB5;SLC37A4;PSPH;SERPINH1;POLR3G;ADD3;NUFIP1;SLC1A5;PDK1;LGMN;ALDOA;AK4;NUP205;CACYBP;CYP51A1;FADS1;IDI1;SYTL2;PSMG1;SQLE;ME1;TUBA4A;EBP;STARD4;RRP9;EIF2S2;DHCR24;IFI30;PSMD14;PSMC2;PPIA;PSMC4;IMMT;UFM1;IGFBP5;GLA;IFRD1;CXCR4;PPP1R15A;CD9;LDLR;EGLN3;RDH11;HSPA9;TFRC;PRDX1;GMPS,HSPD1;TCEA1;QDPR;CCT6A;WARS;DDIT3;CANX;ATP2A2;ELOVL5;PLOD2;PFKL;NUPR1;TMEM97
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.7888790993844639,1.5828362025259075,0.07385229540918163,0.4074798236126133,105,93,TIAM1;PAK4;DDIT3;ITPR2;PPP2R1B;GNGT1;PIN1;ECSIT;MAP2K3;AP2M1;ARHGDIA;TRIB3;PLCG1;RALB;UBE2N;RIPK1;CAMK4;ARF1;PRKAA2;HSP90B1;GRB2;EIF4E;AKT1;MYD88;PIK3R3;PIKFYVE;MAPK8;ACACA;SFN;E2F1;TRAF2;RAF1;PTPN11;CALR;CDK1;DUSP3;CAB39L;RPS6KA1;PPP1CA;PRKAR2A;RIT1;CAB39;SLC2A1;ATF1;ARPC3;PRKAG1;CDKN1A;TBK1;IRAK4;EGFR;MAPK1;PLA2G12A;FGF17;STAT2;MAP3K7;MAPK9;SQSTM1;YWHAB;AKT1S1;GSK3B;CDKN1B;RPS6KA3;MKNK1;NCK1;NFKBIB;ACTR2;HRAS;PRKCB;CDK4;UBE2D3;CLTC;MAPKAP1;NOD1;ACTR3;PITX2;RPTOR;TSC2;PFN1;MKNK2;MAPK10;SMAD2;PDK1;CSNK2B;CDK2;TNFRSF1A;RAC1;CFL1;THEM4;PTEN;VAV3;MAP2K6;PLCB1;CXCR4,TIAM1;PAK4;DDIT3;ITPR2;PPP2R1B;GNGT1
HALLMARK_HEME_METABOLISM,0.8332096847797913,1.6005859622369705,0.07784431137724551,0.47086904068558116,200,170,HEBP1;TCEA1;MFHAS1;ICAM4;UROD;ISCA1;BLVRA;RHCE;UROS;BPGM;CLIC2;XK;SELENBP1;HDGF;NEK7;MAP2K3;NUDT4;TOP1;SPTB;GDE1;P4HA2;SLC7A11;FECH;ANK1;GYPC;KHNYN;UCP2;MOCOS;TMEM9B;ATG4A;FBXO34;MINPP1;CCND3;PPOX;BACH1;AQP3;LRP10;SLC11A2;LAMP2;FBXO9;ARHGEF12;SLC10A3;GCLM;NARF;BMP2K;TNS1;PGLS;ADD2;CTNS;RBM38;ABCB6;KLF3;MBOAT2;NNT;KAT2B;DCAF11;BCAM;MARCH8;EZH1;SLC6A8;PQLC1;MARCH2;DCUN1D1;ABCG2;RAD23A;LPIN2;LMO2;FN3K;HTATIP2;E2F2;SLC2A1;FOXO3;GAPVD1;ADIPOR1;BNIP3L;CAST;SLC4A1;RNF19A;SEC14L1;HMBS;GCLC;SLC30A1;SLC25A37;MKRN1;UBAC1;ATP6V0A1;NR3C1;EPOR;CROCCP2;BTRC;VEZF1;PICALM;MARK3;FBXO7;FTCD;BSG;DCAF10;BTG2;PPP2R5B;SYNJ1;CDC27;YPEL5;RNF123;RBM5;ADD1;SLC22A4;DAAM1;ASNS;OSBP2;SLC30A10;HTRA2;NCOA4;ALAD;CCDC28A;TNRC6B;PRDX2;TRAK2;MOSPD1;TFDP2;PIGQ;USP15;RIOK3;OPTN;ARL2BP;FOXJ2;SLC25A38;ERMAP;HBQ1;CLCN3;HIST1H4C;TMCC2;RCL1;GLRX5;TSPAN5;EPB41;SLC6A9;RAP1GAP;BLVRB;PSMD9;SIDT2;RANBP10;SNCA;AGPAT4;PC;H1F0;MGST3;ALDH6A1;CA2;ENDOD1;NFE2L1;CDR2;CPOX;TRIM58;C3;EIF2AK1;ELL2;CAT;MPP1;HAGH;CIR1;CTSB;MXI1;ACSL6;XPO7;IGSF3;TFRC;SDCBP;GMPS;FAM46C;SMOX,HEBP1;TCEA1;MFHAS1;ICAM4;UROD;ISCA1;BLVRA;RHCE;UROS
HALLMARK_COAGULATION,0.8656398304596822,1.632157710479397,0.06315789473684211,0.5532906231799651,138,74,CAPN2;MMP2;KLK8;C1R;PROS1;LTA4H;MAFF;GSN;F3;ITGA2;LRP1;PEF1;RABIF;S100A1;ADAM9;CTSK;CTSO;GP1BA;MMP14;CTSH;GNG12;ANXA1;RAPGEF3;LAMP2;ARF4;ANG;COMP;CLU;FYN;FURIN;DPP4;PRSS23;MASP2;CASP9;GNB2;TIMP3;CFB;BMP1;USP11;C2;CRIP2;SH2B2;F8;C1S;TF;SPARC;WDR1;TIMP1;CFD;APOC1;MST1;SERPING1;SIRT2;S100A13;PLAU;FBN1;MMP11;F12;PLAT;CAPN5;LGMN;P2RY1;TFPI2;ISCU;C3;RAC1;KLF7;HTRA1;CTSB;PREP;MSRB2;FN1;CD9;MMP15,CAPN2;MMP2;KLK8;C1R;PROS1;LTA4H;MAFF
HALLMARK_MITOTIC_SPINDLE,0.6972013510888267,1.3795504222823824,0.14910536779324055,0.5868684107306288,200,195,TIAM1;BCL2L11;FSCN1;DYNC1H1;LMNB1;WASF1;GSN;LLGL1;NIN;TBCD;TUBGCP3;PDLIM5;STK38L;DST;ARFIP2;PIF1;ARF6;TUBGCP2;PCGF5;CDC42;CENPF;RASA2;BCR;APC;ARHGDIA;AKAP13;TRIO;FGD6;CDC42BPA;ARHGAP29;SPTAN1;INCENP;YWHAE;ARAP3;SHROOM1;BIRC5;ARHGAP5;NOTCH2;SSH2;TUBD1;ARHGEF12;CD2AP;CENPE;ROCK1;CRIPAK;MYH10;ESPL1;ARHGEF11;LATS1;CDC42EP2;SPTBN1;KIF4A;ECT2;SASS6;MYH9;CCNB2;PLK1;KIF23;MAPRE1;KIF5B;PREX1;SUN2;KLC1;CDK1;RALBP1;LRPPRC;MYO9B;ABR;CDC42EP4;AURKA;NF1;ATG4B;FLNB;BIN1;BCAR1;PCNT;TAOK2;NUMA1;TUBGCP6;KIF3B;DOCK4;CDC42EP1;KATNB1;RHOT2;RICTOR;DLG1;BUB1;DLGAP5;KIF2C;KIF1B;CAPZB;TPX2;KIF11;MID1;CLIP1;TOP2A;ARHGEF7;SYNPO;CEP192;SOS1;CSNK1D;PPP4R2;KIF20B;ANLN;RABGAP1;MID1IP1;ARHGAP4;ARHGAP27;FARP1;CEP72;PAFAH1B1;EZR;WASL;CTTN;FBXO5;ABL1;ALMS1;DYNLL2;TTK;ARHGAP10;RACGAP1;TLK1;CCDC88A;RAPGEF6;RASA1;NCK2;TSC1;CKAP5;CLASP1;CNTROB;NET1;PRC1;MAP3K11;CENPJ;NDC80;RHOF;BRCA2;SMC4;FGD4;KIF15;WASF2;CDC27;MARK4;MAP1S;CDK5RAP2;KIF22;HOOK3;STAU1;KNTC1;PALLD;ALS2;CYTH2;NCK1;RANBP9;CLIP2;PXN;UXT;ITSN1;ARL8A;ARFGEF1;RAB3GAP1;PCM1;ABI1;KIF3C;ACTN4;SMC1A;NEK2;RAPGEF5;SMC3;EPB41L2;SAC3D1;ARHGEF3;KATNA1;PLEKHG2;EPB41;MYO1E;TUBGCP5;GEMIN4;RASAL2;NUSAP1;KIFAP3;PKD2;CNTRL;RFC1;SEPT9;TUBA4A;KPTN;ARHGEF2;VCL;CEP57;MARCKS;OPHN1;HDAC6;CEP250;FLNA,TIAM1;BCL2L11;FSCN1;DYNC1H1;LMNB1
HALLMARK_UV_RESPONSE_DN,-0.6394389594431771,-1.3030516154603846,0.20634920634920634,0.5881191741776443,144,129,RGS4;MMP16;CDON;TGFBR3;PAPD7;GCNT1;SCHIP1;TFPI;NEK7;F3;MET;PDLIM5;LTBP1;MIOS;MGLL;PPARG;ARHGEF9;RASA2;AGGF1;SYNE1;GRK5;ZMIZ1;PRDM2;NFKB1;SIPA1L1;CDC42BPA;AKT3;PTPRM;ATRN;PHF3;NOTCH2;VAV2;BMPR1A;FBLN5;CELF2;ATXN1;ATP2C1;PIK3R3;CACNA1A;NRP1;APBB2;SYNJ2;PIAS3;MAPK14;PIK3CD;FHL2;FYN;DAB2;ANXA2;NR1D2;DLG1;EFEMP1;DLC1;MTA1;ERBB2;PRKCA;TJP1;RND3;SFMBT1;CDK13;ABCC1;SRI;KALRN;COL5A2;VLDLR;DYRK1A;NR3C1;WDR37;YTHDC1;SCN8A;AMPH;ACVR2A;BCKDHB;SMAD3;SCAF8;CDKN1B;LPAR1;CAV1;BHLHE40;NIPBL;PTPN21;FAM179B;SPOP;SLC7A1;SNAI2;ANXA4;IRS1;MAGI2;SDC2;CAP2;RUNX1;MYC;ATP2B4;MAP1B;CITED2;DBP;PLCB4;ADORA2B;ATRX;INSIG1;RBPMS;ADD3;CYR61;GJA1;RXRA;PRKCE;NFIB;MRPS31;FZD2;MAP2K5;LAMC1;ATP5S;INPP4B;PTEN;ID1;IGFBP5;PRKAR2B;ATP2B1;PMP22;DDAH1;PEX14;ICA1;LDLR;IGF1R;TGFBR2;SMAD7;DUSP1;COL1A1;KIT,IGFBP5;PRKAR2B;ATP2B1;PMP22;DDAH1;PEX14;ICA1;LDLR;IGF1R;TGFBR2;SMAD7;DUSP1;COL1A1;KIT
HALLMARK_ALLOGRAFT_REJECTION,0.672508981795661,1.3294554733937667,0.18789144050104384,0.5951514269073966,200,101,ST8SIA4;HLA-E;PRKCG;B2M;WARS;CAPG;DARS;EIF4G3;DEGS1;F2R;LYN;GALNT1;GCNT1;CD7;IFNGR2;CD47;UBE2D1;IL11;INHBB;IFNGR1;UBE2N;CD40;CCND3;NPM1;ICOSLG;PSMB10;SOCS5;CD4;TPD52;AKT1;EIF3J;BCL3;HDAC9;TRAF2;ABCE1;DYRK3;MRPL3;HLA-DMA;RPL3L;BCL10;RPS3A;TLR6;RPL9;IL15;JAK2;ACHE;EGFR;APBB1;NME1;MAP4K1;MAP3K7;GLMN;STAT4;RPS19;ELF4;HIF1A;STAT1;IKBKB;C2;IL12A;ACVR2A;PTPN6;BCAT1;IL16;NCK1;RPS9;NOS2;ITGB2;PRKCB;IRF8;ABI1;RIPK2;TIMP1;ETS1;CDKN2A;HLA-DQA1;EIF5A;EIF3A;FAS;IL4R;BRCA1;LIF;HLA-DMB;TAP2;EIF3D;IFNAR2;WAS;CCND2;HLA-DOA;SOCS1;RPL39;RARS;CSF1;STAB1;AARS;MTIF2;IL27RA;TAP1;FLNA;TGFB1;CSK,ST8SIA4;HLA-E;PRKCG;B2M;WARS;CAPG;DARS;EIF4G3;DEGS1;F2R;LYN;GALNT1;GCNT1
HALLMARK_MYC_TARGETS_V2,0.8866743472115588,1.6901410255511211,0.06995884773662552,0.6401322905399783,58,58,HSPD1;NOP16;CBX3;TMEM97;AIMP2;MCM4;RABEPK;PPRC1;LAS1L;HSPE1;EXOSC5;NPM1;PUS1;HK2;IMP4;SRM;FARSA;PLK1;IPO4;MRTO4;GRWD1;MYBBP1A;TCOF1;PHB;PA2G4;SORD;DDX18;TBRG4;RRP12;UNG;PLK4;TFB2M;SLC19A1;GNL3;BYSL;SUPV3L1;CDK4;MYC;PPAN;MCM5;DUSP2;NDUFAF4;RCL1;PRMT3;UTP20;NIP7;DCTPP1;WDR43;MPHOSPH10;NOLC1;RRP9;WDR74;MAP3K6;SLC29A2;NOP56;PES1;NOP2;NOC4L,HSPD1;NOP16
HALLMARK_UV_RESPONSE_UP,-0.762997515150155,-1.5830757352156022,0.07926829268292683,0.6583339752972293,158,141,BCL2L11;GLS;MAOA;DGAT1;UROD;NPTXR;KLHDC3;RAB27A;PPT1;PPAT;LYN;CDKN1C;CHRNA5;LHX2;EPCAM;SOD2;HSPA2;HYAL2;H2AFX;YKT6;WIZ;ABCB1;PLCL1;CEBPG;RFC4;STK25;TYRO3;DNAJA1;CDO1;PRKCD;FKBP4;MMP14;CCND3;AQP3;HSPA13;EIF2S3;SHOX2;BTG3;CASP3;DLG4;CLTB;STARD3;SLC6A8;CHKA;ATF3;SLC6A12;MARK2;IL6ST;AP2S1;ATP6V1F;DNAJB1;FURIN;NXF1;BAK1;HMOX1;ATP6V1C1;TGFBRAP1;ONECUT1;GRPEL1;KCNH2;ENO2;STIP1;HNRNPU;SIGMAR1;SQSTM1;PDAP1;CCNE1;TST;RPN1;CDC34;BSG;CLCN2;BTG2;ACAA1;PRKACA;ASNS;CYB5B;POLG2;ARRB2;E2F5;CNP;NAT1;BID;MAPK8IP2;CDKN2B;EIF5;NKX2-5;IRF1;CYB5R1;PPIF;OLFM1;CYP1A1;BMP2;PDLIM3;RASGRP1;IGFBP2;RHOB;GAL;ALAS1;PPP1R2;ALDOA;NPTX2;PRPF3;CDK2;FOS;CDC5L;CA2;TUBA4A;TARS;CREG1;NFKBIA;POLE3;NR4A1;GRINA;FOSB;MSX1;MRPL23;HLA-F;EPHX1;GPX3;SPR;BTG1;PARP2;MGAT1;RRAD;SULT1A1;DDX21;TAP1;FEN1;TMBIM6;SLC25A4;COL2A1;RET;TFRC;GCH1;POLR2H;PSMC3;JUNB;GGH;AMD1;RXRB,SLC25A4;COL2A1;RET;TFRC;GCH1;POLR2H;PSMC3;JUNB;GGH;AMD1;RXRB
HALLMARK_G2M_CHECKPOINT,-0.6469748798882546,-1.3033691989829423,0.17729083665338646,0.6714483806002178,200,195,SLC12A2;RAD21;ILF3;LMNB1;HIST1H2BK;G3BP1;SYNCRIP;CDC25B;PTTG1;PAPD7;CKS2;PURA;DBF4;MKI67;MAD2L1;TOP1;EFNA5;SUV39H1;TLE3;H2AFX;SNRPD1;POLE;PDS5B;CCNF;CENPF;EXO1;HSPA8;STMN1;CENPA;HN1;DDX39A;E2F3;INCENP;DMD;XPO1;BIRC5;CBX1;NOTCH2;GSPT1;SS18;TMPO;BCL3;CENPE;KPNA2;ESPL1;CASP8AP2;PRPF4B;SRSF1;KIF4A;NUP50;E2F1;LBR;CCNB2;PLK1;KIF23;STIL;KIF5B;TRA2B;MTF2;CDK1;AURKA;NASP;SMC2;UBE2C;SRSF2;MAPK14;NUMA1;UPF1;WHSC1;E2F2;RBM14;BUB1;DKC1;KIF2C;TPX2;ORC6;KIF11;TOP2A;SFPQ;CCNA2;CUL3;CCNT1;STAG1;HIRA;MCM3;KIF20B;TNPO2;POLQ;AURKB;CDC45;CHMP1A;RPS6KA5;WRN;HNRNPU;TACC3;PAFAH1B1;CUL1;FBXO5;ABL1;RPA2;TTK;RACGAP1;MCM6;YTHDC1;MYBL2;HIF1A;BUB3;CDKN3;SRSF10;CHAF1A;PRC1;CDC20;ARID4A;EWSR1;NDC80;BRCA2;SMC4;KIF15;PLK4;CDC27;SLC7A5;SMAD3;CDC25A;E2F4;CDKN2C;KIF22;TRAIP;ODF2;CDKN1B;PBK;EZH2;CCND1;NUP98;CUL5;SAP30;SLC7A1;GINS2;HNRNPD;MNAT1;CDC7;RBL1;LIG3;HMMR;RAD23B;SMC1A;HUS1;CDK4;CHEK1;MYC;DR1;KPNB1;NEK2;MCM5;PML;PRIM2;HOXC10;UCK2;KATNA1;ATRX;RASAL2;FANCC;MCM2;NUSAP1;BARD1;NCL;H2AFZ;HMGB3;SMARCC1;HMGA1;DTYMK;MEIS2;SQLE;UBE2S;FOXN3;NOLC1;MEIS1;SLC38A1;TROAP;HMGN2;RAD54L;CKS1B;MARCKS;ODC1;ATF5;CUL4A;CDC6;ORC5;TFDP1;TGFB1;H2AFV;CTCF;POLA2;MT2A;PRMT5;AMD1,CDC6;ORC5;TFDP1;TGFB1;H2AFV;CTCF;POLA2;MT2A;PRMT5;AMD1
