Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_COMPLEMENT,,,0.0,1000000000.0,200,11,CDA;MAFF;HSPA1A;DUSP5;ITIH1;FN1;CA2;APOC1;USP15;CSRP1;F8,CDA;MAFF;HSPA1A;DUSP5;ITIH1;FN1;CA2;APOC1;USP15;CSRP1;F8
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,,,0.0,1000000000.0,200,22,SFRP1;LUM;GLIPR1;ANPEP;DKK1;ECM1;TGM2;LAMA1;FN1;COL5A1;CRLF1;FZD8;SAT1;GAS1;CYR61;GJA1;CTGF;SPARC;ACTA2;FAS;COL3A1;CD44,SFRP1;LUM;GLIPR1;ANPEP;DKK1;ECM1;TGM2;LAMA1;FN1;COL5A1;CRLF1;FZD8;SAT1;GAS1;CYR61;GJA1;CTGF;SPARC;ACTA2;FAS;COL3A1;CD44
HALLMARK_ESTROGEN_RESPONSE_EARLY,,,0.0,1000000000.0,200,10,EGR3;TGM2;CA12;NPY1R;HES1;GJA1;DHCR7;GAB2;SYT12;CD44,EGR3;TGM2;CA12;NPY1R;HES1;GJA1;DHCR7;GAB2;SYT12;CD44
HALLMARK_GLYCOLYSIS,,,0.0,1000000000.0,200,12,CXCR4;CHST2;COL5A1;ADORA2B;KDELR3;B3GALT6;CYB5A;SLC37A4;MIF;LDHC;TKTL1;CD44,CXCR4;CHST2;COL5A1;ADORA2B;KDELR3;B3GALT6;CYB5A;SLC37A4;MIF;LDHC;TKTL1;CD44
HALLMARK_HYPOXIA,,,0.0,1000000000.0,200,22,TGM2;CXCR4;MAFF;CHST2;CA12;COL5A1;CYR61;ALDOC;ADORA2B;CTGF;KDELR3;B3GALT6;SLC37A4;NDRG1;MIF;PDK1;LDHC;PHKG1;TKTL1;BCAN;EDN2;PCK1,TGM2;CXCR4;MAFF;CHST2;CA12;COL5A1;CYR61;ALDOC;ADORA2B;CTGF;KDELR3;B3GALT6;SLC37A4;NDRG1;MIF;PDK1;LDHC;PHKG1;TKTL1;BCAN;EDN2;PCK1
HALLMARK_IL2_STAT5_SIGNALING,,,0.0,1000000000.0,200,10,ECM1;TGM2;MAFF;IL18R1;CA2;NDRG1;LIF;CAPN3;CD44;ETV4,ECM1;TGM2;MAFF;IL18R1;CA2;NDRG1;LIF;CAPN3;CD44;ETV4
HALLMARK_KRAS_SIGNALING_DN,,,0.0,1000000000.0,200,12,ZBTB16;COL2A1;CHST2;SNCB;SKIL;PAX3;CYP39A1;RIBC2;FGGY;C5;GPR19;EDN2,ZBTB16;COL2A1;CHST2;SNCB;SKIL;PAX3;CYP39A1;RIBC2;FGGY;C5;GPR19;EDN2
HALLMARK_KRAS_SIGNALING_UP,,,0.0,1000000000.0,200,16,ETV5;IGF2;CXCR4;MMP11;GUCY1A3;PCSK1N;TMEM158;CA2;RBM4;LAT2;SNAP91;LCP1;CCL20;LIF;ETV4;KCNN4,ETV5;IGF2;CXCR4;MMP11;GUCY1A3;PCSK1N;TMEM158;CA2;RBM4;LAT2;SNAP91;LCP1;CCL20;LIF;ETV4;KCNN4
HALLMARK_P53_PATHWAY,,,0.0,1000000000.0,200,14,ZBTB16;VDR;SAT1;PROCR;NDRG1;SESN1;PLK3;TRAFD1;RPS27L;PLK2;FAS;GLS2;LIF;NHLH2,ZBTB16;VDR;SAT1;PROCR;NDRG1;SESN1;PLK3;TRAFD1;RPS27L;PLK2;FAS;GLS2;LIF;NHLH2
HALLMARK_TNFA_SIGNALING_VIA_NFKB,,,0.0,1000000000.0,200,21,DUSP4;EGR3;FOSB;SLC2A6;MAFF;DUSP5;JUNB;SAT1;IL15RA;CYR61;FJX1;HES1;PLK2;CCL20;LIF;LAMB3;IFIH1;CD44;CLCF1;CXCL2;ICAM1,DUSP4;EGR3;FOSB;SLC2A6;MAFF;DUSP5;JUNB;SAT1;IL15RA;CYR61;FJX1;HES1;PLK2;CCL20;LIF;LAMB3;IFIH1;CD44;CLCF1;CXCL2;ICAM1
