Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_KRAS_SIGNALING_UP,0.36070290125040855,0.9203544285679374,0.75,0.7852564102564104,200,16,ETV4;IGF2;CXCR4;ETV5;PCSK1N;GUCY1A3;CA2;MMP11;TMEM158;CCL20;RBM4;LAT2;SNAP91;LCP1;LIF;KCNN4,ETV4;IGF2;CXCR4;ETV5
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.49153634968847415,1.090091923630591,0.5,0.8076923076923077,200,21,ICAM1;EGR3;FOSB;JUNB;DUSP4;SAT1;CD44;MAFF;CXCL2;DUSP5;SLC2A6;HES1;CYR61;LAMB3;IL15RA;FJX1;IFIH1;CCL20;PLK2;CLCF1;LIF,ICAM1;EGR3;FOSB;JUNB;DUSP4;SAT1;CD44;MAFF;CXCL2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.32508214311739114,0.7216232751837515,1.0,0.8461538461538461,200,22,COL3A1;FN1;SAT1;CD44;DKK1;CRLF1;TGM2;COL5A1;LUM;LAMA1;GAS1;CYR61;FZD8;SFRP1;GJA1;CTGF;SPARC;ECM1;FAS;ANPEP;ACTA2;GLIPR1,COL3A1;FN1;SAT1;CD44;DKK1;CRLF1;TGM2;COL5A1;LUM;LAMA1;GAS1;CYR61;FZD8;SFRP1;GJA1
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.5226052315015816,1.124099684636872,0.3333333333333333,0.9423076923076923,200,10,EGR3;CD44;TGM2;NPY1R;HES1;DHCR7;GJA1;CA12;GAB2;SYT12,EGR3;CD44;TGM2;NPY1R;HES1;DHCR7;GJA1;CA12
HALLMARK_IL2_STAT5_SIGNALING,0.3997221243772068,0.9407253724869091,0.8,0.9423076923076924,200,10,ETV4;CD44;MAFF;TGM2;CA2;IL18R1;NDRG1;ECM1;CAPN3;LIF,ETV4;CD44;MAFF;TGM2
HALLMARK_GLYCOLYSIS,0.42013808279120546,1.20904826070537,0.3333333333333333,1.0,200,12,CXCR4;CD44;COL5A1;CHST2;CYB5A;KDELR3;ADORA2B;B3GALT6;MIF;SLC37A4;TKTL1;LDHC,CXCR4;CD44;COL5A1;CHST2;CYB5A;KDELR3;ADORA2B;B3GALT6;MIF;SLC37A4
HALLMARK_KRAS_SIGNALING_DN,-0.45266825649393644,-0.8618391787399863,0.5,1.0,200,12,COL2A1;ZBTB16;CHST2;SNCB;SKIL;CYP39A1;PAX3;RIBC2;C5;FGGY;GPR19;EDN2,FGGY;GPR19;EDN2
HALLMARK_COMPLEMENT,0.49200415307676826,0.9527504213538127,0.6666666666666666,1.0,200,11,FN1;CDA;MAFF;DUSP5;HSPA1A;CSRP1;CA2;APOC1;USP15;ITIH1;F8,FN1;CDA;MAFF;DUSP5;HSPA1A;CSRP1
HALLMARK_HYPOXIA,-0.3347205464393882,-0.6462634772455409,1.0,1.0,200,22,CXCR4;MAFF;TGM2;COL5A1;PCK1;CHST2;CYR61;CA12;KDELR3;ADORA2B;B3GALT6;ALDOC;MIF;SLC37A4;NDRG1;CTGF;PHKG1;TKTL1;LDHC;PDK1;BCAN;EDN2,BCAN;EDN2
HALLMARK_P53_PATHWAY,-0.22392762171557923,-0.49139675151786694,1.0,1.0,200,14,ZBTB16;SAT1;PROCR;VDR;NDRG1;SESN1;PLK3;GLS2;TRAFD1;PLK2;NHLH2;RPS27L;FAS;LIF,RPS27L;FAS;LIF
