Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_P53_PATHWAY,-0.46465159727311106,-1.22406430869859,0.4,0.2978723404255319,200,14,ZBTB16;SAT1;PROCR;VDR;NDRG1;SESN1;GLS2;PLK3;PLK2;NHLH2;TRAFD1;LIF;RPS27L;FAS,NHLH2;TRAFD1;LIF;RPS27L;FAS
HALLMARK_GLYCOLYSIS,0.5333071522827629,1.4053027067241928,0.0,0.4528301886792453,200,12,COL5A1;B3GALT6;MIF;CYB5A;KDELR3;ADORA2B;CHST2;CXCR4;CD44;SLC37A4;TKTL1;LDHC,COL5A1;B3GALT6;MIF;CYB5A;KDELR3;ADORA2B;CHST2;CXCR4;CD44
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.559652310419044,1.2995574217269201,0.0,0.4528301886792453,200,21,SLC2A6;JUNB;ICAM1;FOSB;HES1;SAT1;DUSP4;FJX1;CYR61;MAFF;CXCL2;IL15RA;DUSP5;CD44;EGR3;IFIH1;LAMB3;CCL20;PLK2;CLCF1;LIF,SLC2A6;JUNB;ICAM1;FOSB;HES1;SAT1;DUSP4;FJX1;CYR61;MAFF;CXCL2;IL15RA;DUSP5;CD44;EGR3
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.4811810533278442,1.0633506524789642,0.42857142857142855,0.8050314465408804,200,10,HES1;GJA1;DHCR7;NPY1R;CD44;EGR3;TGM2;CA12;GAB2;SYT12,HES1;GJA1;DHCR7;NPY1R;CD44;EGR3;TGM2;CA12
HALLMARK_IL2_STAT5_SIGNALING,0.25460906550889834,0.8398230289127004,0.8333333333333334,0.862533692722372,200,10,ETV4;MAFF;CD44;TGM2;CA2;NDRG1;IL18R1;ECM1;CAPN3;LIF,ETV4;MAFF;CD44;TGM2;CA2;NDRG1;IL18R1
HALLMARK_HYPOXIA,0.24383385567664675,0.7098263842748275,0.75,0.8867924528301887,200,22,COL5A1;B3GALT6;MIF;CYR61;MAFF;KDELR3;ADORA2B;CHST2;CXCR4;TGM2;CA12;SLC37A4;NDRG1;CTGF;PCK1;ALDOC;PHKG1;TKTL1;PDK1;EDN2;LDHC;BCAN,COL5A1;B3GALT6;MIF;CYR61;MAFF;KDELR3;ADORA2B;CHST2;CXCR4;TGM2;CA12;SLC37A4;NDRG1;CTGF;PCK1;ALDOC
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.38583592152445306,0.9492969100680951,0.8,0.9358490566037736,200,22,COL5A1;FN1;FZD8;SAT1;COL3A1;GAS1;CYR61;LAMA1;GJA1;CRLF1;CD44;SFRP1;TGM2;DKK1;CTGF;LUM;SPARC;ANPEP;ECM1;GLIPR1;ACTA2;FAS,COL5A1;FN1;FZD8;SAT1;COL3A1;GAS1;CYR61;LAMA1;GJA1;CRLF1;CD44;SFRP1;TGM2;DKK1
HALLMARK_COMPLEMENT,0.4724762609977635,1.0127294604079027,0.5,0.9433962264150944,200,11,FN1;CDA;CSRP1;MAFF;DUSP5;CA2;HSPA1A;APOC1;ITIH1;USP15;F8,FN1;CDA;CSRP1;MAFF;DUSP5;CA2
HALLMARK_KRAS_SIGNALING_DN,-0.23210182092626452,-0.6531932743755534,0.8333333333333334,0.9574468085106383,200,12,COL2A1;ZBTB16;CHST2;SNCB;SKIL;C5;CYP39A1;PAX3;FGGY;EDN2;RIBC2;GPR19,FGGY;EDN2;RIBC2;GPR19
HALLMARK_KRAS_SIGNALING_UP,0.3356683321515192,0.8768779700812117,0.6666666666666666,0.981132075471698,200,16,IGF2;ETV5;GUCY1A3;PCSK1N;ETV4;TMEM158;CXCR4;CA2;MMP11;CCL20;LAT2;RBM4;SNAP91;LCP1;KCNN4;LIF,IGF2;ETV5;GUCY1A3;PCSK1N;ETV4;TMEM158
