Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_APICAL_SURFACE,0.5219237975955939,1.429991158263356,0.06159420289855073,0.8119613747274427,44,42,MDGA1;THY1;CX3CL1;PCSK9;ATP6V0A4;RTN4RL1;SLC2A4;PKHD1;ATP8B1;GHRL;RHCG;AFAP1L2;GAS1;LYPD3;PLAUR;CROCC;SLC34A3;ADIPOR2;SCUBE1;NCOA6;HSPB1;DCBLD2;IL2RG;SHROOM2;EFNA5;LYN;ADAM10;EPHB4;B4GALT1;GSTM3;CD160;SULF2;APP;TMEM8B;IL2RB;SRPX;FLOT2;BRCA1;AIM1;GATA3;NTNG1;AKAP7,MDGA1;THY1;CX3CL1;PCSK9;ATP6V0A4;RTN4RL1;SLC2A4;PKHD1;ATP8B1;GHRL;RHCG;AFAP1L2;GAS1;LYPD3;PLAUR;CROCC;SLC34A3;ADIPOR2;SCUBE1
HALLMARK_ANDROGEN_RESPONSE,0.14116747975490165,0.43496543297619505,1.0,0.999826947703596,101,97,TMPRSS2;ADAMTS1;SAT1;INSIG1;HPGD;DHCR24;GUCY1A3;ITGAV;SGK1;DBI;PMEPA1;PDLIM5;SLC38A2;IDI1;B2M;CCND3;ZMIZ1;ANKH;SCD;HOMER2;TMEM50A;CAMKK2;FADS1;ZBTB10;MERTK;LIFR;IQGAP2;CDK6;ACSL3;TNFAIP8;CENPN;CDC14B;NDRG1;HSD17B14;CCND1;SPCS3;ABCC4;SRF;INPP4B;ELL2;HMGCR;KLK2;MAF;ELK4;B4GALT1;ARID5B;RAB4A;AKAP12;SLC26A2;SORD;SEC24D;RRP12;HMGCS1;FKBP5;ABHD2;GSR;APPBP2;ACTN1;LMAN1;ALDH1A3;ELOVL5;GPD1L;MYL12A;STEAP4;AKT1;MAP7;UAP1;H1F0;NKX3-1;VAPA;PIAS1;PA2G4;SMS;ADRM1;MAK;TPD52;NCOA4;BMPR1B;RPS6KA3;TSC22D1;UBE2J1;XRCC6;UBE2I;XRCC5;GNAI3;PTK2B;SRP19;STK39;PTPN21;AZGP1;HERC3;NGLY1;KRT8;DNAJB9;PGM3;SPDEF;KLK3,TMPRSS2;ADAMTS1;SAT1;INSIG1;HPGD;DHCR24;GUCY1A3;ITGAV;SGK1;DBI;PMEPA1;PDLIM5;SLC38A2;IDI1;B2M;CCND3;ZMIZ1;ANKH;SCD
HALLMARK_G2M_CHECKPOINT,-0.1298094222306758,-0.4534674207520593,1.0,0.9998578670583219,200,197,TGFB1;HIST1H2BK;AMD1;PTTG3P;MKI67;MT2A;PAPD7;PURA;UPF1;PDS5B;SQLE;SLC12A2;E2F1;TFDP1;PRPF4B;UBE2S;POLE;NOTCH2;INCENP;DTYMK;CENPF;G3BP1;ATRX;ESPL1;CCNF;WHSC1;SRSF2;TROAP;TNPO2;HIRA;DDX39A;CBX1;HMGA1;NUMA1;CCNT1;TLE3;LBR;CENPA;PAFAH1B1;E2F3;CTCF;NUP50;XPO1;ILF3;MARCKS;CASP8AP2;SRSF1;DBF4;H2AFV;SLC38A1;RBM14;CKS2;MTF2;EFNA5;MYC;CCND1;CHMP1A;UCK2;CDC25B;H2AFX;STIL;CUL4A;GSPT1;BIRC5;NOLC1;TOP1;POLQ;PTTG1;SLC7A1;MAPK14;PML;BUB1;H2AFZ;CHAF1A;ORC6;STMN1;SS18;HN1;RPS6KA5;RASAL2;E2F2;ABL1;KIF22;SFPQ;PRC1;AURKB;CDC27;STAG1;DR1;GINS2;E2F4;KIF5B;CDC25A;MCM3;SMAD3;LIG3;CDKN1B;CDC45;SNRPD1;ARID4A;HIF1A;SLC7A5;CUL5;YTHDC1;KIF23;KPNB1;CUL1;SUV39H1;SYNCRIP;RAD23B;MCM6;PLK1;TRA2B;KIF2C;BCL3;MYBL2;HMGB3;HSPA8;KIF4A;KIF20B;KIF11;CDKN2C;TACC3;DKC1;CUL3;SAP30;RPA2;TPX2;PLK4;RAD21;NUP98;NASP;SRSF10;SMC4;EGF;NCL;SMC1A;SMC2;SMARCC1;BRCA2;AURKA;BUB3;FBXO5;CENPE;TMPO;CHEK1;LMNB1;CKS1B;MCM2;TOP2A;CDK4;EZH2;RAD54L;RACGAP1;MAD2L1;DMD;EWSR1;TTK;FOXN3;ODF2;CDK1;TRAIP;MCM5;PRMT5;CCNA2;HUS1;HOXC10;HNRNPU;HNRNPD;MEIS2;KPNA2;NEK2;CDC7;UBE2C;POLA2;MNAT1;CCNB2;CDC20;EXO1;WRN;FANCC;NUSAP1;CDKN3;KIF15;KATNA1;BARD1;PBK;RBL1;NDC80;MEIS1;PRIM2;CDC6;HMMR;ODC1;ORC5;HMGN2;ATF5,HIST1H2BK;AMD1;PTTG3P;MKI67;MT2A;PAPD7;PURA;UPF1;PDS5B;SQLE;SLC12A2;E2F1;TFDP1;PRPF4B;UBE2S;POLE;NOTCH2;INCENP;DTYMK;CENPF;G3BP1;ATRX;ESPL1;CCNF;WHSC1;SRSF2;TROAP;TNPO2;HIRA;DDX39A;CBX1;HMGA1;NUMA1;CCNT1;TLE3;LBR;CENPA;PAFAH1B1;E2F3;CTCF;NUP50;XPO1;ILF3;MARCKS;CASP8AP2;SRSF1;DBF4;H2AFV;SLC38A1;RBM14;CKS2;MTF2;EFNA5;MYC;CCND1;CHMP1A;UCK2;CDC25B;H2AFX;STIL;CUL4A;GSPT1;BIRC5;NOLC1;TOP1;POLQ;PTTG1;SLC7A1;MAPK14;PML;BUB1;H2AFZ;CHAF1A;ORC6;STMN1;SS18;HN1;RPS6KA5;RASAL2;E2F2;ABL1;KIF22;SFPQ;PRC1;AURKB;CDC27;STAG1;DR1;GINS2;E2F4;KIF5B;CDC25A;MCM3;SMAD3;LIG3;CDKN1B;CDC45;SNRPD1;ARID4A;HIF1A;SLC7A5;CUL5;YTHDC1;KIF23;KPNB1;CUL1;SUV39H1;SYNCRIP;RAD23B;MCM6;PLK1;TRA2B;KIF2C;BCL3;MYBL2;HMGB3;HSPA8;KIF4A;KIF20B;KIF11;CDKN2C;TACC3;DKC1;CUL3;SAP30;RPA2;TPX2;PLK4;RAD21;NUP98;NASP;SRSF10;SMC4;EGF;NCL;SMC1A;SMC2;SMARCC1;BRCA2;AURKA;BUB3;FBXO5;CENPE;TMPO;CHEK1;LMNB1;CKS1B;MCM2;TOP2A;CDK4;EZH2;RAD54L;RACGAP1;MAD2L1;DMD;EWSR1;TTK;FOXN3;ODF2;CDK1;TRAIP;MCM5;PRMT5;CCNA2;HUS1;HOXC10;HNRNPU;HNRNPD;MEIS2;KPNA2;NEK2;CDC7;UBE2C;POLA2;MNAT1;CCNB2;CDC20;EXO1;WRN;FANCC;NUSAP1;CDKN3;KIF15;KATNA1;BARD1;PBK;RBL1;NDC80;MEIS1;PRIM2;CDC6;HMMR;ODC1;ORC5;HMGN2;ATF5
HALLMARK_NOTCH_SIGNALING,0.4665666934044016,1.2067629966096596,0.19157088122605365,1.0,32,32,NOTCH3;WNT2;LFNG;DLL1;HES1;FZD5;FZD1;ST3GAL6;FZD7;NOTCH2;KAT2A;WNT5A;PPARD;NOTCH1;FBXW11;MAML2;PRKCA;CCND1;ARRB1;SKP1;HEYL;APH1A;DTX2;CUL1;PSENEN;RBX1;DTX1;TCF7L2;SAP30;PSEN2;JAG1;DTX4,NOTCH3;WNT2;LFNG;DLL1;HES1;FZD5;FZD1;ST3GAL6;FZD7;NOTCH2;KAT2A;WNT5A;PPARD;NOTCH1;FBXW11;MAML2;PRKCA;CCND1;ARRB1
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.45057637942666195,1.1979673747912927,0.20155038759689922,1.0,42,42,WNT1;DKK4;WNT6;DKK1;DLL1;PTCH1;FZD8;JAG2;FZD1;FRAT1;HEY2;MAML1;CSNK1E;KAT2A;RBPJ;PPARD;NOTCH1;NCOR2;NUMB;MYC;CCND2;LEF1;ADAM17;HDAC5;AXIN2;TCF7;AXIN1;CTNNB1;HEY1;CUL1;WNT5B;GNAI1;PSEN2;SKP2;DVL2;HDAC2;HDAC11;JAG1;NCSTN;NOTCH4;TP53;NKD1,WNT1;DKK4;WNT6;DKK1;DLL1;PTCH1;FZD8;JAG2;FZD1;FRAT1;HEY2;MAML1;CSNK1E
HALLMARK_TGF_BETA_SIGNALING,0.41737870547190026,1.1860502906765467,0.20300751879699247,1.0,54,54,JUNB;CDKN1C;THBS1;ID1;SMAD6;TGFB1;NOG;APC;SMAD7;SMAD1;ENG;BMPR2;PMEPA1;RAB31;LEFTY2;SLC20A1;ID2;FURIN;LTBP2;CDH1;PPM1A;SKI;ID3;NCOR2;BCAR3;HIPK2;SMURF2;BMPR1A;HDAC1;IFNGR2;ARID4B;CDK9;KLF10;TJP1;SMURF1;XIAP;MAP3K7;PPP1CA;SPTBN1;BMP2;SMAD3;CTNNB1;RHOA;TGFBR1;FKBP1A;UBE2D3;WWTR1;TGIF1;FNTA;ACVR1;TRIM33;SKIL;SERPINE1;PPP1R15A,JUNB;CDKN1C;THBS1;ID1;SMAD6;TGFB1;NOG;APC;SMAD7;SMAD1;ENG;BMPR2;PMEPA1;RAB31;LEFTY2;SLC20A1;ID2;FURIN;LTBP2;CDH1;PPM1A;SKI;ID3;NCOR2;BCAR3;HIPK2;SMURF2;BMPR1A
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.35476150946634244,-1.1490539967788413,0.208067940552017,1.0,113,110,DNAJA4;CCL2;KDELR3;IMP3;FKBP14;EIF4G1;NFYA;LSM4;ARFGAP1;ZBTB17;CNOT6;TATDN2;EDC4;CALR;SPCS3;H2AFX;EXOSC4;EIF4E;EXOSC2;TTC37;DCP2;NOLC1;EEF2;NHP2;DCP1A;CXXC1;BANF1;GEMIN4;DCTN1;EIF4A2;PDIA6;KIF5B;ATP6V0D1;LSM1;XPOT;YIF1A;ASNS;SLC7A5;KHSRP;POP4;EIF4A3;IFIT1;PAIP1;SRPRB;ALDH18A1;TSPYL2;SLC30A5;YWHAZ;NOP56;SPCS1;PDIA5;EDEM1;GOSR2;DKC1;DDX10;EIF2AK3;SSR1;PSAT1;PREB;SEC11A;EIF4EBP1;CKS1B;SERP1;NOP14;MTHFD2;DNAJC3;EXOSC10;RPS14;EXOC2;EIF4A1;ATF4;FUS;CNOT2;TUBB2A;CHAC1;SDAD1;DDIT4;VEGFA;EIF2S1;NFYB;CNOT4;CEBPB;WFS1;IARS;EXOSC9;HSP90B1;BAG3;TARS;NPM1;CEBPG;SKIV2L2;ATF6;SEC31A;EXOSC5;STC2;HYOU1;SLC1A4;RRP9;EXOSC1;PARN;HSPA9;WIPI1;ATF3;SHC1;XBP1;ERN1;HERPUD1;IGFBP1;HSPA5;DNAJB9,PSAT1;PREB;SEC11A;EIF4EBP1;CKS1B;SERP1;NOP14;MTHFD2;DNAJC3;EXOSC10;RPS14;EXOC2;EIF4A1;ATF4;FUS;CNOT2;TUBB2A;CHAC1;SDAD1;DDIT4;VEGFA;EIF2S1;NFYB;CNOT4;CEBPB;WFS1;IARS;EXOSC9;HSP90B1;BAG3;TARS;NPM1;CEBPG;SKIV2L2;ATF6;SEC31A;EXOSC5;STC2;HYOU1;SLC1A4;RRP9;EXOSC1;PARN;HSPA9;WIPI1;ATF3;SHC1;XBP1;ERN1;HERPUD1;IGFBP1;HSPA5;DNAJB9
HALLMARK_ANGIOGENESIS,0.435774424401941,1.1712947806657168,0.25,1.0,36,36,OLR1;PRG2;COL3A1;S100A4;LPL;CXCL6;VCAN;LUM;ITGAV;APOH;JAG2;MSX1;NRP1;PDGFA;THBD;PF4;TNFRSF21;SERPINA5;LRPAP1;CCND2;FGFR1;COL5A2;KCNJ8;APP;PTK2;POSTN;VAV2;VEGFA;TIMP1;STC1;FSTL1;JAG1;SLCO2A1;VTN;PGLYRP1;SPP1,OLR1;PRG2;COL3A1;S100A4;LPL;CXCL6;VCAN;LUM;ITGAV;APOH;JAG2;MSX1
HALLMARK_COAGULATION,0.33855840089706407,1.0881258986806885,0.26608695652173914,1.0,138,126,CTSE;OLR1;A2M;FGG;PLG;F2;MMP14;CTSK;APOC2;FN1;MMP3;ITGB3;THBS1;MMP9;CPB2;MMP15;GDA;MAFF;F13B;CLU;LRP1;HRG;MMP10;CSRP1;CFB;CRIP2;TMPRSS6;GSN;F12;PROS1;CTSB;ANG;C1R;COMP;RGN;PDGFB;PLAU;MMP11;MMP1;ACOX2;CFD;CD9;KLK8;PLEK;MMP2;LEFTY2;SERPINC1;C8G;PROZ;S100A1;THBD;PF4;FURIN;GP1BA;S100A13;ADAM9;SERPING1;C1S;TFPI2;LGMN;BMP1;CASP9;TF;RABIF;ITGA2;SPARC;P2RY1;PECAM1;APOC1;GNB2;LAMP2;PLAT;HPN;KLKB1;SIRT2;C2;LTA4H;CFI;FYN;PEF1;MASP2;GNG12;RAC1;PREP;ARF4;ISCU;USP11;CAPN5;SH2B2;MSRB2;RAPGEF3;WDR1;TIMP3;DPP4;F3;C3;FBN1;CTSH;PRSS23;TIMP1;F2RL2;CAPN2;MST1;CTSO;APOA1;DUSP6;HTRA1;KLF7;C8A;SERPINE1;C8B;CFH;F10;ANXA1;F8;ITIH1;PROC;DCT;SERPINA1;CPN1;MEP1A;MMP8;HNF4A;DUSP14;MMP7;VWF,CTSE;OLR1;A2M;FGG;PLG;F2;MMP14;CTSK;APOC2;FN1;MMP3;ITGB3;THBS1;MMP9;CPB2;MMP15;GDA;MAFF;F13B;CLU;LRP1;HRG;MMP10;CSRP1;CFB;CRIP2;TMPRSS6;GSN;F12;PROS1;CTSB;ANG;C1R;COMP;RGN;PDGFB;PLAU;MMP11
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,0.41208324351194825,1.1265659641336394,0.27580071174377224,1.0,49,46,MPO;JUNB;CDKN2D;SRXN1;GPX4;SBNO2;PRDX1;HHEX;PRDX4;STK25;GLRX;EGLN2;OXSR1;GPX3;ATOX1;TXNRD1;G6PD;HMOX2;SOD2;TXNRD2;FTL;MSRA;ERCC2;NDUFA6;ABCC1;MGST1;SCAF4;NDUFB4;GSR;TXN;PRDX2;MBP;PFKP;SOD1;GLRX2;GCLC;PRNP;PRDX6;GCLM;CAT;NDUFS2;PDLIM1;IPCEF1;LSP1;NQO1;FES,MPO
