"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_GLYCOLYSIS",0.000400306692463371,0.00167779221525122,0.49849310876659,0.658315941472552,2.13422153088606,12,"c(""SLC37A4"", ""KDELR3"", ""COL5A1"", ""CYB5A"", ""ADORA2B"", ""MIF"", ""CHST2"", ""B3GALT6"")"
"HALLMARK_HYPOXIA",0.000503337664575366,0.00167779221525122,0.477270815362862,0.539608155719522,2.1218360063493,22,"c(""SLC37A4"", ""NDRG1"", ""CYR61"", ""KDELR3"", ""COL5A1"", ""ADORA2B"", ""MIF"", ""CHST2"", ""B3GALT6"", ""CTGF"", ""CA12"", ""PCK1"", ""TGM2"", ""MAFF"", ""ALDOC"", ""CXCR4"")"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.000306729387779128,0.00167779221525122,0.49849310876659,0.554725876846995,2.13045009979213,21,"c(""HES1"", ""SAT1"", ""FJX1"", ""CYR61"", ""FOSB"", ""DUSP4"", ""EGR3"", ""JUNB"", ""IL15RA"", ""SLC2A6"", ""DUSP5"", ""LAMB3"", ""CCL20"", ""CXCL2"", ""ICAM1"", ""MAFF"", ""CD44"", ""IFIH1"")"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00332266100067647,0.00830665250169117,0.431707695803346,0.495299078298249,1.94760477043476,22,"c(""SAT1"", ""GJA1"", ""CYR61"", ""GAS1"", ""FN1"", ""FZD8"", ""COL5A1"", ""CRLF1"", ""LAMA1"", ""CTGF"", ""DKK1"", ""SPARC"", ""LUM"", ""TGM2"", ""SFRP1"", ""CD44"")"
"HALLMARK_COMPLEMENT",0.0329289428076256,0.0622775800711744,0.332263053752429,0.520858545405955,1.65884452820181,11,"c(""CA2"", ""FN1"", ""HSPA1A"", ""DUSP5"", ""APOC1"", ""CSRP1"", ""CDA"", ""MAFF"")"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0373665480427046,0.0622775800711744,0.315324831550005,0.523690547087478,1.60226919370795,10,"c(""HES1"", ""DHCR7"", ""GJA1"", ""EGR3"", ""NPY1R"", ""CA12"", ""TGM2"", ""CD44"")"
"HALLMARK_IL2_STAT5_SIGNALING",0.138790035587189,0.198271479410269,0.157402899305283,0.440673278546108,1.34827184227706,10,"c(""CA2"", ""NDRG1"", ""ETV4"", ""IL18R1"", ""TGM2"", ""MAFF"", ""CD44"")"
"HALLMARK_KRAS_SIGNALING_UP",0.35663082437276,0.44578853046595,0.0916795246008379,0.3052410190277,1.07963289000455,16,"c(""CA2"", ""ETV4"", ""GUCY1A3"", ""IGF2"", ""TMEM158"", ""PCSK1N"", ""MMP11"")"
"HALLMARK_P53_PATHWAY",0.532399299474606,0.591554777194007,0.069119845655101,0.270566365800478,0.923964254914316,14,"c(""SAT1"", ""NDRG1"", ""PROCR"")"
"HALLMARK_KRAS_SIGNALING_DN",0.872727272727273,0.872727272727273,0.0578529757032509,-0.198073709573554,-0.665744127886523,12,"c(""SKIL"", ""GPR19"", ""EDN2"", ""PAX3"", ""FGGY"", ""CYP39A1"", ""C5"")"
