Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5614198782412061,2.519667469276416,0.0,0.0,200,21,CCL20;EGR3;FOSB;CXCL2;CD44;LAMB3;SAT1;ICAM1;DUSP4;FJX1;DUSP5;IL15RA;JUNB;CYR61;IFIH1;HES1;SLC2A6;MAFF;PLK2;CLCF1;LIF,CCL20;EGR3;FOSB;CXCL2;CD44;LAMB3;SAT1;ICAM1;DUSP4;FJX1;DUSP5;IL15RA;JUNB;CYR61;IFIH1
HALLMARK_GLYCOLYSIS,0.35384310166548405,1.294731496016354,0.17869415807560138,0.33101265822784814,200,12,CD44;CXCR4;ADORA2B;B3GALT6;KDELR3;CHST2;MIF;CYB5A;SLC37A4;COL5A1;LDHC;TKTL1,CD44;CXCR4;ADORA2B;B3GALT6;KDELR3;CHST2;MIF;CYB5A;SLC37A4;COL5A1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.24418798559416283,1.1238681900627048,0.2928870292887029,0.33122362869198313,200,22,CD44;DKK1;LUM;COL3A1;SAT1;CRLF1;CYR61;FN1;GAS1;LAMA1;SFRP1;GJA1;FZD8;SPARC;CTGF;COL5A1;TGM2;FAS;ECM1;ACTA2;ANPEP;GLIPR1,CD44;DKK1;LUM;COL3A1;SAT1;CRLF1
HALLMARK_COMPLEMENT,0.3214749838178689,1.1831866373929987,0.2347560975609756,0.34177215189873417,200,11,HSPA1A;CSRP1;CA2;CDA;DUSP5;FN1;APOC1;MAFF;USP15;F8;ITIH1,HSPA1A;CSRP1;CA2;CDA;DUSP5
HALLMARK_KRAS_SIGNALING_UP,0.31848271762235963,1.3209658867895513,0.18181818181818182,0.4177215189873418,200,16,CCL20;ETV5;ETV4;CA2;PCSK1N;CXCR4;TMEM158;IGF2;MMP11;GUCY1A3;RBM4;SNAP91;LAT2;LCP1;LIF;KCNN4,CCL20;ETV5;ETV4
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.4300453055120677,1.4447049966966734,0.12542372881355932,0.43924050632911393,200,10,EGR3;CD44;CA12;NPY1R;HES1;GJA1;DHCR7;TGM2;GAB2;SYT12,EGR3;CD44;CA12;NPY1R;HES1;GJA1;DHCR7
HALLMARK_IL2_STAT5_SIGNALING,0.2601404664438398,0.8977233437735056,0.5428571428571428,0.5276672694394213,200,10,ETV4;CD44;CA2;IL18R1;NDRG1;MAFF;TGM2;ECM1;CAPN3;LIF,ETV4;CD44
HALLMARK_KRAS_SIGNALING_DN,-0.38116978258561596,-1.1906691857390854,0.25889046941678523,0.8110573600552868,200,12,SNCB;ZBTB16;CHST2;COL2A1;RIBC2;PAX3;C5;SKIL;CYP39A1;FGGY;GPR19;EDN2,C5;SKIL;CYP39A1;FGGY;GPR19;EDN2
HALLMARK_HYPOXIA,-0.17582098049735323,-0.643465303064336,0.8523316062176166,0.8568071872840359,200,22,PCK1;CXCR4;ADORA2B;CYR61;CA12;B3GALT6;KDELR3;NDRG1;CHST2;ALDOC;MAFF;MIF;CTGF;SLC37A4;COL5A1;TGM2;PDK1;PHKG1;LDHC;TKTL1;BCAN;EDN2,EDN2
HALLMARK_P53_PATHWAY,-0.24776483057365487,-0.7903795943852213,0.6945205479452055,1.0,200,14,SAT1;PROCR;VDR;NDRG1;ZBTB16;NHLH2;SESN1;PLK3;RPS27L;FAS;PLK2;TRAFD1;GLS2;LIF,RPS27L;FAS;PLK2;TRAFD1;GLS2;LIF
