Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6802405616878165,1.514550010435317,0.1452513966480447,0.5130704794916234,200,22,ECM1;GLIPR1;DKK1;TGM2;LAMA1;FZD8;CTGF;CRLF1;SPARC;GAS1;COL5A1;CYR61;SAT1;FN1;GJA1;FAS;ACTA2;COL3A1;CD44;LUM;SFRP1;ANPEP,ECM1;GLIPR1
HALLMARK_IL2_STAT5_SIGNALING,0.8388474714236994,1.6590908643433326,0.08380681818181818,0.654101675332178,200,10,ECM1;IL18R1;TGM2;MAFF;CA2;NDRG1;LIF;CAPN3;CD44;ETV4,ECM1
HALLMARK_HYPOXIA,0.25094847875426285,0.562908095357939,0.8495575221238938,0.8428653957250144,200,22,CA12;TGM2;CHST2;ALDOC;CTGF;CXCR4;MAFF;ADORA2B;COL5A1;CYR61;B3GALT6;KDELR3;NDRG1;SLC37A4;MIF;PDK1;LDHC;PHKG1;BCAN;TKTL1;PCK1;EDN2,CA12;TGM2;CHST2;ALDOC;CTGF;CXCR4;MAFF;ADORA2B;COL5A1;CYR61;B3GALT6;KDELR3;NDRG1;SLC37A4;MIF
HALLMARK_GLYCOLYSIS,0.4620715379435181,0.9419113116246174,0.48783977110157367,0.8492201039861352,200,12,CHST2;CXCR4;ADORA2B;COL5A1;B3GALT6;KDELR3;SLC37A4;CYB5A;MIF;LDHC;TKTL1;CD44,CHST2;CXCR4;ADORA2B;COL5A1;B3GALT6;KDELR3;SLC37A4;CYB5A;MIF
HALLMARK_COMPLEMENT,0.5136356611138536,1.1042707017792324,0.3500738552437223,0.8576449066050453,200,11,ITIH1;HSPA1A;CDA;DUSP5;MAFF;FN1;CA2;APOC1;USP15;F8;CSRP1,ITIH1;HSPA1A;CDA;DUSP5;MAFF;FN1;CA2;APOC1;USP15
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3581303755513376,0.7777777668446358,0.6397058823529411,0.8795493934142115,200,21,DUSP4;FOSB;SLC2A6;DUSP5;IL15RA;FJX1;MAFF;CYR61;SAT1;JUNB;HES1;PLK2;LIF;LAMB3;IFIH1;CCL20;ICAM1;CXCL2;CD44;CLCF1;EGR3,DUSP4;FOSB;SLC2A6;DUSP5;IL15RA;FJX1;MAFF;CYR61;SAT1;JUNB;HES1
HALLMARK_KRAS_SIGNALING_UP,-0.22703435757481877,-0.44790661064088366,0.8305647840531561,0.8849154746423927,200,16,ETV5;MMP11;GUCY1A3;CXCR4;TMEM158;IGF2;PCSK1N;CA2;RBM4;SNAP91;LAT2;LCP1;LIF;CCL20;KCNN4;ETV4,KCNN4;ETV4
HALLMARK_P53_PATHWAY,0.2836879970987561,0.6040589774510711,0.803030303030303,0.9361640670132871,200,14,ZBTB16;VDR;SAT1;PROCR;NDRG1;RPS27L;SESN1;TRAFD1;PLK2;PLK3;FAS;LIF;GLS2;NHLH2,ZBTB16;VDR;SAT1;PROCR;NDRG1;RPS27L;SESN1;TRAFD1;PLK2;PLK3;FAS
HALLMARK_KRAS_SIGNALING_DN,-0.39004055285486733,-0.8501589315020305,0.4785276073619632,1.0,200,12,ZBTB16;SNCB;CHST2;COL2A1;PAX3;SKIL;RIBC2;CYP39A1;FGGY;C5;GPR19;EDN2,EDN2
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.2999399395543916,-0.6635754277998018,0.7051671732522796,1.0,200,10,CA12;TGM2;NPY1R;GJA1;HES1;DHCR7;GAB2;SYT12;CD44;EGR3,EGR3
