Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5660211413265589,2.3908964446394867,0.0,0.07232401157184186,200,153,EGR1;FOS;GADD45B;FOSB;EGR3;PTX3;TNC;GEM;NFKBIA;TNFAIP3;SAT1;PHLDA2;PLAU;DUSP4;BMP2;TNFRSF9;FJX1;CCND1;KLF4;DUSP5;RHOB;IL15RA;JUNB;CYR61;MYC;HES1;SLC2A6;G0S2;MAFF;CEBPD;RIPK2;ID2;DUSP1;RELB;DUSP2;CD83;TRIB1;PANX1;SGK1;LDLR;NR4A2;F2RL1;TNFSF9;KLF9;CEBPB;BHLHE40;MARCKS;CXCL3;ATF3;MAP3K8;CSF1;PMEPA1;TNFAIP8;NFKB2;IER5;NAMPT;JUN;GCH1;FOSL1;KLF6;SDC4;ETS2;PFKFB3;FUT4;TAP1;EHD1;B4GALT5;TNIP1;MSC;ATP2B1;DRAM1;NINJ1;NR4A1;TGIF1;PTPRE;HBEGF;B4GALT1;F3;MAP2K3;NFIL3;GFPT2;JAG1;PDLIM5;IER2;IL7R;IRS2;SOD2;TUBB2A;ZBTB10;TRAF1;NR4A3;IFNGR2;GADD45A;SNN;KLF2;EGR2;BCL3;RCAN1;NFKB1;SERPINB8;ICOSLG;ZC3H12A;TSC22D1;MCL1;LITAF;PLAUR;NFE2L2;TIPARP;SOCS3;SPHK1;BTG3;KLF10;VEGFA;YRDC;TRIP10;SIK1;TNIP2;PER1;TANK;IL23A;DNAJB4;EIF1;IRF1;NFKBIE;TNFAIP2;IL6ST;SPSB1;CFLAR;BTG1;RELA;DENND5A;PNRC1;ZFP36;SQSTM1;SLC2A3;BIRC2;DDX58;MXD1;PPP1R15A;RNF19B;SMAD3;REL;EFNA1;KDM6B;FOSL2;SLC16A6;NFAT5;BCL6;CDKN1A;CCNL1;PLK2;BTG2;LIF,EGR1;FOS;GADD45B;FOSB;EGR3;PTX3;TNC;GEM;NFKBIA;TNFAIP3;SAT1;PHLDA2;PLAU;DUSP4;BMP2;TNFRSF9;FJX1;CCND1;KLF4;DUSP5;RHOB;IL15RA;JUNB;CYR61;MYC;HES1;SLC2A6;G0S2;MAFF;CEBPD;RIPK2;ID2;DUSP1;RELB;DUSP2;CD83;TRIB1;PANX1;SGK1;LDLR;NR4A2;F2RL1;TNFSF9;KLF9;CEBPB;BHLHE40;MARCKS;CXCL3;ATF3;MAP3K8;CSF1;PMEPA1;TNFAIP8;NFKB2;IER5;NAMPT;JUN;GCH1;FOSL1;KLF6;SDC4
HALLMARK_ANGIOGENESIS,0.5349060761677609,1.9012146954864835,0.006896551724137931,0.1446480231436837,36,22,KCNJ8;TNFRSF21;LPL;MSX1;CCND2;TIMP1;S100A4;LRPAP1;SLCO2A1;VCAN;PDGFA;JAG1;APP;VAV2;FGFR1;JAG2;VEGFA;ITGAV;FSTL1;NRP1;COL5A2;PTK2,KCNJ8;TNFRSF21;LPL;MSX1;CCND2;TIMP1;S100A4;LRPAP1;SLCO2A1;VCAN
HALLMARK_TGF_BETA_SIGNALING,0.3859225682203662,1.5838464765453824,0.05,0.1832208293153327,54,51,ID1;BMP2;CDH1;JUNB;SMAD6;NOG;ID2;ID3;TGFB1;CDKN1C;RAB31;SMAD7;PMEPA1;SMAD1;SLC20A1;XIAP;TGIF1;FKBP1A;APC;RHOA;NCOR2;IFNGR2;HIPK2;SPTBN1;PPP1CA;ENG;WWTR1;CDK9;SKI;FNTA;UBE2D3;KLF10;BMPR2;TGFBR1;TJP1;BMPR1A;FURIN;HDAC1;SMURF2;PPM1A;ACVR1;MAP3K7;CTNNB1;PPP1R15A;SMURF1;SMAD3;BCAR3;ARID4B;TRIM33;LTBP2;SKIL,ID1;BMP2;CDH1;JUNB;SMAD6;NOG;ID2;ID3;TGFB1;CDKN1C;RAB31;SMAD7;PMEPA1
HALLMARK_ESTROGEN_RESPONSE_LATE,0.36987046220195713,1.5394489842971626,0.0,0.18597602975616476,200,155,FOS;EGR3;TFPI2;CA2;CCND1;KLF4;CDH1;CA12;IGSF1;NPY1R;GAL;NMU;DHCR7;IDH2;PTGES;RET;ID2;CHST8;DUSP2;SLC27A2;TPD52L1;SGK1;CKB;RAB31;FABP5;SULT2B1;PRSS23;ABCA3;FARP1;SLC7A5;GLA;TSPAN13;SLC16A1;CD9;SLC29A1;BCL2;RPS6KA2;SORD;PRKAR2B;HOMER2;SCARB1;PLAC1;TPBG;COX6C;OLFM1;SIAH2;DNAJC12;MYB;FOXC1;TIAM1;CHPT1;IGFBP4;NBL1;RNASEH2A;TST;PERP;CISH;SLC1A4;PPIF;EMP2;PDCD4;ASS1;UNC13B;XBP1;IMPA2;MAPT;FDFT1;CACNA2D2;DYNLT3;CYP26B1;GINS2;ELOVL5;PDLIM3;NAB2;NXT1;HPRT1;DCXR;SLC26A2;TFAP2C;SLC22A5;CELSR2;IL17RB;CAV1;SNX10;TJP3;ETFB;KIF20A;NCOR2;SLC9A3R1;LLGL2;PAPSS2;WFS1;FKBP5;PLXNB1;FKBP4;FLNB;LSR;TOB1;UGDH;SLC2A8;DNAJC1;METTL3;JAK1;XRCC3;KCNK5;DLG5;CXCL12;OPN3;CPE;RABEP1;BTG3;ITPK1;ALDH3B1;ALDH3A2;FGFR3;STIL;BLVRB;MOCS2;AMFR;IL6ST;SEMA3B;MAPK13;NRIP1;TNNC1;ABHD2;RBBP8;TOP2A;SFN;HSPA4L;FRK;HSPB8;ZFP36;CDC20;FAM102A;ST6GALNAC2;JAK2;ARL3;RAPGEFL1;PTPN6;PDZK1;ADD3;BAG1;CDC6;PLK4;ATP2B4;TSTA3;MDK;ANXA9;MICB;PLA2G16;AFF1;SCNN1A;GALE;ISG20;DHRS2,FOS;EGR3;TFPI2;CA2;CCND1;KLF4;CDH1;CA12;IGSF1;NPY1R;GAL;NMU;DHCR7;IDH2;PTGES;RET;ID2;CHST8;DUSP2;SLC27A2;TPD52L1;SGK1;CKB;RAB31;FABP5;SULT2B1;PRSS23;ABCA3;FARP1;SLC7A5;GLA;TSPAN13;SLC16A1;CD9;SLC29A1;BCL2;RPS6KA2;SORD;PRKAR2B;HOMER2;SCARB1;PLAC1;TPBG;COX6C;OLFM1;SIAH2;DNAJC12;MYB;FOXC1;TIAM1;CHPT1;IGFBP4;NBL1;RNASEH2A;TST
HALLMARK_PANCREAS_BETA_CELLS,0.46547334751128366,1.6018944006922733,0.05063291139240506,0.2025072324011572,40,22,MAFB;VDR;SRPRB;DPP4;GCK;LMO2;INSM1;NKX6-1;ISL1;NKX2-2;SPCS1;STXBP1;AKT3;SRP9;PAK3;SEC11A;SRP14;PAX6;ELP4;FOXO1;PDX1;ABCC8,MAFB;VDR;SRPRB;DPP4;GCK;LMO2;INSM1;NKX6-1;ISL1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.49141415725667775,1.9510692972979056,0.0,0.20973963355834138,200,140,IL32;GADD45B;DKK1;PTX3;TNC;GEM;TNFAIP3;SAT1;TFPI2;CRLF1;RHOB;CYR61;FN1;GAS1;LAMA1;GJA1;FZD8;SPARC;SNAI2;CTGF;COL5A1;ID2;IGFBP2;TGM2;TGFB1;COL1A1;GPC1;MATN3;BASP1;MSX1;FLNA;PVR;ABI3BP;LGALS1;SLIT3;PMEPA1;SFRP1;JUN;LOX;LOXL2;COL12A1;FBLN2;QSOX1;TGFBR3;PPIB;SDC4;COL4A1;TIMP3;TIMP1;EDIL3;MMP2;PLOD1;COL4A2;CADM1;FBN2;IGFBP4;NT5E;WNT5A;PMP22;CDH2;CALU;CALD1;LAMC1;SERPINE2;ITGB5;FUCA1;PLOD2;VCAN;EMP3;VIM;NID2;RGS4;LRP1;SLIT2;DAB2;VEGFC;WIPF1;ITGA2;MYLK;FBLN5;DST;SDC1;PRRX1;FGF2;SNTB1;GADD45A;COL6A2;PLOD3;EFEMP2;CD59;FOXC2;FBLN1;NOTCH2;COMP;PCOLCE2;COL16A1;TPM4;PLAUR;MMP14;PCOLCE;ELN;CXCL12;SGCB;LOXL1;VEGFA;COL6A3;TPM1;ITGAV;FERMT2;BMP1;FSTL1;DPYSL3;ITGB1;HTRA1;FBN1;TPM2;TNFRSF12A;PDLIM4;COL5A2;MAGEE1;SLC6A8;ITGA5;PFN2;LAMA3;MCM7;APLP1;SERPINH1;COPA;SPOCK1;IL15;PTHLH;CAP2;MATN2;CAPG;TAGLN;ENO2;FSTL3;COL7A1;FAS;ACTA2,IL32;GADD45B;DKK1;PTX3;TNC;GEM;TNFAIP3;SAT1;TFPI2;CRLF1;RHOB;CYR61;FN1;GAS1;LAMA1;GJA1;FZD8;SPARC;SNAI2;CTGF;COL5A1;ID2;IGFBP2;TGM2;TGFB1;COL1A1;GPC1;MATN3;BASP1;MSX1;FLNA;PVR;ABI3BP;LGALS1;SLIT3;PMEPA1;SFRP1;JUN;LOX;LOXL2;COL12A1;FBLN2;QSOX1;TGFBR3;PPIB;SDC4;COL4A1;TIMP3;TIMP1;EDIL3;MMP2;PLOD1;COL4A2;CADM1;FBN2
HALLMARK_KRAS_SIGNALING_UP,0.34107768507931824,1.3989184246482709,0.07407407407407407,0.23577627772420445,200,120,ETV5;ETV4;MAFB;TNFAIP3;PLAU;BMP2;TMEM100;CA2;PCSK1N;KLF4;CXCR4;GADD45G;TMEM158;IGF2;MMP11;GUCY1A3;G0S2;RGS16;ID2;MAP4K1;TRIB1;ST6GAL1;TRIB2;ALDH1A3;F2RL1;ANKH;SPRY2;MMD;TSPAN13;IRF8;AMMECR1;CCND2;BTBD3;FLT4;SOX9;HOXD11;GNG11;SCG5;ETV1;FGF9;CROT;ITGB2;FUCA1;ZNF639;EPHB2;AKAP12;ALDH1A2;IL10RA;HBEGF;SCN1B;TSPAN7;CSF2RA;APOD;BPGM;PTCD2;GFPT2;ITGA2;GPRC5B;IL7R;ABCB1;TRAF1;TFPI;NIN;PRRX1;MAP7;SPON1;CD37;AKT2;HDAC9;TOR1AIP2;GYPC;ATG10;ENG;ACE;NAP1L2;USP12;PLAT;PLAUR;CPE;KIF5C;YRDC;SATB1;NRP1;GLRX;ZNF277;EVI5;EPB41L3;DCBLD2;CBR4;SEMA3B;ADAM17;ETS1;CDADC1;RABGAP1L;JUP;EMP1;FBXO4;AVL9;CAB39L;WDR33;PPP1R15A;PRKG2;CBX8;MAP3K1;CBL;ADAM8;STRN;SDCCAG8;USH1C;DNMBP;RBM4;CLEC4A;SNAP91;LAT2;LCP1;MTMR10;CFB;PTBP2;GPNMB;LIF,ETV5;ETV4;MAFB;TNFAIP3;PLAU;BMP2;TMEM100;CA2;PCSK1N;KLF4;CXCR4;GADD45G;TMEM158;IGF2;MMP11;GUCY1A3;G0S2;RGS16;ID2;MAP4K1;TRIB1;ST6GAL1;TRIB2;ALDH1A3;F2RL1;ANKH;SPRY2;MMD;TSPAN13;IRF8;AMMECR1;CCND2
HALLMARK_INFLAMMATORY_RESPONSE,0.3544105875667059,1.4234633354317612,0.07407407407407407,0.23625843780135006,200,103,NFKBIA;TNFRSF9;ADORA2B;PTGER2;IL15RA;IL18R1;MYC;PROK2;CHST2;RGS16;IFITM1;RIPK2;LY6E;LDLR;TNFSF9;STAB1;PVR;PDPN;NMI;SGMS2;RASGRP1;CSF1;NPFFR2;NAMPT;GCH1;TPBG;KLF6;ICAM4;SLC31A2;TIMP1;PCDH7;SLC4A4;SRI;SLC7A1;SLC7A2;GPC3;CD55;ATP2B1;LPAR1;EMP3;IL10RA;CD82;PTPRE;FZD5;IL4R;HBEGF;ADM;SCN1B;LYN;F3;CALCRL;ATP2A2;FFAR2;IL7R;RNF144B;PIK3R5;EIF2AK2;NMUR1;IFNGR2;GP1BA;NFKB1;RHOG;MET;CD40;ICOSLG;SLC11A2;SLC31A1;IRAK2;P2RY2;IFNAR1;PLAUR;MMP14;ATP2C1;SPHK1;CD70;CD14;ACVR1B;P2RX4;IRF1;DCBLD2;RAF1;ADRM1;KIF1B;BEST1;ITGA5;GABBR1;RELA;MSR1;SEMA4D;PSEN1;GNAI3;LAMP3;C5AR1;MXD1;ACVR2A;AHR;HIF1A;IL15;ABI1;BST2;CDKN1A;BTG2;LIF,NFKBIA;TNFRSF9;ADORA2B;PTGER2;IL15RA;IL18R1;MYC;PROK2;CHST2;RGS16;IFITM1;RIPK2;LY6E;LDLR;TNFSF9;STAB1;PVR;PDPN;NMI;SGMS2;RASGRP1;CSF1;NPFFR2;NAMPT;GCH1;TPBG;KLF6;ICAM4;SLC31A2;TIMP1;PCDH7;SLC4A4;SRI;SLC7A1
HALLMARK_MTORC1_SIGNALING,0.30955160463067455,1.3298175546554938,0.05263157894736842,0.23922557673763073,200,193,PGK1;INSIG1;IGFBP5;RRM2;DHCR24;CTSC;CXCR4;SDF2L1;DHCR7;SERP1;TFRC;SLC37A4;PNP;SCD;SQLE;SLC6A6;LDLR;PRDX1;IDI1;LDHA;SRD5A1;BHLHE40;EGLN3;STARD4;ASNS;SSR1;IFI30;SLC7A5;HMGCS1;GLA;MTHFD2;HSPA5;CD9;EBP;SLC1A5;TUBA4A;FADS2;FADS1;TPI1;SORD;NAMPT;PSAT1;POLR3G;HMBS;RPN1;ENO1;BCAT1;ATP5G1;GAPDH;LGMN;PGM1;TUBG1;PPIA;ACLY;ALDOA;CALR;SHMT2;CYP51A1;PSPH;GPI;ABCF2;SLC1A4;G6PD;ITGB2;HSP90B1;PLOD2;XBP1;PHGDH;AK4;FKBP2;TOMM40;PPA1;HMGCR;CORO1A;CTH;GOT1;MAP2K3;ME1;NFIL3;ELOVL5;GSR;PSMB5;NUP205;RDH11;ELOVL6;ATP2A2;LTA4H;TMEM97;HK2;CCT6A;TES;CCNF;HPRT1;EIF2S2;IMMT;SLC7A11;UNG;NMT1;EPRS;PSMA4;MCM4;SLC9A3R1;ACACA;EEF1E1;HSPE1;CCNG1;GBE1;EDEM1;PSMA3;PNO1;DDX39A;YKT6;PSME3;CACYBP;TXNRD1;QDPR;DHFR;DDIT4;TRIB3;HSPD1;PFKL;USO1;PDAP1;SLC2A1;RPA1;GMPS;SEC11A;PSMG1;UBE2D3;TM7SF2;PITPNB;PLK1;FAM129A;P4HA1;GCLC;UFM1;ETF1;GLRX;ADIPOR2;PSMD13;ACTR2;RAB1A;PIK3R3;UCHL5;PSMC4;AURKA;IDH1;ACSL3;VLDLR;M6PR;MCM2;CANX;IFRD1;HSPA9;CYB5B;ARPC5L;STIP1;TCEA1;PSMC2;ACTR3;PSMD14;SQSTM1;SLC2A3;SERPINH1;RIT1;CDC25A;NFKBIB;ATP6V1D;GSK3B;HSPA4;PSMC6;PPP1R15A;GGA2;ADD3;WARS;NFYC;BUB1;TBK1;RRP9;MLLT11;NUPR1;PSMD12;MTHFD2L;COPS5;NUFIP1;SKAP2;DDIT3;CDKN1A;SYTL2;GTF2H1;PDK1;FDXR;BTG2,PGK1;INSIG1;IGFBP5;RRM2;DHCR24;CTSC;CXCR4;SDF2L1;DHCR7;SERP1;TFRC;SLC37A4;PNP;SCD;SQLE;SLC6A6;LDLR;PRDX1;IDI1;LDHA;SRD5A1;BHLHE40;EGLN3;STARD4;ASNS;SSR1;IFI30;SLC7A5;HMGCS1;GLA;MTHFD2;HSPA5;CD9;EBP;SLC1A5;TUBA4A;FADS2;FADS1;TPI1;SORD;NAMPT;PSAT1;POLR3G;HMBS;RPN1;ENO1;BCAT1;ATP5G1;GAPDH;LGMN;PGM1;TUBG1;PPIA;ACLY;ALDOA;CALR;SHMT2;CYP51A1
HALLMARK_ANDROGEN_RESPONSE,0.37798031073830124,1.6159644505216704,0.05714285714285714,0.2422854387656702,101,91,INSIG1;ADAMTS1;SAT1;HPGD;CCND1;DHCR24;GUCY1A3;NDRG1;MAF;DBI;SCD;CAMKK2;SGK1;ALDH1A3;IDI1;ANKH;DNAJB9;HMGCS1;PMEPA1;SPCS3;TNFAIP8;SEC24D;FADS1;SORD;B2M;HOMER2;TMEM50A;SLC38A2;ELL2;UAP1;ACTN1;SRP19;SMS;AKAP12;RAB4A;PA2G4;UBE2J1;HMGCR;CDK6;B4GALT1;ELOVL5;GSR;ABCC4;PDLIM5;IQGAP2;TPD52;SLC26A2;ZBTB10;LMAN1;NKX3-1;MAP7;ZMIZ1;SRF;FKBP5;AKT1;CCND3;TSC22D1;MYL12A;CDC14B;XRCC6;XRCC5;VAPA;CENPN;UBE2I;ITGAV;PGM3;GPD1L;LIFR;STK39;ACSL3;ADRM1;INPP4B;ARID5B;RPS6KA3;ABHD2;MERTK;GNAI3;ELK4;BMPR1B;RRP12;NCOA4;PIAS1;H1F0;NGLY1;KRT8;MAK;PTK2B;PTPN21;HERC3;HSD17B14;APPBP2,INSIG1;ADAMTS1;SAT1;HPGD;CCND1;DHCR24;GUCY1A3;NDRG1;MAF;DBI;SCD;CAMKK2;SGK1;ALDH1A3;IDI1;ANKH;DNAJB9;HMGCS1;PMEPA1;SPCS3;TNFAIP8;SEC24D;FADS1;SORD;B2M;HOMER2;TMEM50A;SLC38A2
