Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_COMPLEMENT,0.49200415307676826,1.33539365392178,0.13465346534653466,0.33642972536348953,200,11,FN1;CDA;MAFF;DUSP5;HSPA1A;CSRP1;CA2;APOC1;USP15;ITIH1;F8,FN1;CDA;MAFF;DUSP5;HSPA1A;CSRP1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.3250821431173912,1.0229857375664595,0.3524590163934426,0.38004846526655894,200,22,COL3A1;FN1;SAT1;CD44;DKK1;CRLF1;TGM2;COL5A1;LUM;LAMA1;GAS1;CYR61;FZD8;SFRP1;GJA1;CTGF;SPARC;ECM1;FAS;ANPEP;ACTA2;GLIPR1,COL3A1;FN1;SAT1;CD44;DKK1;CRLF1;TGM2;COL5A1;LUM;LAMA1;GAS1;CYR61;FZD8;SFRP1;GJA1
HALLMARK_IL2_STAT5_SIGNALING,0.3997221243772066,1.055003344788408,0.3623481781376518,0.4028675282714055,200,10,ETV4;CD44;MAFF;TGM2;CA2;IL18R1;NDRG1;ECM1;CAPN3;LIF,ETV4;CD44;MAFF;TGM2
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.5226052315015816,1.3760313180491373,0.1328125,0.4353796445880453,200,10,EGR3;CD44;TGM2;NPY1R;HES1;DHCR7;GJA1;CA12;GAB2;SYT12,EGR3;CD44;TGM2;NPY1R;HES1;DHCR7;GJA1;CA12
HALLMARK_GLYCOLYSIS,0.42013808279120546,1.1586954817943194,0.27054108216432865,0.4431542810985461,200,12,CXCR4;CD44;COL5A1;CHST2;CYB5A;KDELR3;ADORA2B;B3GALT6;MIF;SLC37A4;TKTL1;LDHC,CXCR4;CD44;COL5A1;CHST2;CYB5A;KDELR3;ADORA2B;B3GALT6;MIF;SLC37A4
HALLMARK_KRAS_SIGNALING_UP,0.36070290125040855,1.0661608558541085,0.3320388349514563,0.4673263327948303,200,16,ETV4;IGF2;CXCR4;ETV5;PCSK1N;GUCY1A3;CA2;MMP11;TMEM158;CCL20;RBM4;LAT2;SNAP91;LCP1;LIF;KCNN4,ETV4;IGF2;CXCR4;ETV5
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.49153634968847415,1.5725972760106357,0.081799591002045,0.4862681744749596,200,21,ICAM1;EGR3;FOSB;JUNB;DUSP4;SAT1;CD44;MAFF;CXCL2;DUSP5;SLC2A6;HES1;CYR61;LAMB3;IL15RA;FJX1;IFIH1;CCL20;PLK2;CLCF1;LIF,ICAM1;EGR3;FOSB;JUNB;DUSP4;SAT1;CD44;MAFF;CXCL2
HALLMARK_HYPOXIA,-0.3347205464393882,-1.0420115814944362,0.36973180076628354,0.5797345483359747,200,22,CXCR4;MAFF;TGM2;COL5A1;PCK1;CHST2;CYR61;CA12;KDELR3;ADORA2B;B3GALT6;ALDOC;MIF;SLC37A4;NDRG1;CTGF;PHKG1;TKTL1;LDHC;PDK1;BCAN;EDN2,BCAN;EDN2
HALLMARK_KRAS_SIGNALING_DN,-0.45266825649393644,-1.262063784113669,0.19577735124760076,0.6168779714738511,200,12,COL2A1;ZBTB16;CHST2;SNCB;SKIL;CYP39A1;PAX3;RIBC2;C5;FGGY;GPR19;EDN2,FGGY;GPR19;EDN2
HALLMARK_P53_PATHWAY,-0.2239276217155793,-0.6234416301631294,0.8816568047337278,0.8785657686212361,200,14,ZBTB16;SAT1;PROCR;VDR;NDRG1;SESN1;PLK3;GLS2;TRAFD1;PLK2;NHLH2;RPS27L;FAS;LIF,RPS27L;FAS;LIF
