Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_HYPOXIA,-0.9557998507082291,-2.403229529262257,0.02005730659025788,0.046538351048549274,200,22,TGM2;CXCR4;MAFF;CHST2;CA12;COL5A1;CYR61;ALDOC;ADORA2B;CTGF;KDELR3;B3GALT6;SLC37A4;NDRG1;MIF;PDK1;LDHC;PHKG1;TKTL1;BCAN;PCK1;EDN2,PCK1;EDN2
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6792743965286324,2.223878049897862,0.016897081413210446,0.049700874367234235,200,22,SFRP1;LUM;GLIPR1;ANPEP;DKK1;ECM1;TGM2;LAMA1;FN1;COL5A1;CRLF1;FZD8;SAT1;GAS1;CYR61;GJA1;CTGF;SPARC;ACTA2;FAS;COL3A1;CD44,SFRP1;LUM;GLIPR1
HALLMARK_KRAS_SIGNALING_DN,-0.9797514923212531,-2.272632092895951,0.019390581717451522,0.09049123814995691,200,12,ZBTB16;COL2A1;CHST2;SNCB;SKIL;PAX3;CYP39A1;RIBC2;FGGY;C5;GPR19;EDN2,EDN2
HALLMARK_COMPLEMENT,-0.7028154610198675,-1.5457355478684118,0.2023121387283237,0.30565929330652114,200,11,CDA;MAFF;HSPA1A;DUSP5;ITIH1;FN1;CA2;APOC1;USP15;F8;CSRP1,CSRP1
HALLMARK_KRAS_SIGNALING_UP,-0.39298664463633437,-0.8736171909823105,0.5333333333333333,0.5950014363688595,200,16,ETV5;IGF2;CXCR4;MMP11;GUCY1A3;PCSK1N;TMEM158;CA2;RBM4;LAT2;SNAP91;LCP1;CCL20;LIF;KCNN4;ETV4,KCNN4;ETV4
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.29034014873655056,-0.7081087176676629,0.6291208791208791,0.6150531456478023,200,21,DUSP4;EGR3;FOSB;SLC2A6;MAFF;DUSP5;JUNB;SAT1;IL15RA;CYR61;FJX1;HES1;PLK2;CCL20;LIF;LAMB3;IFIH1;ICAM1;CD44;CXCL2;CLCF1,CD44;CXCL2;CLCF1
HALLMARK_IL2_STAT5_SIGNALING,-0.44629505932862074,-1.0243405748373184,0.3939393939393939,0.622234989945418,200,10,ECM1;TGM2;MAFF;IL18R1;CA2;NDRG1;LIF;CAPN3;CD44;ETV4,CD44;ETV4
HALLMARK_GLYCOLYSIS,0.3189298767497567,0.8921283514203424,0.5474777448071216,0.7271053842613898,200,12,CXCR4;CHST2;COL5A1;ADORA2B;KDELR3;B3GALT6;CYB5A;SLC37A4;MIF;LDHC;TKTL1;CD44,CXCR4;CHST2;COL5A1;ADORA2B;KDELR3;B3GALT6;CYB5A;SLC37A4;MIF
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.3855787441597817,1.0415088795816674,0.39416058394160586,0.7734315078999846,200,10,EGR3;TGM2;CA12;NPY1R;HES1;GJA1;DHCR7;GAB2;SYT12;CD44,EGR3;TGM2;CA12;NPY1R;HES1;GJA1;DHCR7
HALLMARK_P53_PATHWAY,0.1372279840170993,0.40635163015471215,0.9935379644588045,0.9884951679705476,200,14,ZBTB16;VDR;SAT1;PROCR;NDRG1;SESN1;PLK3;TRAFD1;RPS27L;PLK2;FAS;GLS2;LIF;NHLH2,ZBTB16;VDR;SAT1;PROCR;NDRG1;SESN1;PLK3;TRAFD1
