Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_GLYCOLYSIS,0.42013808279120546,1.1883539750848302,0.14285714285714285,0.38095238095238093,200,12,CXCR4;CD44;COL5A1;CHST2;CYB5A;KDELR3;ADORA2B;B3GALT6;MIF;SLC37A4;TKTL1;LDHC,CXCR4;CD44;COL5A1;CHST2;CYB5A;KDELR3;ADORA2B;B3GALT6;MIF;SLC37A4
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.49153634968847415,1.2237947678720151,0.42857142857142855,0.5,200,21,ICAM1;EGR3;FOSB;JUNB;DUSP4;SAT1;CD44;MAFF;CXCL2;DUSP5;SLC2A6;HES1;CYR61;LAMB3;IL15RA;FJX1;IFIH1;CCL20;PLK2;CLCF1;LIF,ICAM1;EGR3;FOSB;JUNB;DUSP4;SAT1;CD44;MAFF;CXCL2
HALLMARK_IL2_STAT5_SIGNALING,0.3997221243772068,0.9110778154406363,1.0,0.7857142857142857,200,10,ETV4;CD44;MAFF;TGM2;CA2;IL18R1;NDRG1;ECM1;CAPN3;LIF,ETV4;CD44;MAFF;TGM2
HALLMARK_COMPLEMENT,0.49200415307676826,0.7460403711209441,1.0,0.8367346938775511,200,11,FN1;CDA;MAFF;DUSP5;HSPA1A;CSRP1;CA2;APOC1;USP15;ITIH1;F8,FN1;CDA;MAFF;DUSP5;HSPA1A;CSRP1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.32508214311739114,0.918522585018763,0.5,0.9142857142857141,200,22,COL3A1;FN1;SAT1;CD44;DKK1;CRLF1;TGM2;COL5A1;LUM;LAMA1;GAS1;CYR61;FZD8;SFRP1;GJA1;CTGF;SPARC;ECM1;FAS;ANPEP;ACTA2;GLIPR1,COL3A1;FN1;SAT1;CD44;DKK1;CRLF1;TGM2;COL5A1;LUM;LAMA1;GAS1;CYR61;FZD8;SFRP1;GJA1
HALLMARK_P53_PATHWAY,-0.22392762171557923,-0.5877174137493448,0.875,0.9607843137254902,200,14,ZBTB16;SAT1;PROCR;VDR;NDRG1;SESN1;PLK3;GLS2;TRAFD1;PLK2;NHLH2;RPS27L;FAS;LIF,RPS27L;FAS;LIF
HALLMARK_KRAS_SIGNALING_UP,0.36070290125040855,0.9754281876310329,0.6,0.9642857142857142,200,16,ETV4;IGF2;CXCR4;ETV5;PCSK1N;GUCY1A3;CA2;MMP11;TMEM158;CCL20;RBM4;LAT2;SNAP91;LCP1;LIF;KCNN4,ETV4;IGF2;CXCR4;ETV5
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.5226052315015816,1.224610610245784,0.14285714285714285,1.0,200,10,EGR3;CD44;TGM2;NPY1R;HES1;DHCR7;GJA1;CA12;GAB2;SYT12,EGR3;CD44;TGM2;NPY1R;HES1;DHCR7;GJA1;CA12
HALLMARK_KRAS_SIGNALING_DN,-0.45266825649393644,-0.8928114923878756,0.7142857142857143,1.0,200,12,COL2A1;ZBTB16;CHST2;SNCB;SKIL;CYP39A1;PAX3;RIBC2;C5;FGGY;GPR19;EDN2,FGGY;GPR19;EDN2
HALLMARK_HYPOXIA,-0.3347205464393882,-0.6585747434451829,0.8333333333333334,1.0,200,22,CXCR4;MAFF;TGM2;COL5A1;PCK1;CHST2;CYR61;CA12;KDELR3;ADORA2B;B3GALT6;ALDOC;MIF;SLC37A4;NDRG1;CTGF;PHKG1;TKTL1;LDHC;PDK1;BCAN;EDN2,BCAN;EDN2
