Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_COMPLEMENT,,,0.0,1000000000.0,200,11,WNT6;DUSP4;ID1;IL27RA;RSPH10B;CRLF1;FAM69A;EPHA8;C16orf86;KIF18A;PPP1R21,WNT6;DUSP4;ID1;IL27RA;RSPH10B;CRLF1;FAM69A;EPHA8;C16orf86;KIF18A;PPP1R21
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,,,0.0,1000000000.0,200,22,KRTAP21-2;DNAH10;NGFR;S1PR3;IGF2;CFAP52;HES5;BARX2;ADAMTS1;EPHA8;PRR7;TFRC;DPY19L1;CITED1;DHCR7;NMU;FBXW9;RAD52;NEMP1;RNF103-CHMP3;C5;NHLH2,KRTAP21-2;DNAH10;NGFR;S1PR3;IGF2;CFAP52;HES5;BARX2;ADAMTS1;EPHA8;PRR7;TFRC;DPY19L1;CITED1;DHCR7;NMU;FBXW9;RAD52;NEMP1;RNF103-CHMP3;C5;NHLH2
HALLMARK_ESTROGEN_RESPONSE_EARLY,,,0.0,1000000000.0,200,10,KRTAP21-2;MAFA;BARX2;TWIST2;EVA1B;CAMSAP3;FBXW9;ZBTB48;OSCP1;PTPRH,KRTAP21-2;MAFA;BARX2;TWIST2;EVA1B;CAMSAP3;FBXW9;ZBTB48;OSCP1;PTPRH
HALLMARK_GLYCOLYSIS,,,0.0,1000000000.0,200,12,KRTAP21-2;CDH1;RASGRP2;PRR7;LRSAM1;CEP89;LYSMD1;KIAA1841;TIMM23B;KSR1;ADAMTS7P4;CCDC160,KRTAP21-2;CDH1;RASGRP2;PRR7;LRSAM1;CEP89;LYSMD1;KIAA1841;TIMM23B;KSR1;ADAMTS7P4;CCDC160
HALLMARK_HYPOXIA,,,0.0,1000000000.0,200,22,WNT8B;ADGRG2;BARX2;CDH1;IL27RA;RASGRP2;TWIST2;PRR7;NMU;NDRG1;LRSAM1;RAD52;CEP89;LYSMD1;TIMM23B;C8orf44;KSR1;ZNF627;ADAMTS7P4;FNBP1P1;CCDC160;MAGEA11,WNT8B;ADGRG2;BARX2;CDH1;IL27RA;RASGRP2;TWIST2;PRR7;NMU;NDRG1;LRSAM1;RAD52;CEP89;LYSMD1;TIMM23B;C8orf44;KSR1;ZNF627;ADAMTS7P4;FNBP1P1;CCDC160;MAGEA11
HALLMARK_IL2_STAT5_SIGNALING,,,0.0,1000000000.0,200,10,KRTAP21-2;ACRV1;ADORA1;HES5;BARX2;IL27RA;TMSB15A;C16orf86;C8orf44;FES,KRTAP21-2;ACRV1;ADORA1;HES5;BARX2;IL27RA;TMSB15A;C16orf86;C8orf44;FES
HALLMARK_KRAS_SIGNALING_DN,,,0.0,1000000000.0,200,12,WNT8B;EMILIN2;VDR;RASGRP2;ALDOC;ZSWIM5;RBM45;KIF27;RP11-577H5.1;COL3A1;ADCY10P1;GOLGA8T,WNT8B;EMILIN2;VDR;RASGRP2;ALDOC;ZSWIM5;RBM45;KIF27;RP11-577H5.1;COL3A1;ADCY10P1;GOLGA8T
HALLMARK_KRAS_SIGNALING_UP,,,0.0,1000000000.0,200,16,ACRV1;HES2;MICAL2;DPY19L1P2;CDH1;IL15RA;GPM6B;MESDC1;TMEM189-UBE2V1;C16orf86;CEP95;ZNF383;RP11-435I10.4;LAMB3;EDA2R;FES,ACRV1;HES2;MICAL2;DPY19L1P2;CDH1;IL15RA;GPM6B;MESDC1;TMEM189-UBE2V1;C16orf86;CEP95;ZNF383;RP11-435I10.4;LAMB3;EDA2R;FES
HALLMARK_P53_PATHWAY,,,0.0,1000000000.0,200,14,ZBTB16;EMILIN2;SEMA4F;CITED1;YDJC;C8orf44;NT5C2;LIN37;ZSCAN30;TPH2;DENND2A;C5;CLCF1;FES,ZBTB16;EMILIN2;SEMA4F;CITED1;YDJC;C8orf44;NT5C2;LIN37;ZSCAN30;TPH2;DENND2A;C5;CLCF1;FES
HALLMARK_TNFA_SIGNALING_VIA_NFKB,,,0.0,1000000000.0,200,21,KRTAP21-2;PHACTR3;EGR3;TPI1P2;SLCO4C1;MAFA;CRYM;MMP11;IL27RA;CRLF1;AGAP2;CITED1;MATK;NMU;APOC1;CAMSAP3;DENND2A;EDA2R;FES;NRROS;PCK1,KRTAP21-2;PHACTR3;EGR3;TPI1P2;SLCO4C1;MAFA;CRYM;MMP11;IL27RA;CRLF1;AGAP2;CITED1;MATK;NMU;APOC1;CAMSAP3;DENND2A;EDA2R;FES;NRROS;PCK1
