Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_HYPOXIA,-0.9557998507082291,-3.835268218543547,0.0,0.0,200,22,TGM2;CXCR4;MAFF;CHST2;CA12;COL5A1;CYR61;ALDOC;ADORA2B;CTGF;KDELR3;B3GALT6;SLC37A4;NDRG1;MIF;PDK1;LDHC;PHKG1;TKTL1;BCAN;PCK1;EDN2,PCK1;EDN2
HALLMARK_KRAS_SIGNALING_DN,-0.9797514923212531,-4.495756088458129,0.0,0.0,200,12,ZBTB16;COL2A1;CHST2;SNCB;SKIL;PAX3;CYP39A1;RIBC2;FGGY;C5;GPR19;EDN2,EDN2
HALLMARK_COMPLEMENT,-0.7028154610198675,-2.0793941108081255,0.0,0.05263157894736842,200,11,CDA;MAFF;HSPA1A;DUSP5;ITIH1;FN1;CA2;APOC1;USP15;F8;CSRP1,CSRP1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6792743965286324,1.6800415392428105,0.2,0.3870967741935484,200,22,SFRP1;LUM;GLIPR1;ANPEP;DKK1;ECM1;TGM2;LAMA1;FN1;COL5A1;CRLF1;FZD8;SAT1;GAS1;CYR61;GJA1;CTGF;SPARC;ACTA2;FAS;COL3A1;CD44,SFRP1;LUM;GLIPR1
HALLMARK_IL2_STAT5_SIGNALING,-0.44629505932862074,-0.9132631872327907,0.5,0.7105263157894737,200,10,ECM1;TGM2;MAFF;IL18R1;CA2;NDRG1;LIF;CAPN3;CD44;ETV4,CD44;ETV4
HALLMARK_GLYCOLYSIS,0.3189298767497566,0.7544910725978949,0.4,0.8602150537634409,200,12,CXCR4;CHST2;COL5A1;ADORA2B;KDELR3;B3GALT6;CYB5A;SLC37A4;MIF;LDHC;TKTL1;CD44,CXCR4;CHST2;COL5A1;ADORA2B;KDELR3;B3GALT6;CYB5A;SLC37A4;MIF
HALLMARK_KRAS_SIGNALING_UP,-0.39298664463633437,-0.6042123503359076,1.0,0.868421052631579,200,16,ETV5;IGF2;CXCR4;MMP11;GUCY1A3;PCSK1N;TMEM158;CA2;RBM4;LAT2;SNAP91;LCP1;CCL20;LIF;KCNN4;ETV4,KCNN4;ETV4
HALLMARK_P53_PATHWAY,0.1372279840170994,0.43699161343689624,1.0,0.9838709677419355,200,14,ZBTB16;VDR;SAT1;PROCR;NDRG1;SESN1;PLK3;TRAFD1;RPS27L;PLK2;FAS;GLS2;LIF;NHLH2,ZBTB16;VDR;SAT1;PROCR;NDRG1;SESN1;PLK3;TRAFD1
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.3855787441597817,0.8689929795779247,0.42857142857142855,1.0,200,10,EGR3;TGM2;CA12;NPY1R;HES1;GJA1;DHCR7;GAB2;SYT12;CD44,EGR3;TGM2;CA12;NPY1R;HES1;GJA1;DHCR7
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.2903401487365507,-0.673957430386847,0.8,1.0,200,21,DUSP4;EGR3;FOSB;SLC2A6;MAFF;DUSP5;JUNB;SAT1;IL15RA;CYR61;FJX1;HES1;PLK2;CCL20;LIF;LAMB3;IFIH1;ICAM1;CD44;CXCL2;CLCF1,CD44;CXCL2;CLCF1
