Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.4339839281780076,-1.6577883947826981,0.07692307692307693,0.04531722054380665,113,107,KDELR3;IMP3;FKBP14;NFYA;EIF4G1;LSM4;CNOT6;ZBTB17;ARFGAP1;TATDN2;EDC4;CALR;SPCS3;H2AFX;EXOSC4;EIF4E;EXOSC2;NOLC1;TTC37;DCP2;EEF2;NHP2;DCP1A;CXXC1;EIF4A2;BANF1;GEMIN4;DCTN1;PDIA6;ATP6V0D1;LSM1;KIF5B;XPOT;ASNS;YIF1A;IFIT1;SLC7A5;POP4;KHSRP;EIF4A3;PAIP1;SRPRB;ALDH18A1;YWHAZ;TSPYL2;SLC30A5;NOP56;SPCS1;GOSR2;DKC1;EDEM1;PDIA5;DDX10;EIF2AK3;SSR1;PREB;PSAT1;SEC11A;CKS1B;EIF4EBP1;NOP14;MTHFD2;DNAJC3;SERP1;EXOSC10;RPS14;EXOC2;EIF4A1;ATF4;CNOT2;FUS;TUBB2A;CHAC1;SDAD1;DDIT4;VEGFA;EIF2S1;NFYB;CNOT4;CEBPB;WFS1;IARS;EXOSC9;HSP90B1;BAG3;TARS;NPM1;CEBPG;SKIV2L2;ATF6;SEC31A;EXOSC5;STC2;HYOU1;SLC1A4;RRP9;EXOSC1;PARN;WIPI1;HSPA9;ATF3;XBP1;SHC1;ERN1;HERPUD1;HSPA5;DNAJB9,PREB;PSAT1;SEC11A;CKS1B;EIF4EBP1;NOP14;MTHFD2;DNAJC3;SERP1;EXOSC10;RPS14;EXOC2;EIF4A1;ATF4;CNOT2;FUS;TUBB2A;CHAC1;SDAD1;DDIT4;VEGFA;EIF2S1;NFYB;CNOT4;CEBPB;WFS1;IARS;EXOSC9;HSP90B1;BAG3;TARS;NPM1;CEBPG;SKIV2L2;ATF6;SEC31A;EXOSC5;STC2;HYOU1;SLC1A4;RRP9;EXOSC1;PARN;WIPI1;HSPA9;ATF3;XBP1;SHC1;ERN1;HERPUD1;HSPA5;DNAJB9
HALLMARK_E2F_TARGETS,-0.2324649795469819,-1.457446456182199,0.16666666666666666,0.12386706948640483,200,196,TFRC;MKI67;LUC7L3;PDS5B;CCP110;KIF18B;UBE2S;PRDX4;POLE;NAA38;MXD3;DCTPP1;ESPL1;POLD1;SRSF2;TBRG4;SPAG5;CIT;DDX39A;POLE4;ASF1B;HMGA1;LBR;CTCF;XPO1;ANP32E;ILF3;MYC;RRM2;SRSF1;CDKN2A;CKS2;TUBG1;DNMT1;IPO7;POP7;SPC24;SLBP;CDC25B;H2AFX;NUP153;BUB1B;BIRC5;GSPT1;NOLC1;TIMELESS;GINS1;NCAPD2;PTTG1;WDR90;HELLS;CENPM;ATAD2;H2AFZ;WEE1;SNRPB;PHF5A;ORC6;DCLRE1B;STMN1;HN1;TCF19;ORC2;KIF22;CDKN1A;AK2;PNN;DUT;NUDT21;AURKB;CDC25A;STAG1;PRKDC;MCM3;CDKN1B;NAP1L1;RANBP1;DONSON;UNG;SMC6;E2F8;TK1;PRPS1;RPA1;SHMT1;SUV39H1;DEK;DLGAP5;CDCA3;MCM4;RFC3;PLK1;SYNCRIP;MCM6;CHEK2;TRA2B;NUP205;HMGB3;KIF2C;EED;MYBL2;NOP56;NME1;TACC3;PPP1R8;KIF4A;MELK;CDKN2C;CDCA8;RPA2;RAN;PLK4;UBR7;RAD21;NASP;SMC1A;SMC4;BRMS1L;AURKA;PA2G4;BRCA2;PAN2;DSCC1;CHEK1;TMPO;SSRP1;CENPE;LMNB1;PSMC3IP;MCM2;CKS1B;MTHFD2;TOP2A;CDK4;TUBB;PCNA;RNASEH2A;EZH2;RACGAP1;MAD2L1;CCNE1;RAD1;DIAPH3;NBN;MSH2;DCK;CDK1;MCM5;PSIP1;RBBP7;PPM1D;TRIP13;HUS1;USP1;MCM7;HNRNPD;RAD51AP1;KPNA2;EIF2S1;SMC3;PMS2;XRCC6;MMS22L;DEPDC1;POLD3;LYAR;TIPIN;PAICS;BRCA1;RFC1;POLA2;CCNB2;CDC20;CSE1L;RAD50;NUP107;POLD2;GINS3;UBE2T;GINS4;SPC25;CDKN3;BARD1;CBX5;RFC2;HMGB2;ASF1A;PRIM2;RPA3;TP53;ZW10;LIG1;RAD51C;ING3;HMMR;EXOSC8,PSMC3IP;MCM2;CKS1B;MTHFD2;TOP2A;CDK4;TUBB;PCNA;RNASEH2A;EZH2;RACGAP1;MAD2L1;CCNE1;RAD1;DIAPH3;NBN;MSH2;DCK;CDK1;MCM5;PSIP1;RBBP7;PPM1D;TRIP13;HUS1;USP1;MCM7;HNRNPD;RAD51AP1;KPNA2;EIF2S1;SMC3;PMS2;XRCC6;MMS22L;DEPDC1;POLD3;LYAR;TIPIN;PAICS;BRCA1;RFC1;POLA2;CCNB2;CDC20;CSE1L;RAD50;NUP107;POLD2;GINS3;UBE2T;GINS4;SPC25;CDKN3;BARD1;CBX5;RFC2;HMGB2;ASF1A;PRIM2;RPA3;TP53;ZW10;LIG1;RAD51C;ING3;HMMR;EXOSC8
HALLMARK_DNA_REPAIR,-0.28215945972307843,-1.4704865136234087,0.125,0.14501510574018128,150,138,CDA;DGCR8;GPX4;APRT;BCAM;NME3;ADCY6;NME4;AK1;POLR2H;SMAD5;POLD1;NCBP2;POLE4;CLP1;POLD4;AK3;SNAPC4;COX17;SDCBP;BOLA2;NUDT9;ERCC2;CANT1;POLR2A;GUK1;MPG;ERCC8;TAF13;BCAP31;TAF6;POLH;POLR2C;POLR2E;TAF10;SAC3D1;DDB1;TAF1C;DGUOK;REV3L;POLR2F;VPS37B;POLR2D;SUPT5H;POLR2J;ADA;TCEB3;DAD1;DUT;NUDT21;TARBP2;PNP;TAF12;POM121;ZWINT;SUPT4H1;ZNF707;STX3;FEN1;GTF2B;IMPDH2;NT5C;RFC3;RBX1;ERCC3;ARL6IP1;ZNRD1;POLR2K;NME1;POLR1D;GTF2A2;POLR1C;RPA2;RAD52;SURF1;USP11;ELL;TSG101;POLL;POLR2G;RFC4;SSRP1;ITPA;ADRM1;GTF2H1;GTF3C5;TMED2;POLA1;CCNO;PCNA;POLB;GTF2F1;HPRT1;RAE1;GTF2H3;ERCC5;SEC61A1;SRSF6;GMPR2;GTF2H5;RFC5;VPS28;UPF3B;SNAPC5;ERCC4;CSTF3;EIF1B;POLD3;UMPS;POLR2I;POLR3GL;TAF9;POLA2;RNMT;RALA;DFNA5;SF3A3;EDF1;BRF2;CETN2;VPS37D;TYMS;AAAS;NFX1;DCTN4;XPC;PRIM1;MRPL40;DDB2;RFC2;TK2;ERCC1;RPA3;TP53;RRM2B;RAD51;LIG1;POLR3C,RFC4;SSRP1;ITPA;ADRM1;GTF2H1;GTF3C5;TMED2;POLA1;CCNO;PCNA;POLB;GTF2F1;HPRT1;RAE1;GTF2H3;ERCC5;SEC61A1;SRSF6;GMPR2;GTF2H5;RFC5;VPS28;UPF3B;SNAPC5;ERCC4;CSTF3;EIF1B;POLD3;UMPS;POLR2I;POLR3GL;TAF9;POLA2;RNMT;RALA;DFNA5;SF3A3;EDF1;BRF2;CETN2;VPS37D;TYMS;AAAS;NFX1;DCTN4;XPC;PRIM1;MRPL40;DDB2;RFC2;TK2;ERCC1;RPA3;TP53;RRM2B;RAD51;LIG1;POLR3C
HALLMARK_MYC_TARGETS_V1,-0.310199207039049,-1.382105119307075,0.2222222222222222,0.1676737160120846,200,197,DHX15;TFDP1;PRDX4;G3BP1;TXNL4A;SRSF2;NCBP2;TUFM;LSM7;XPO1;PABPC4;MRPL23;PSMB3;PPM1G;VDAC1;MYC;FAM120A;SRSF1;U2AF1;HDGF;UBE2L3;GNL3;GOT2;CBX3;SNRPA;EIF3B;SNRPA1;NOP16;RPS2;NDUFAB1;CYC1;SNRPG;EIF4E;SLC25A3;STARD7;PPIA;GSPT1;NOLC1;HNRNPA2B1;PRDX3;NHP2;NCBP1;PGK1;H2AFZ;RPS10;TARDBP;CNBP;GLO1;TRIM28;RPS5;ORC2;VDAC3;SNRPD2;SERBP1;PCBP1;DUT;EIF4G2;PSMA2;SRPK1;NAP1L1;PHB;PSMA7;XPOT;RANBP1;PSMD1;HNRNPR;SF3B3;CDC45;SNRPD1;FBL;RPLP0;HSPE1;HNRNPC;DDX21;RPL34;YWHAQ;DEK;IMPDH2;CCT3;LDHA;KPNB1;CCT7;RPS3;CUL1;MCM4;RPL18;AP3S1;RAD23B;PTGES3;SYNCRIP;COX5A;MCM6;SRSF7;RPL14;PSMB2;TRA2B;SSB;LSM2;NOP56;NME1;PRPS2;RPL22;RPL6;CLNS1A;CCT5;SNRPD3;RPS6;RAN;YWHAE;C1QBP;VBP1;ETF1;SRSF3;HSP90AB1;SET;PSMD3;SMARCC1;EIF2S2;PRPF31;CAD;BUB3;PA2G4;PSMA4;RFC4;EXOSC7;PSMA1;MCM2;CDK4;CCT4;UBA2;PCNA;PHB2;PABPC1;APEX1;MAD2L1;HPRT1;ERH;TCP1;RUVBL2;EIF4A1;EIF4H;ACP1;PSMC4;RNPS1;MCM5;KARS;PSMD7;CCNA2;RRM1;USP1;EIF3D;MCM7;HNRNPU;ABCE1;HNRNPD;DDX18;PSMA6;KPNA2;EIF2S1;COPS5;PWP1;XRCC6;HNRNPA1;PSMC6;SF3A1;HDAC2;HDDC2;EEF1B2;EIF1AX;IARS;MRPS18B;POLE3;ILF2;EIF3J;CDK2;CSTF2;PSMD8;CDC20;NPM1;EPRS;TYMS;POLD2;CCT2;RSL1D1;UBE2E1;SSBP1;HSPD1;IFRD1;SRM;CANX;PSMD14;HNRNPA3;MRPL9;AIMP2;RRP9;SNRPB2;ODC1,CDK4;CCT4;UBA2;PCNA;PHB2;PABPC1;APEX1;MAD2L1;HPRT1;ERH;TCP1;RUVBL2;EIF4A1;EIF4H;ACP1;PSMC4;RNPS1;MCM5;KARS;PSMD7;CCNA2;RRM1;USP1;EIF3D;MCM7;HNRNPU;ABCE1;HNRNPD;DDX18;PSMA6;KPNA2;EIF2S1;COPS5;PWP1;XRCC6;HNRNPA1;PSMC6;SF3A1;HDAC2;HDDC2;EEF1B2;EIF1AX;IARS;MRPS18B;POLE3;ILF2;EIF3J;CDK2;CSTF2;PSMD8;CDC20;NPM1;EPRS;TYMS;POLD2;CCT2;RSL1D1;UBE2E1;SSBP1;HSPD1;IFRD1;SRM;CANX;PSMD14;HNRNPA3;MRPL9;AIMP2;RRP9;SNRPB2;ODC1
HALLMARK_PROTEIN_SECRETION,-0.29290399452835475,-1.3386015872704335,0.10344827586206896,0.1903323262839879,96,94,ATP6V1B1;ATP1A1;GLA;GOLGA4;CTSC;TMX1;DOPEY1;YIPF6;ANP32E;PPT1;DST;KIF1B;ADAM10;YKT6;COG2;VAMP4;SCAMP3;M6PR;LAMP2;CD63;SGMS1;SCRN1;GNAS;STX12;ARFGEF1;SEC24D;MAPK1;RAB9A;MON2;PAM;NAPG;GBF1;ATP7A;LMAN1;CAV2;COPB2;CLN5;BNIP3;EGFR;IGF2R;RAB22A;STX16;AP3S1;AP2M1;ERGIC3;ATP6V1H;RAB14;AP3B1;GOSR2;SOD1;AP2S1;GALC;AP2B1;CLCN3;TMED10;OCRL;TSG101;VAMP3;CLTA;SEC22B;TMED2;ARCN1;ARF1;DNM1L;TPD52;VAMP7;AP1G1;SCAMP1;COPB1;COPE;RPS6KA3;STX7;SNX2;KRT18;ARFIP1;CLTC;NAPA;SH3GL2;VPS4B;SNAP23;ARFGAP3;TOM1L1;RAB2A;RER1;STAM;SEC31A;USO1;ICA1;VPS45;RAB5A;ZW10;BET1;ARFGEF2;SSPN,SEC22B;TMED2;ARCN1;ARF1;DNM1L;TPD52;VAMP7;AP1G1;SCAMP1;COPB1;COPE;RPS6KA3;STX7;SNX2;KRT18;ARFIP1;CLTC;NAPA;SH3GL2;VPS4B;SNAP23;ARFGAP3;TOM1L1;RAB2A;RER1;STAM;SEC31A;USO1;ICA1;VPS45;RAB5A;ZW10;BET1;ARFGEF2;SSPN
HALLMARK_UV_RESPONSE_UP,0.4344592434886587,1.3556618089018253,0.23076923076923078,0.48469387755102045,158,142,FOS;MMP14;FOSB;JUNB;CDKN1C;COL2A1;KCNH2;TUBA4A;NFKBIA;RET;BCL2L11;CXCL2;EPCAM;TFRC;AMD1;GLS;DLG4;SLC6A12;CA2;NPTXR;MSX1;DGAT1;HYAL2;SLC6A8;ENO2;SHOX2;EPHX1;CHRNA5;CCND3;TAP1;IGFBP2;NXF1;GCH1;SLC25A4;STK25;MARK2;FURIN;PRKCD;POLR2H;IL6ST;SPR;CHKA;GPX3;NPTX2;PLCL1;AQP3;ALDOA;KLHDC3;HSPA2;LHX2;CYP1A1;STARD3;TYRO3;CDO1;ABCB1;RHOB;CDC34;MRPL23;PPT1;FKBP4;GAL;MGAT1;NR4A1;SOD2;RASGRP1;GGH;RPN1;LYN;NKX2-5;SIGMAR1;PDLIM3;BAK1;YKT6;ACAA1;TGFBRAP1;ALAS1;OLFM1;ARRB2;H2AFX;PRKACA;HLA-F;CDKN2B;BID;CREG1;TMBIM6;WIZ;CLCN2;BSG;MAOA;MAPK8IP2;CASP3;PPP1R2;DNAJA1;CYB5R1;TST;POLG2;ATP6V1F;BMP2;GRINA;CLTB;ASNS;RRAD;ATP6V1C1;FEN1;DDX21;CNP;PTPRD;PDAP1;E2F5;PPIF;DNAJB1;STIP1;AP2S1;BTG2;SQSTM1;PPAT;GRPEL1;RAB27A;RFC4;EIF2S3;CCNE1;CYB5B;BTG3;PRPF3;PARP2;NAT1;HNRNPU;IRF1;EIF5;UROD;POLE3;CDK2;RXRB;BTG1;CDC5L;TARS;CEBPG;PSMC3;HSPA13;HMOX1;ATF3;SULT1A1,FOS;MMP14;FOSB;JUNB;CDKN1C;COL2A1;KCNH2;TUBA4A;NFKBIA;RET;BCL2L11;CXCL2;EPCAM;TFRC;AMD1;GLS;DLG4;SLC6A12;CA2;NPTXR;MSX1;DGAT1;HYAL2;SLC6A8;ENO2;SHOX2;EPHX1;CHRNA5;CCND3;TAP1;IGFBP2;NXF1;GCH1;SLC25A4;STK25;MARK2;FURIN;PRKCD;POLR2H;IL6ST;SPR;CHKA;GPX3;NPTX2;PLCL1;AQP3;ALDOA;KLHDC3;HSPA2;LHX2;CYP1A1;STARD3;TYRO3;CDO1;ABCB1;RHOB
HALLMARK_COAGULATION,0.4781968347713203,1.3578266703317978,0.0,0.5751700680272109,138,76,MMP14;CTSK;FN1;MMP15;MAFF;CLU;LRP1;CRIP2;GSN;F12;PROS1;C1R;CTSB;CSRP1;ANG;PLAU;MMP11;COMP;KLK8;CFD;CD9;MMP2;S100A1;GP1BA;FURIN;S100A13;ADAM9;C1S;SERPING1;LGMN;BMP1;CFB;TFPI2;CASP9;SPARC;RABIF;ITGA2;P2RY1;GNB2;APOC1;LAMP2;PLAT;C2;TF;SIRT2;LTA4H;FYN;MASP2;PEF1;GNG12;RAC1;PREP;CAPN5;ARF4;USP11;ISCU;SH2B2;RAPGEF3;MSRB2;DPP4;WDR1;TIMP3;F3;C3;CTSH;FBN1;PRSS23;TIMP1;F8;CAPN2;MST1;DUSP6;CTSO;HTRA1;KLF7;ANXA1,MMP14;CTSK;FN1;MMP15;MAFF;CLU;LRP1;CRIP2;GSN;F12;PROS1;C1R;CTSB;CSRP1;ANG;PLAU;MMP11;COMP;KLK8;CFD;CD9;MMP2;S100A1;GP1BA;FURIN;S100A13;ADAM9;C1S;SERPING1
HALLMARK_NOTCH_SIGNALING,0.5890438348242819,1.3602225866000979,0.0,0.7028061224489797,32,27,NOTCH3;DLL1;HES1;FZD5;FZD1;ST3GAL6;FZD7;NOTCH2;KAT2A;WNT5A;PPARD;NOTCH1;FBXW11;CCND1;PRKCA;ARRB1;SKP1;APH1A;HEYL;DTX2;CUL1;PSENEN;RBX1;TCF7L2;SAP30;PSEN2;JAG1,NOTCH3;DLL1;HES1;FZD5;FZD1;ST3GAL6;FZD7;NOTCH2;KAT2A;WNT5A;PPARD;NOTCH1;FBXW11;CCND1
HALLMARK_HEME_METABOLISM,0.2793192009377111,1.279757102105884,0.14814814814814814,0.7201166180758019,200,168,ICAM4;ANK1;FAM46C;SPTB;LRP10;TFRC;FN3K;MARCH2;IGSF3;CTSB;CA2;BMP2K;HBQ1;SLC11A2;CLIC2;TMCC2;EPOR;EZH1;SLC6A8;TRIM58;SELENBP1;PC;ARHGEF12;CCND3;KHNYN;SYNJ1;BCAM;ABCB6;AGPAT4;SLC30A10;FBXO34;SLC30A1;NARF;MAP2K3;CROCCP2;GDE1;MFHAS1;TSPAN5;RNF19A;FBXO9;CTNS;AQP3;BPGM;RBM38;SLC10A3;CPOX;PPP2R5B;SEC14L1;PIGQ;EIF2AK1;MINPP1;GLRX5;MBOAT2;TMEM9B;OPTN;CDR2;HDGF;NEK7;MARCH8;ATP6V0A1;DCAF11;SDCBP;BACH1;UBAC1;DAAM1;ELL2;P4HA2;DCAF10;HTATIP2;SLC2A1;ALAD;TNRC6B;FOXO3;PQLC1;MKRN1;GAPVD1;ADIPOR1;ATG4A;LAMP2;SLC6A9;SNCA;KLF3;TOP1;BLVRB;MARK3;LPIN2;HIST1H4C;SLC22A4;KAT2B;BSG;HMBS;DCUN1D1;HAGH;RAD23A;E2F2;BNIP3L;FBXO7;CDC27;NNT;ADD1;PRDX2;PGLS;ASNS;HTRA2;YPEL5;FOXJ2;VEZF1;CAST;OSBP2;SLC25A37;NUDT4;SLC7A11;MGST3;RBM5;ENDOD1;H1F0;RNF123;PPOX;BTRC;ISCA1;EPB41;SLC25A38;BTG2;CLCN3;RAP1GAP;GCLC;NR3C1;PICALM;FECH;NFE2L1;MPP1;TFDP2;RCL1;BLVRA;GCLM;UROS;PSMD9;NCOA4;SIDT2;USP15;SMOX;MXI1;C3;ARL2BP;ADD2;UROD;TRAK2;MOSPD1;XPO7;CAT;FTCD;ACSL6;HEBP1;UCP2;ERMAP;GMPS;ALDH6A1;LMO2;CCDC28A;GYPC;RANBP10;CIR1;ABCG2;RIOK3;TCEA1;XK;MOCOS;RHCE,ICAM4;ANK1;FAM46C;SPTB;LRP10;TFRC;FN3K;MARCH2;IGSF3;CTSB;CA2;BMP2K;HBQ1;SLC11A2;CLIC2;TMCC2;EPOR;EZH1;SLC6A8;TRIM58;SELENBP1;PC;ARHGEF12;CCND3;KHNYN;SYNJ1;BCAM;ABCB6;AGPAT4;SLC30A10;FBXO34;SLC30A1;NARF;MAP2K3;CROCCP2;GDE1;MFHAS1;TSPAN5;RNF19A;FBXO9;CTNS;AQP3;BPGM;RBM38;SLC10A3;CPOX;PPP2R5B;SEC14L1;PIGQ;EIF2AK1;MINPP1
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.29924824503149466,0.9082222098035513,0.4666666666666667,0.7280505952380953,87,54,TGFB1;CD44;CSF2RA;SOCS3;IL15RA;CD9;SOCS1;MAP3K8;IL3RA;JUN;GRB2;IL18R1;CD14;TYK2;IL6ST;TNFRSF12A;STAT3;TNFRSF21;STAT2;CNTFR;IL9R;IL17RA;LTBR;PDGFC;BAK1;IFNGR2;IL13RA1;IL17RB;PTPN11;IFNAR1;IFNGR1;STAT1;MYD88;PIK3R5;TNFRSF1A;ACVR1B;PIM1;CSF1;CBL;LEPR;IL4R;PTPN2;ACVRL1;CXCL3;IRF1;IL10RB;ITGA4;PTPN1;IRF9;HAX1;STAM2;HMOX1;INHBE;FAS,TGFB1;CD44;CSF2RA;SOCS3;IL15RA;CD9;SOCS1;MAP3K8;IL3RA;JUN;GRB2;IL18R1;CD14;TYK2;IL6ST;TNFRSF12A;STAT3;TNFRSF21;STAT2;CNTFR;IL9R;IL17RA
