Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_ANDROGEN_RESPONSE,0.9153223806921705,2.1059139472559467,0.0,0.11739130434782609,101,91,ABCC4;CAMKK2;NGLY1;PTPN21;BMPR1B;ELL2;FKBP5;PTK2B;B4GALT1;CCND1;ADRM1;SPCS3;NCOA4;AKAP12;SLC26A2;NDRG1;HERC3;MAK;HMGCS1;MAF;ALDH1A3;ACTN1;PIAS1;ELOVL5;H1F0;AKT1;MYL12A;APPBP2;GPD1L;INPP4B;UAP1;MAP7;ABHD2;RRP12;ARID5B;HSD17B14;SMS;SEC24D;ELK4;PA2G4;MERTK;LIFR;UBE2J1;XRCC5;SRP19;ACSL3;CCND3;ZMIZ1;DNAJB9;PDLIM5;XRCC6;PGM3;ITGAV;SRF;IQGAP2;PMEPA1;STK39;CENPN;HMGCR;LMAN1;TPD52;UBE2I;TSC22D1;CDC14B;IDI1;CDK6;SLC38A2;SAT1;ZBTB10;GUCY1A3;RPS6KA3;SCD;VAPA;HPGD;NKX3-1;ANKH;FADS1;ADAMTS1;DBI;SGK1;HOMER2;GNAI3;TNFAIP8;GSR;TMEM50A;INSIG1;DHCR24;B2M;RAB4A;KRT8;SORD,ABCC4
HALLMARK_MYC_TARGETS_V2,-0.8506302424183962,-1.8255008236205506,0.0,0.4107142857142857,58,58,SUPV3L1;GNL3;NOLC1;TMEM97;DUSP2;SLC19A1;CBX3;MYC;WDR74;MCM5;PLK4;PHB;NDUFAF4;GRWD1;HSPE1;UNG;RRP12;NIP7;MCM4;PLK1;MAP3K6;TCOF1;PA2G4;PRMT3;DDX18;NOP16;MYBBP1A;TBRG4;PPRC1;PUS1;NPM1;IPO4;HSPD1;MRTO4;NOP2;RABEPK;EXOSC5;SRM;LAS1L;HK2;SLC29A2;BYSL;WDR43;FARSA;UTP20;PPAN;TFB2M;CDK4;PES1;AIMP2;DCTPP1;NOC4L;NOP56;RRP9;MPHOSPH10;SORD;IMP4;RCL1,SORD;IMP4;RCL1
HALLMARK_E2F_TARGETS,-0.6077980002390543,-1.286240083054638,0.19230769230769232,0.5672991071428571,200,196,PRDX4;EIF2S1;GINS1;H2AFX;CDKN2A;CENPM;XPO1;CTCF;CKS2;NOLC1;ASF1A;CHEK1;MMS22L;NCAPD2;CDCA8;MCM2;MYBL2;IPO7;RACGAP1;CHEK2;MYC;BRCA2;SNRPB;H2AFZ;TCF19;MELK;PTTG1;STMN1;CDKN2C;RRM2;EED;EZH2;MCM5;SMC4;PPP1R8;PSMC3IP;PLK4;TACC3;PPM1D;SUV39H1;DUT;PAN2;MCM6;PRKDC;SHMT1;NAP1L1;CDCA3;RANBP1;TK1;SMC6;E2F8;UNG;DONSON;PRPS1;CDKN1B;HMGB3;DEK;CDC25A;RFC3;SYNCRIP;CDKN1A;WDR90;MCM4;PLK1;ORC2;RAN;AURKB;STAG1;NUP205;PNN;NME1;AK2;NBN;MTHFD2;DSCC1;TUBB;NUDT21;KIF22;DCLRE1B;DNMT1;MCM3;CENPE;KIF4A;LMNB1;TRA2B;AURKA;DEPDC1;BRMS1L;RBBP7;PA2G4;NASP;CDK1;RNASEH2A;HUS1;MAD2L1;TIPIN;SPC25;TRIP13;KPNA2;ORC6;CCNB2;TBRG4;PAICS;SPAG5;PCNA;DCK;RPA1;SRSF2;LYAR;CIT;TOP2A;TMPO;HELLS;ASF1B;NAA38;LBR;PSIP1;KIF2C;ING3;BUB1B;HMGB2;LUC7L3;POLD1;POLD3;NUP153;USP1;CCP110;SMC1A;RAD51AP1;GINS4;TP53;RAD21;HMMR;MSH2;SRSF1;XRCC6;GINS3;UBR7;EXOSC8;WEE1;MXD3;ESPL1;POLD2;POLE;UBE2T;CDKN3;CDC20;RPA3;RAD50;CSE1L;SMC3;HMGA1;PDS5B;ATAD2;LIG1;SLBP;KIF18B;MKI67;BIRC5;CKS1B;GSPT1;CDK4;NUP107;CDC25B;HNRNPD;ZW10;DDX39A;PMS2;DLGAP5;ILF3;POLA2;RPA2;SSRP1;PHF5A;POP7;UBE2S;ANP32E;TUBG1;CBX5;SPC24;DCTPP1;RAD1;TIMELESS;NOP56;POLE4;RFC2;RAD51C;CCNE1;PRIM2;TFRC;HN1;BRCA1;DIAPH3;MCM7;RFC1;BARD1,RAD1;TIMELESS;NOP56;POLE4;RFC2;RAD51C;CCNE1;PRIM2;TFRC;HN1;BRCA1;DIAPH3;MCM7;RFC1;BARD1
HALLMARK_G2M_CHECKPOINT,-0.4688039648626405,-1.2378115193380703,0.23809523809523808,0.584126984126984,200,195,H2AFX;RBL1;SLC12A2;TOP1;SLC7A1;RAD23B;H2AFV;XPO1;CDC6;MNAT1;KIF20B;CTCF;MEIS1;CKS2;PRMT5;SLC38A1;NOLC1;SS18;CHEK1;NEK2;MCM2;KATNA1;MYBL2;CCND1;RACGAP1;ODF2;UCK2;MARCKS;MYC;FOXN3;CUL1;BRCA2;HOXC10;H2AFZ;GINS2;PTTG1;STMN1;CDKN2C;TRAIP;SRSF10;EZH2;MCM5;SMC4;PLK4;TACC3;SAP30;SUV39H1;MCM6;NUP98;KPNB1;SNRPD1;LIG3;HIF1A;CUL5;YTHDC1;ARID4A;SLC7A5;SMAD3;CDKN1B;HMGB3;CDC27;HSPA8;CDC25A;KIF23;PRC1;E2F4;CDC45;SYNCRIP;DR1;PML;PLK1;RASAL2;AURKB;STAG1;CHAF1A;RPS6KA5;NCL;KIF22;POLQ;ABL1;MCM3;CENPE;KIF4A;LMNB1;SFPQ;TRA2B;AURKA;PAFAH1B1;CHMP1A;TNPO2;NASP;CDK1;HUS1;MAD2L1;SMC2;KPNA2;ORC6;BUB1;HIRA;BCL3;CCNB2;CCNT1;RBM14;E2F2;DKC1;UBE2C;WHSC1;CCNA2;UPF1;NUMA1;SRSF2;TOP2A;TMPO;HNRNPU;LBR;E2F1;KIF2C;TPX2;TROAP;WRN;CUL3;PRPF4B;CBX1;MAPK14;MTF2;NOTCH2;NUP50;KIF15;SMC1A;PBK;HIST1H2BK;RAD21;HMMR;HMGN2;KIF11;SRSF1;CASP8AP2;ODC1;BUB3;STIL;ESPL1;POLE;CDKN3;CDC20;MT2A;DTYMK;NDC80;PAPD7;HMGA1;PDS5B;FANCC;EWSR1;ATRX;PURA;CUL4A;INCENP;RAD54L;TGFB1;EFNA5;MKI67;BIRC5;CKS1B;EXO1;GSPT1;CDK4;DMD;NUSAP1;CDC25B;MEIS2;CDC7;HNRNPD;TTK;DDX39A;CCNF;TFDP1;ILF3;POLA2;RPA2;E2F3;DBF4;ATF5;UBE2S;CENPA;SMARCC1;AMD1;SQLE;TLE3;CENPF;PRIM2;G3BP1;ORC5;FBXO5;KIF5B;HN1;BARD1,SQLE;TLE3;CENPF;PRIM2;G3BP1;ORC5;FBXO5;KIF5B;HN1;BARD1
HALLMARK_APICAL_SURFACE,-0.5491809708322722,-1.2976157065414295,0.2777777777777778,0.633673469387755,44,28,LYN;GATA3;GHRL;B4GALT1;FLOT2;GSTM3;SULF2;SRPX;SCUBE1;HSPB1;NCOA6;CROCC;PLAUR;TMEM8B;ADIPOR2;APP;DCBLD2;AKAP7;EPHB4;MDGA1;SLC2A4;RTN4RL1;AFAP1L2;EFNA5;ADAM10;ATP8B1;GAS1;BRCA1,ATP8B1;GAS1;BRCA1
HALLMARK_MYOGENESIS,-0.5761710731249912,-1.3087406832009363,0.17647058823529413,0.7221726190476191,200,136,PGAM2;RB1;PKIA;FABP3;SPARC;GADD45B;TEAD4;CNN3;MYH3;MRAS;SPEG;MEF2C;PSEN2;KIFC3;DMPK;ST5;ATP2A1;TSC2;CAMK2B;SORBS1;CTF1;TPD52L1;BHLHE40;SCHIP1;TAGLN;CRAT;MEF2A;SMTN;FLII;CAV3;PYGM;CDKN1A;PLXNB2;HDAC5;PICK1;MEF2D;TCAP;ACTN2;BAG1;FST;SIRT2;NCAM1;NOTCH1;ENO3;SVIL;ACTA1;ACHE;FGF2;HSPB8;KLF5;CHRNB1;GNAO1;MAPRE3;PDE4DIP;LPIN1;KCNH2;PRNP;GAA;TPM2;SH2B1;PPFIA4;ATP6AP1;PTP4A3;FOXO4;RIT1;ITGB1;CRYAB;AK1;DAPK2;DTNA;LSP1;ERBB3;PDLIM7;ITGA7;SLC6A8;MYO1C;AKT2;CLU;FDPS;MYL6B;TPM3;MYH9;TNNT1;SPTAN1;ADCY9;APP;GPX3;BIN1;VIPR1;STC2;COL6A2;MAPK12;AGRN;CACNA1H;MYOM2;SYNGR2;PC;RYR1;FHL1;OCEL1;COL1A1;REEP1;EIF4A2;CFD;COL6A3;NQO1;SPHK1;ABLIM1;GABARAPL2;MYLK;GSN;ITGB4;MYL3;FKBP1B;HBEGF;AGL;TGFB1;ACSL1;CKB;DMD;APOD;SH3BGR;COL4A2;SORBS3;PFKM;SCD;WWTR1;NAV2;IFRD1;IGFBP7;ITGB5;FXYD1;EPHB3;SSPN;PVALB;TNNC1,IGFBP7;ITGB5;FXYD1;EPHB3;SSPN;PVALB;TNNC1
HALLMARK_APOPTOSIS,-0.4769649026073118,-1.0994583833383949,0.13636363636363635,0.7269642857142857,161,126,LEF1;EGR3;PLCB2;BID;XIAP;DIABLO;PAK1;PMAIP1;GADD45B;CFLAR;CCND1;SQSTM1;CCND2;LUM;FDXR;RHOB;DNAJC3;CASP3;PSEN2;CASP7;DFFA;DAP;DNAJA1;PSEN1;BTG2;H1F0;BMP2;IGF2R;CDKN1B;BAX;ADD1;CTNNB1;CDKN1A;IGFBP6;RELA;TXNIP;SOD1;RARA;LMNA;CYLD;BNIP3L;RETSAT;PTK2;CREBBP;CASP9;TIMP1;PLAT;BTG3;TIMP3;PPP2R5B;PPP3R1;VDAC2;ENO2;BCL2L1;HSPB1;EMP1;PDCD4;ERBB2;GPX1;CD14;MADD;FEZ1;HMOX1;RHOT2;BCL10;CAV1;BMF;TOP2A;ERBB3;ATF3;CLU;HMGB2;SATB1;SPTAN1;APP;GPX3;CTH;IFITM3;ANXA1;DPYD;RNASEL;WEE1;ISG20;GADD45A;TAP1;CASP6;MCL1;SOD2;ETF1;GPX4;IRF1;GSN;TGFBR3;DAP3;BCL2L2;TSPO;EBP;BCL2L11;SMAD7;IFNGR1;JUN;CDC25B;SAT1;F2R;FAS;KRT18;CD44;SLC20A1;LGALS3;TIMP2;ANKH;CASP2;DNM1L;CDK2;MMP2;DDIT3;GSR;GCH1;PPT1;PEA15;ROCK1;CASP8;BCAP31;BIK;BRCA1;TNFRSF12A,LGALS3;TIMP2;ANKH;CASP2;DNM1L;CDK2;MMP2;DDIT3;GSR;GCH1;PPT1;PEA15;ROCK1;CASP8;BCAP31;BIK;BRCA1;TNFRSF12A
HALLMARK_KRAS_SIGNALING_DN,-0.5802459435902927,-1.0192649549340351,0.45,0.7478422619047619,200,97,DTNB;CDKAL1;HTR1D;TFCP2L1;PAX3;BMPR1B;COPZ2;NUDT11;SLC38A3;SKIL;PDK2;MSH5;GPRC5C;CYP39A1;P2RX6;GTF3C5;GPR3;ASB7;MYOT;CALCB;BTG2;GDNF;SPHK2;MTHFR;TNNI3;SLC30A3;PARK2;CPEB3;KCND1;PNMT;SIDT1;YBX2;MAST3;EFHD1;CCDC106;ABCG4;TCF7L1;CAMK1D;KCNN1;SLC29A3;THRB;GP1BA;IRS4;CNTFR;PLAG1;ATP6V1B1;SMPX;SHOX2;CLSTN3;PRODH;YPEL1;MFSD6;NR6A1;STAG3;TGM1;ENTPD7;FGFR3;ARHGDIG;DCC;SYNPO;SLC25A23;EPHA5;MAGIX;RYR1;CELSR2;MYO15A;ADRA2C;SPTBN2;COL2A1;SLC5A5;KCNQ2;TEX15;PTPRJ;ZBTB16;NR4A2;H2AFY2;DLK2;IDUA;FAM46C;GAMT;KLK8;HSD11B2;IGFBP2;RGS11;C5;CHST2;FGGY;MX1;SNCB;SGK1;PTGFR;SNN;SLC16A7;GPR19;IFI44L;RIBC2;BARD1,MX1;SNCB;SGK1;PTGFR;SNN;SLC16A7;GPR19;IFI44L;RIBC2;BARD1
HALLMARK_HEME_METABOLISM,-0.7165312497162722,-1.3242569162196176,0.18518518518518517,0.8049999999999999,200,168,NEK7;TRIM58;TOP1;ALDH6A1;TRAK2;CCDC28A;SLC6A9;CA2;C3;ELL2;RIOK3;MXI1;BLVRA;RANBP10;NCOA4;MPP1;SDCBP;NFE2L1;NNT;SIDT2;PPOX;PICALM;RNF123;RAP1GAP;HIST1H4C;CLCN3;EPB41;USP15;SLC25A38;PRDX2;FTCD;BTRC;BTG2;RBM5;H1F0;VEZF1;ASNS;OSBP2;FOXJ2;YPEL5;HTRA2;NUDT4;ENDOD1;SLC7A11;SLC25A37;ADD1;MGST3;CDC27;PGLS;CAST;FBXO7;ISCA1;HAGH;DAAM1;ALAD;MARK3;DCAF10;BLVRB;TNRC6B;BNIP3L;SYNJ1;CROCCP2;OPTN;PIGQ;SLC30A1;GCLM;MKRN1;ATP6V0A1;PPP2R5B;EPOR;CDR2;GAPVD1;UBAC1;RAD23A;RNF19A;SEC14L1;ADIPOR1;FOXO3;TMCC2;E2F2;SLC2A1;HTATIP2;FN3K;LMO2;MARCH2;DCAF11;FBXO9;EZH1;SLC6A8;AQP3;SLC11A2;ABCG2;BCAM;MOCOS;ABCB6;CTNS;CCND3;HDGF;BMP2K;PQLC1;SLC10A3;RBM38;LPIN2;UROD;LRP10;ICAM4;SELENBP1;MBOAT2;NARF;ANK1;ACSL6;GCLC;ARHGEF12;PC;SPTB;GMPS;MARCH8;FBXO34;ARL2BP;CTSB;KAT2B;UCP2;SNCA;ADD2;TSPAN5;KHNYN;EIF2AK1;BPGM;MINPP1;GDE1;SLC22A4;BSG;KLF3;SLC30A10;GLRX5;XK;P4HA2;BACH1;IGSF3;HEBP1;HMBS;UROS;ERMAP;TFDP2;MAP2K3;GYPC;FAM46C;AGPAT4;MOSPD1;CLIC2;TCEA1;TMEM9B;MFHAS1;PSMD9;LAMP2;SMOX;CIR1;CAT;XPO7;RHCE;HBQ1;DCUN1D1;CPOX;ATG4A;TFRC;NR3C1;FECH;RCL1,LAMP2;SMOX;CIR1;CAT;XPO7;RHCE;HBQ1;DCUN1D1;CPOX;ATG4A;TFRC;NR3C1;FECH;RCL1
HALLMARK_PROTEIN_SECRETION,0.5077186769064554,1.3025022978005218,0.1935483870967742,0.8054347826086957,96,94,ARF1;VPS45;SEC31A;ICA1;SCAMP1;RAB5A;TMED10;TMX1;AP2M1;NAPA;VPS4B;ERGIC3;CLTC;CTSC;CLTA;ARFIP1;VAMP7;STX7;CAV2;TMED2;RAB14;AP1G1;GALC;AP3B1;RAB9A;CLCN3;RAB22A;ATP6V1H;STX16;BNIP3;IGF2R;COPB2;ATP7A;EGFR;GBF1;MON2;ARFGEF1;AP3S1;SOD1;NAPG;SCRN1;CLN5;SGMS1;DOPEY1;YKT6;SEC22B;VAMP3;SEC24D;MAPK1;STX12;KIF1B;M6PR;PAM;VAMP4;TOM1L1;SH3GL2;GNAS;ATP6V1B1;YIPF6;AP2S1;CD63;BET1;COG2;GOLGA4;AP2B1;OCRL;USO1;SCAMP3;ARFGAP3;LMAN1;TPD52;GOSR2;DST;RER1;ADAM10;ARFGEF2;STAM;SNAP23;KRT18;ZW10;RAB2A;ATP1A1;ARCN1;RPS6KA3;SNX2;ANP32E;DNM1L;GLA;TSG101;LAMP2;PPT1;COPE;COPB1;SSPN,ARF1;VPS45;SEC31A;ICA1;SCAMP1;RAB5A;TMED10;TMX1;AP2M1;NAPA;VPS4B;ERGIC3;CLTC;CTSC;CLTA
