Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_DNA_REPAIR,-0.4725717098545343,-2.016589235029986,0.0,0.0,150,143,CDA;ADCY6;GPX4;DGCR8;NME3;AK1;AK3;GUK1;POLR2H;APRT;SMAD5;BCAM;ERCC8;POLE4;TAF6;BCAP31;POLD1;NUDT9;NME4;DDB1;CLP1;SAC3D1;BOLA2;SNAPC4;CMPK2;NCBP2;TAF10;ERCC2;COX17;POLR2E;SDCBP;MPG;SUPT5H;CANT1;PDE6G;POLD4;POLR2A;TAF13;POLR2C;POLR2J;POLR2F;POLR2D;DAD1;DGUOK;VPS37B;REV3L;TCEB3;TAF12;TARBP2;DUT;ZWINT;POM121;POLH;TAF1C;NUDT21;ADA;PNP;SUPT4H1;STX3;ZNF707;FEN1;NT5C;RFC3;GTF2B;ZNRD1;POLR2K;IMPDH2;RBX1;ARL6IP1;NME1;PDE4B;GTF2A2;ERCC3;POLR1C;ELL;TSG101;RPA2;POLL;SURF1;GMPR2;RAD52;GTF2H3;ITPA;ERCC5;CCNO;POLR1D;DFNA5;USP11;GTF2H1;GTF2H5;HPRT1;PCNA;POLB;RNMT;POLA1;POLR3GL;RRM2B;POLR2G;GTF2F1;POLR2I;POLD3;PRIM1;VPS37D;CSTF3;DDB2;RAE1;NPR2;UMPS;ERCC4;SNAPC5;RALA;TMED2;VPS28;ADRM1;SF3A3;XPC;POLA2;BRF2;RFC4;RPA3;SRSF6;RFC2;LIG1;EDF1;RAD51;TYMS;AAAS;TK2;HCLS1;GTF3C5;SEC61A1;RFC5;SSRP1;TP53;CETN2;DCTN4;TAF9;EIF1B;POLR3C;ERCC1;MRPL40;NFX1;UPF3B,GTF2H1;GTF2H5;HPRT1;PCNA;POLB;RNMT;POLA1;POLR3GL;RRM2B;POLR2G;GTF2F1;POLR2I;POLD3;PRIM1;VPS37D;CSTF3;DDB2;RAE1;NPR2;UMPS;ERCC4;SNAPC5;RALA;TMED2;VPS28;ADRM1;SF3A3;XPC;POLA2;BRF2;RFC4;RPA3;SRSF6;RFC2;LIG1;EDF1;RAD51;TYMS;AAAS;TK2;HCLS1;GTF3C5;SEC61A1;RFC5;SSRP1;TP53;CETN2;DCTN4;TAF9;EIF1B;POLR3C;ERCC1;MRPL40;NFX1;UPF3B
HALLMARK_MYC_TARGETS_V1,-0.4921000321708608,-2.1841750802975426,0.0,0.0,200,197,RPS2;G3BP1;TUFM;SRSF2;UBE2L3;GOT2;TFDP1;PPM1G;PABPC4;DHX15;SRSF1;TXNL4A;MRPL23;PRDX4;SLC25A3;PPIA;CNBP;LSM7;FAM120A;XPO1;RPS10;HDGF;NDUFAB1;NOP16;EIF3B;STARD7;NCBP2;SNRPA;CYC1;H2AFZ;RPS5;VDAC1;PSMB3;PGK1;CBX3;GNL3;SNRPG;GSPT1;NHP2;EIF4E;HNRNPA2B1;PRDX3;SNRPA1;PCBP1;NOLC1;GLO1;TARDBP;VDAC3;TRIM28;MYC;SNRPD2;U2AF1;NAP1L1;SERBP1;PSMA7;ORC2;XPOT;DUT;SRPK1;RANBP1;EIF4G2;FBL;PSMA2;NCBP1;PSMD1;HNRNPR;SF3B3;CDC45;PHB;SNRPD1;RPLP0;HNRNPC;HSPE1;DDX21;RPL34;YWHAQ;DEK;KPNB1;RPS3;LDHA;CCT7;RPL22;AP3S1;PTGES3;RPL18;RAD23B;SYNCRIP;SSB;IMPDH2;SRSF7;CUL1;NME1;COX5A;EXOSC7;PSMB2;VBP1;RPL14;MCM6;PRPS2;NOP56;CCT3;TRA2B;MCM4;HSP90AB1;CAD;PRPF31;SNRPD3;YWHAE;LSM2;PSMA1;CLNS1A;MAD2L1;PA2G4;RAN;EIF2S2;CCT5;SET;EIF2S1;TCP1;EIF4A1;RPS6;ERH;RPL6;ETF1;CDK4;BUB3;UBA2;SF3A1;PSMA6;HPRT1;CDC20;PCNA;MCM5;RNPS1;PSMA4;CDK2;PSMD3;EIF1AX;MCM2;C1QBP;APEX1;PSMC6;USP1;SRSF3;ABCE1;CSTF2;PWP1;SMARCC1;KPNA2;PABPC1;EEF1B2;CCT4;IARS;POLD2;COPS5;PSMD14;RUVBL2;RRM1;SRM;SSBP1;HNRNPU;MRPS18B;RFC4;PSMC4;DDX18;HDDC2;KARS;EIF3J;CANX;EIF3D;CCNA2;IFRD1;TYMS;PSMD8;MCM7;ACP1;HNRNPD;PHB2;NPM1;MRPL9;HDAC2;EIF4H;PSMD7;EPRS;ODC1;RSL1D1;HSPD1;HNRNPA3;SNRPB2;AIMP2;RRP9;POLE3;ILF2;UBE2E1;CCT2;HNRNPA1;XRCC6,TCP1;EIF4A1;RPS6;ERH;RPL6;ETF1;CDK4;BUB3;UBA2;SF3A1;PSMA6;HPRT1;CDC20;PCNA;MCM5;RNPS1;PSMA4;CDK2;PSMD3;EIF1AX;MCM2;C1QBP;APEX1;PSMC6;USP1;SRSF3;ABCE1;CSTF2;PWP1;SMARCC1;KPNA2;PABPC1;EEF1B2;CCT4;IARS;POLD2;COPS5;PSMD14;RUVBL2;RRM1;SRM;SSBP1;HNRNPU;MRPS18B;RFC4;PSMC4;DDX18;HDDC2;KARS;EIF3J;CANX;EIF3D;CCNA2;IFRD1;TYMS;PSMD8;MCM7;ACP1;HNRNPD;PHB2;NPM1;MRPL9;HDAC2;EIF4H;PSMD7;EPRS;ODC1;RSL1D1;HSPD1;HNRNPA3;SNRPB2;AIMP2;RRP9;POLE3;ILF2;UBE2E1;CCT2;HNRNPA1;XRCC6
HALLMARK_MYC_TARGETS_V2,-0.553893399535807,-2.065181009412093,0.0,0.0,58,58,NOP2;SLC29A2;DCTPP1;PPRC1;TBRG4;NOP16;BYSL;TMEM97;SLC19A1;CBX3;GNL3;PUS1;NOLC1;SORD;PPAN;MYC;RRP12;DUSP2;NDUFAF4;PHB;UNG;GRWD1;HSPE1;PLK1;FARSA;MAP3K6;NIP7;NOP56;MYBBP1A;PLK4;IMP4;MCM4;TCOF1;RCL1;PA2G4;CDK4;MCM5;MRTO4;MPHOSPH10;RABEPK;PRMT3;TFB2M;EXOSC5;UTP20;SRM;DDX18;HK2;NPM1;SUPV3L1;IPO4;WDR43;WDR74;HSPD1;AIMP2;RRP9;LAS1L;NOC4L;PES1,MPHOSPH10;RABEPK;PRMT3;TFB2M;EXOSC5;UTP20;SRM;DDX18;HK2;NPM1;SUPV3L1;IPO4;WDR43;WDR74;HSPD1;AIMP2;RRP9;LAS1L;NOC4L;PES1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.5826744659375668,-2.4338831196098356,0.0,0.0,113,110,EDC4;TATDN2;IMP3;EXOSC2;EIF4G1;KDELR3;EXOSC4;NFYA;DNAJA4;FKBP14;EEF2;LSM4;H2AFX;ARFGAP1;ZBTB17;CALR;CNOT6;SPCS3;NHP2;EIF4E;NOLC1;DCP1A;TTC37;DCTN1;PDIA6;DCP2;GEMIN4;BANF1;CXXC1;CCL2;XPOT;KIF5B;EIF4A2;LSM1;ATP6V0D1;YIF1A;ASNS;IFIT1;POP4;SLC7A5;IGFBP1;KHSRP;PAIP1;EIF4A3;SRPRB;PDIA5;SLC30A5;YWHAZ;TSPYL2;EDEM1;GOSR2;EIF2AK3;NOP56;SERP1;ALDH18A1;CNOT2;CEBPB;SPCS1;TUBB2A;PREB;SSR1;SEC11A;CNOT4;EIF2S1;DDX10;EIF4A1;BAG3;DNAJC3;FUS;SLC1A4;CHAC1;VEGFA;DKC1;NFYB;CEBPG;RPS14;SDAD1;EXOC2;ATF6;MTHFD2;PSAT1;IARS;WIPI1;EIF4EBP1;EXOSC5;SKIV2L2;DDIT4;EXOSC9;EXOSC10;WFS1;PARN;NOP14;NPM1;HSP90B1;ATF4;HSPA9;HYOU1;DNAJB9;TARS;XBP1;ERN1;RRP9;CKS1B;EXOSC1;SHC1;SEC31A;STC2;HERPUD1;ATF3;HSPA5,FUS;SLC1A4;CHAC1;VEGFA;DKC1;NFYB;CEBPG;RPS14;SDAD1;EXOC2;ATF6;MTHFD2;PSAT1;IARS;WIPI1;EIF4EBP1;EXOSC5;SKIV2L2;DDIT4;EXOSC9;EXOSC10;WFS1;PARN;NOP14;NPM1;HSP90B1;ATF4;HSPA9;HYOU1;DNAJB9;TARS;XBP1;ERN1;RRP9;CKS1B;EXOSC1;SHC1;SEC31A;STC2;HERPUD1;ATF3;HSPA5
HALLMARK_MTORC1_SIGNALING,-0.4128144131335444,-1.8715862982741065,0.0,0.0008410636982065554,200,198,RPN1;CD9;ATP2A2;EBP;TFRC;IGFBP5;MLLT11;DHCR24;ADIPOR2;M6PR;IFI30;SLC9A3R1;SLC6A6;YKT6;LDLR;ACSL3;P4HA1;ALDOA;RIT1;DDX39A;TXNRD1;DHCR7;FADS1;FADS2;MAP2K3;STARD4;GLA;RDH11;INSIG1;SCD;PPIA;SLC1A5;CTSC;PRDX1;TM7SF2;CXCR4;PLOD2;TUBG1;CORO1A;ACLY;PIK3R3;HMBS;ARPC5L;TUBA4A;LGMN;SQLE;TPI1;CCNF;PSMB5;EGLN3;TMEM97;G6PD;CALR;GLRX;PGK1;SRD5A1;SLC2A3;LTA4H;SLC37A4;RRM2;IDI1;ELOVL6;SLC2A1;ABCF2;HMGCR;NFKBIB;SORD;GAPDH;BCAT1;BUB1;MTHFD2L;DAPP1;AK4;CDKN1A;ELOVL5;HMGCS1;GSK3B;ATP5G1;PGM1;VLDLR;ENO1;POLR3G;GSR;CCNG1;CDC25A;ITGB2;PSMD13;HSPA4;PNP;BHLHE40;ASNS;UNG;HSPE1;TBK1;CYP51A1;ACACA;SLC7A5;SLC7A11;SYTL2;PSPH;RPA1;PLK1;PDAP1;LDHA;TOMM40;PITPNB;BTG2;CFP;EDEM1;GCLC;RAB1A;STC1;PPA1;STIP1;FGL2;IMMT;SERP1;CCT6A;AURKA;DHFR;MCM4;ME1;SQSTM1;QDPR;NMT1;UBE2D3;NUP205;ACTR3;SSR1;SEC11A;NFYC;EIF2S2;SLA;GTF2H1;ETF1;HPRT1;SLC1A4;PSMA4;NAMPT;SKAP2;GPI;MCM2;ATP6V1D;PNO1;PSMA3;PSMC6;SHMT2;CYB5B;ADD3;TCEA1;NFIL3;FKBP2;PSME3;FAM129A;MTHFD2;UFM1;SERPINH1;UCHL5;PHGDH;SDF2L1;PSAT1;IDH1;COPS5;PSMD14;TRIB3;TES;DDIT4;PSMC4;GBE1;CANX;PSMG1;NUPR1;DDIT3;GGA2;IFRD1;USO1;PDK1;PSMD12;HK2;WARS;PSMC2;HSP90B1;PFKL;ACTR2;EEF1E1;HSPA9;CTH;EPRS;GOT1;PPP1R15A;XBP1;HSPD1;RRP9;GMPS;FDXR;NUFIP1;CACYBP;HSPA5,SLC1A4;PSMA4;NAMPT;SKAP2;GPI;MCM2;ATP6V1D;PNO1;PSMA3;PSMC6;SHMT2;CYB5B;ADD3;TCEA1;NFIL3;FKBP2;PSME3;FAM129A;MTHFD2;UFM1;SERPINH1;UCHL5;PHGDH;SDF2L1;PSAT1;IDH1;COPS5;PSMD14;TRIB3;TES;DDIT4;PSMC4;GBE1;CANX;PSMG1;NUPR1;DDIT3;GGA2;IFRD1;USO1;PDK1;PSMD12;HK2;WARS;PSMC2;HSP90B1;PFKL;ACTR2;EEF1E1;HSPA9;CTH;EPRS;GOT1;PPP1R15A;XBP1;HSPD1;RRP9;GMPS;FDXR;NUFIP1;CACYBP;HSPA5
HALLMARK_PROTEIN_SECRETION,-0.433204442725973,-1.7693136261222624,0.0,0.0019274376417233558,96,96,CD63;PPT1;M6PR;ATP1A1;YKT6;KIF1B;GOLGA4;GNAS;STX12;GLA;COG2;CTSC;TMX1;ATP6V1B1;YIPF6;ANP32E;LAMP2;SCAMP3;SGMS1;ADAM10;SCRN1;DOPEY1;VAMP4;MAPK1;DST;RAB9A;SEC24D;LMAN1;GBF1;ARFGEF1;NAPG;PAM;CAV2;MON2;ATP7A;ABCA1;COPB2;BNIP3;CLN5;EGFR;IGF2R;GALC;RAB22A;TSPAN8;STX16;AP3S1;AP3B1;ATP6V1H;GOSR2;TSG101;SOD1;RAB14;ERGIC3;DNM1L;AP2M1;TMED10;SH3GL2;AP2S1;CLCN3;AP1G1;CLTA;ARFIP1;RPS6KA3;SCAMP1;ICA1;VAMP3;TPD52;STX7;SEC22B;OCRL;VAMP7;ARF1;RAB2A;ARCN1;SSPN;VPS45;NAPA;SNAP23;TMED2;VPS4B;CLTC;ARFGEF2;TOM1L1;SNX2;USO1;RER1;AP2B1;ARFGAP3;COPE;COPB1;RAB5A;KRT18;ZW10;BET1;SEC31A;STAM,RPS6KA3;SCAMP1;ICA1;VAMP3;TPD52;STX7;SEC22B;OCRL;VAMP7;ARF1;RAB2A;ARCN1;SSPN;VPS45;NAPA;SNAP23;TMED2;VPS4B;CLTC;ARFGEF2;TOM1L1;SNX2;USO1;RER1;AP2B1;ARFGAP3;COPE;COPB1;RAB5A;KRT18;ZW10;BET1;SEC31A;STAM
HALLMARK_TGF_BETA_SIGNALING,0.530546072874601,1.824910647751357,0.0,0.0019509311262193318,54,54,SLC20A1;BMPR2;TGFB1;FURIN;JUNB;CDKN1C;SMAD6;PPM1A;SMURF2;SMAD7;ID1;APC;ID2;PMEPA1;RAB31;ID3;NCOR2;NOG;SMAD1;HDAC1;SKI;BMPR1A;THBS1;CDK9;HIPK2;ARID4B;LTBP2;ENG;PPP1CA;BCAR3;KLF10;MAP3K7;IFNGR2;CDH1;SMURF1;SPTBN1;RHOA;XIAP;CTNNB1;TJP1;LEFTY2;BMP2;SMAD3;TGFBR1;TGIF1;SERPINE1;WWTR1;ACVR1;FKBP1A;SKIL;UBE2D3;TRIM33;FNTA;PPP1R15A,SLC20A1;BMPR2;TGFB1;FURIN;JUNB;CDKN1C;SMAD6;PPM1A;SMURF2;SMAD7;ID1;APC;ID2;PMEPA1;RAB31;ID3;NCOR2;NOG;SMAD1
HALLMARK_NOTCH_SIGNALING,0.6083647523781439,1.8430570217742726,0.001584786053882726,0.002926396689328998,32,32,FZD5;HES1;NOTCH3;PPARD;FZD7;NOTCH2;FZD1;FBXW11;DLL1;ST3GAL6;KAT2A;NOTCH1;WNT5A;SKP1;LFNG;PRKCA;WNT2;MAML2;ARRB1;CCND1;HEYL;APH1A;DTX2;DTX1;TCF7L2;SAP30;RBX1;CUL1;PSENEN;JAG1;PSEN2;DTX4,FZD5;HES1;NOTCH3;PPARD;FZD7;NOTCH2;FZD1;FBXW11;DLL1;ST3GAL6;KAT2A;NOTCH1;WNT5A;SKP1;LFNG;PRKCA;WNT2;MAML2;ARRB1
HALLMARK_UV_RESPONSE_UP,0.43007170557246505,1.7014631683443144,0.0,0.004096955365060597,158,154,NPTXR;RPN1;COL2A1;BCL2L11;NFKBIA;ENO2;DLG4;FURIN;JUNB;MARK2;KLHDC3;FOSB;KCNH2;CDKN1C;STK25;TFRC;PPT1;SIGMAR1;ICAM1;HYAL2;MMP14;GCH1;FOS;SLC25A4;CDC34;SLC6A8;AMD1;YKT6;CCND3;DGAT1;GLS;TAP1;MRPL23;PRKCD;SPR;RET;POLR2H;CXCL2;NKX2-5;ALDOA;MSX1;NXF1;PDLIM3;IGFBP2;EPCAM;TMBIM6;EPHX1;TGFBRAP1;PRKACA;CHRNA5;PLCL1;FKBP4;HTR7;STARD3;TUBA4A;NR4A1;LYN;BAK1;TYRO3;H2AFX;NPTX2;CA2;SHOX2;MGAT1;CHKA;BSG;WIZ;CREG1;DNAJA1;ARRB2;AQP3;GGH;SOD2;CYP1A1;SLC6A12;ONECUT1;HSPA2;LHX2;CDO1;GPX3;GAL;ACAA1;CYB5R1;TST;IL6ST;ALAS1;ATP6V1F;BID;CDKN2B;MAPK8IP2;RASGRP1;PPP1R2;CCK;RHOB;FGF18;CASP3;ABCB1;OLFM1;PTPRD;MAOA;POLG2;NTRK3;GRINA;BMP2;CLTB;CLCN2;HLA-F;ASNS;ATP6V1C1;FEN1;CNP;DDX21;RRAD;DNAJB1;PDAP1;APOM;E2F5;RAB27A;BTG2;C4BPB;STIP1;FMO1;PPAT;PPIF;NAT1;CCNE1;GRPEL1;AP2S1;SQSTM1;EIF5;TCHH;RXRB;TACR3;IL6;IRF1;BTG3;EIF2S3;CDK2;CYB5B;BTG1;CEBPG;HSPA13;PRPF3;PARP2;HNRNPU;RFC4;UROD;PSMC3;SULT1A1;CDC5L;TARS;POLE3;HMOX1;ATF3,NPTXR;RPN1;COL2A1;BCL2L11;NFKBIA;ENO2;DLG4;FURIN;JUNB;MARK2;KLHDC3;FOSB;KCNH2;CDKN1C;STK25;TFRC;PPT1;SIGMAR1;ICAM1;HYAL2;MMP14;GCH1;FOS;SLC25A4;CDC34;SLC6A8;AMD1;YKT6;CCND3;DGAT1;GLS;TAP1;MRPL23;PRKCD;SPR;RET;POLR2H;CXCL2;NKX2-5;ALDOA;MSX1;NXF1;PDLIM3;IGFBP2;EPCAM;TMBIM6;EPHX1;TGFBRAP1;PRKACA;CHRNA5;PLCL1;FKBP4;HTR7;STARD3;TUBA4A;NR4A1;LYN;BAK1;TYRO3;H2AFX;NPTX2;CA2;SHOX2;MGAT1;CHKA;BSG;WIZ
HALLMARK_E2F_TARGETS,-0.3761518042414596,-1.6855494701631906,0.0,0.004205318491032777,200,197,IPO7;NAA38;MXD3;SLBP;SRSF2;TFRC;ASF1B;CCP110;LBR;HMGA1;KIF18B;ESPL1;SRSF1;NUP153;CDC25B;TIMELESS;MKI67;PRDX4;POLE;DDX39A;LUC7L3;SNRPB;CTCF;DCTPP1;POLE4;SPAG5;CDKN2A;DNMT1;PDS5B;POLD1;TUBG1;XPO1;ANP32E;TBRG4;SPC24;ILF3;UBE2S;H2AFX;H2AFZ;BIRC5;CIT;RRM2;GINS1;GSPT1;STMN1;WEE1;POP7;NOLC1;CKS2;ORC6;DCLRE1B;CENPM;BUB1B;ATAD2;PHF5A;TCF19;MYC;MCM3;NCAPD2;CDKN1A;WDR90;MLH1;KIF22;PTTG1;HELLS;AK2;NAP1L1;PNN;HN1;ORC2;DUT;AURKB;CDC25A;NUDT21;RANBP1;PRKDC;STAG1;CDKN1B;DONSON;UNG;E2F8;SMC6;CDCA3;SUV39H1;PRPS1;SHMT1;TK1;DEK;DLGAP5;RPA1;PLK1;RFC3;CHEK2;SYNCRIP;CENPE;HMGB3;TACC3;NME1;EED;BRCA2;PAN2;MCM6;KIF2C;NOP56;RPA2;MYBL2;TRA2B;CDKN2C;PLK4;UBR7;CDCA8;AURKA;SMC4;BRMS1L;MCM4;MELK;KIF4A;PPP1R8;TRIP13;CCNE1;SMC1A;NBN;SPC25;DSCC1;RAD21;MAD2L1;DCK;PA2G4;NUP205;RAN;CHEK1;EIF2S1;PSIP1;TMPO;MSH2;CDK4;CDC20;PCNA;NASP;MCM5;TOP2A;HUS1;PPM1D;LMNB1;MCM2;RAD1;TIPIN;PMS2;RAD51AP1;DEPDC1;RACGAP1;USP1;POLD3;LYAR;ASF1A;MTHFD2;CBX5;NUP107;PSMC3IP;BRCA1;DIAPH3;KPNA2;RBBP7;GINS4;RNASEH2A;MMS22L;BARD1;SMC3;POLD2;POLA2;UBE2T;RAD51C;RFC1;RPA3;RFC2;LIG1;MCM7;RAD50;TUBB;GINS3;PRIM2;HNRNPD;EZH2;CDKN3;CDK1;SSRP1;TP53;CCNB2;HMGB2;PAICS;HMMR;EXOSC8;ZW10;CKS1B;ING3;CSE1L;XRCC6,CDC20;PCNA;NASP;MCM5;TOP2A;HUS1;PPM1D;LMNB1;MCM2;RAD1;TIPIN;PMS2;RAD51AP1;DEPDC1;RACGAP1;USP1;POLD3;LYAR;ASF1A;MTHFD2;CBX5;NUP107;PSMC3IP;BRCA1;DIAPH3;KPNA2;RBBP7;GINS4;RNASEH2A;MMS22L;BARD1;SMC3;POLD2;POLA2;UBE2T;RAD51C;RFC1;RPA3;RFC2;LIG1;MCM7;RAD50;TUBB;GINS3;PRIM2;HNRNPD;EZH2;CDKN3;CDK1;SSRP1;TP53;CCNB2;HMGB2;PAICS;HMMR;EXOSC8;ZW10;CKS1B;ING3;CSE1L;XRCC6
