Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_NOTCH_SIGNALING,0.6964485792902934,1.404276711393111,0.0,0.0,32,32,NOTCH3;HES1;SKP1;KAT2A;FBXW11;DLL1;NOTCH2;CCND1;FZD7;ST3GAL6;FZD5;WNT5A;ARRB1;PPARD;PRKCA;FZD1;NOTCH1;APH1A;LFNG;MAML2;WNT2;HEYL;DTX2;DTX1;DTX4;TCF7L2;JAG1;CUL1;SAP30;PSENEN;RBX1;PSEN2,NOTCH3;HES1;SKP1;KAT2A;FBXW11;DLL1;NOTCH2;CCND1;FZD7;ST3GAL6;FZD5;WNT5A;ARRB1;PPARD
HALLMARK_MYOGENESIS,0.7419625350903795,1.285391106045572,0.0,0.5254803675856307,200,193,CKB;SCD;FHL1;ATP6AP1;SLC6A8;GADD45B;SPTAN1;AKT2;SYNGR2;AGRN;TGFB1;COL1A1;AK1;MYO1C;CLU;TNNT1;GABARAPL2;MYL6B;OCEL1;FOXO4;SH2B1;SPHK1;APP;MAPK12;CNN3;ITGB1;PFKM;RIT1;GSN;EIF4A2;ADCY9;FKBP1B;MYH9;ITGA7;ITGB5;COL4A2;BAG1;GAA;PDLIM7;COL6A2;MAPRE3;TPM2;TEAD4;ABLIM1;LPIN1;PC;PDE4DIP;GPX3;CACNA1H;ERBB3;PLXNB2;DTNA;HDAC5;ENO3;REEP1;AGL;HBEGF;ACHE;IGFBP7;KCNH2;CDKN1A;PICK1;CFD;ACTN2;NCAM1;CHRNB1;VIPR1;MEF2D;SIRT2;SVIL;DAPK2;PPFIA4;NOTCH1;PKIA;SMTN;FLII;SPARC;GNAO1;COL3A1;KLF5;APOD;COL15A1;FABP3;DES;LAMA2;CKM;TCAP;MYL3;ACTA1;TPD52L1;BHLHE40;PVALB;SORBS1;MYH11;MEF2A;PYGM;COX7A1;TNNT2;BDKRB2;ACTN3;RYR1;HRC;FXYD1;SLN;IGFBP3;ACTC1;LDB3;ADAM12;IGF1;TNNT3;FST;CRAT;CHRNG;MYL7;NOS1;MYL1;TAGLN;APLNR;COX6A2;TNNI1;MYH8;SGCD;MYBPC3;MYH1;MYOG;MYH2;PPP1R3C;KCNH1;MYH7;CD36;CACNG1;ANKRD2;HSPB2;MYL4;AEBP1;CSRP3;CHRNA1;PTGIS;SPDEF;CAMK2B;CASQ1;CDH13;CTF1;GJA5;CAV3;MB;ATP2A1;SCHIP1;MYOM1;SOD3;EPHB3;MYH3;MYOZ1;CRYAB;FGF2;CASQ2;COL6A3;TNNC1;NAV2;ST5;TNNC2;SGCA;CKMT2;MYOM2;MYLK;MEF2C;WWTR1;MYLPF;DMD;KIFC3;BIN1;PGAM2;NQO1;LSP1;MRAS;PTP4A3;SSPN;SGCG;TSC2;ITGB4;PSEN2;SPEG;HSPB8;PRNP;DMPK;ACSL1;RB1;FDPS;TPM3;SORBS3;SH3BGR;STC2;IFRD1,CKB;SCD;FHL1;ATP6AP1;SLC6A8;GADD45B;SPTAN1;AKT2;SYNGR2;AGRN;TGFB1;COL1A1;AK1;MYO1C;CLU;TNNT1;GABARAPL2;MYL6B;OCEL1;FOXO4;SH2B1;SPHK1;APP;MAPK12;CNN3;ITGB1;PFKM;RIT1;GSN;EIF4A2;ADCY9;FKBP1B;MYH9;ITGA7;ITGB5;COL4A2;BAG1;GAA;PDLIM7;COL6A2;MAPRE3
HALLMARK_APICAL_SURFACE,0.6169822234483833,1.2523012947491383,0.12,0.5332080200501252,44,42,HSPB1;ADIPOR2;APP;EPHB4;GSTM3;CROCC;ADAM10;MDGA1;GAS1;NCOA6;DCBLD2;PLAUR;B4GALT1;LYN;SLC2A4;SULF2;EFNA5;RTN4RL1;AFAP1L2;ATP8B1;SCUBE1;GHRL;TMEM8B;LYPD3;CX3CL1;SLC34A3;RHCG;IL2RG;CD160;THY1;SHROOM2;ATP6V0A4;PCSK9;PKHD1;IL2RB;AIM1;SRPX;NTNG1;GATA3;AKAP7;FLOT2;BRCA1,HSPB1;ADIPOR2;APP;EPHB4;GSTM3;CROCC;ADAM10;MDGA1;GAS1;NCOA6;DCBLD2;PLAUR;B4GALT1;LYN;SLC2A4
HALLMARK_COAGULATION,0.49791429750020066,1.2267880893245686,0.0,0.5440267335004176,138,126,CTSB;CD9;GNB2;FN1;F12;CLU;S100A13;LGMN;FURIN;ADAM9;GSN;LTA4H;LAMP2;LRP1;FYN;MMP15;APOC1;PROS1;MAFF;PEF1;CRIP2;ANG;MMP2;C1R;BMP1;MMP14;CFD;RABIF;MMP11;CTSK;SIRT2;CASP9;PLAT;PLAU;KLK8;COMP;C1S;SPARC;S100A1;CFB;CSRP1;SERPING1;P2RY1;MMP9;A2M;FGG;GP1BA;TFPI2;GDA;OLR1;THBS1;HRG;ITGA2;PDGFB;PLG;APOC2;C8G;TF;ITGB3;TMPRSS6;C2;MMP10;PROZ;THBD;MMP3;CTSE;RGN;PF4;CPB2;SERPINC1;ACOX2;PLEK;HPN;F2;CFI;LEFTY2;PECAM1;MASP2;F13B;MMP1;KLKB1;C8A;C8B;F2RL2;MMP7;CFH;SERPINA1;SERPINE1;MEP1A;VWF;CAPN5;APOA1;ITIH1;PROC;CPN1;MMP8;F10;F3;CTSO;SH2B2;DUSP6;HNF4A;DCT;FBN1;GNG12;DPP4;F8;C3;DUSP14;PREP;KLF7;RAPGEF3;ANXA1;TIMP3;MSRB2;MST1;RAC1;PRSS23;HTRA1;ISCU;USP11;ARF4;WDR1;CTSH;TIMP1;CAPN2,CTSB;CD9;GNB2;FN1;F12;CLU;S100A13;LGMN;FURIN;ADAM9;GSN;LTA4H;LAMP2;LRP1;FYN;MMP15;APOC1;PROS1;MAFF
HALLMARK_UV_RESPONSE_DN,0.5487438459269726,1.2635190959727522,0.07692307692307693,0.6079086605402394,144,140,INSIG1;MTA1;MYC;COL1A1;LAMC1;DUSP1;CITED2;SDC2;ID1;LDLR;ATRX;PAPD7;GJA1;PDLIM5;IGFBP5;FYN;CYR61;ZMIZ1;SLC7A1;FZD2;IGF1R;SIPA1L1;TGFBR3;SPOP;NOTCH2;PRDM2;ATP2C1;PHF3;AKT3;SMAD7;ADORA2B;PTPRM;CDON;PPARG;GRK5;BMPR1A;ATP2B1;CDC42BPA;NEK7;PRKAR2B;ATXN1;ATRN;DYRK1A;NFKB1;DDAH1;NRP1;PIK3R3;APBB2;MAP1B;PIAS3;DLG1;MAPK14;GCNT1;DBP;NR1D2;MGLL;ERBB2;KIT;PIK3CD;SYNJ2;CDK13;PMP22;PRKCA;CAV1;MMP16;NIPBL;ABCC1;DLC1;TJP1;RUNX1;KALRN;COL3A1;CACNA1A;SYNE1;CELF2;RASA2;VLDLR;RGS4;DAB2;PRKCE;SCN8A;BHLHE40;TGFBR2;TFPI;CDKN1B;LTBP1;VAV2;SMAD3;ITGB3;PTGFR;INPP4B;ARHGEF9;RXRA;COL5A2;COL1A2;IRS1;COL11A1;SERPINE1;ACVR2A;PDGFRB;SFMBT1;AGGF1;BDNF;YTHDC1;SCHIP1;KCNMA1;SLC22A18;WDR37;MET;MAGI2;FHL2;F3;HAS2;FAM179B;NR3C1;PLCB4;LPAR1;EFEMP1;AMPH;BCKDHB;FBLN5;ANXA2;NFIB;PTPN21;PEX14;RBPMS;PTEN;SNAI2;MIOS;ANXA4;SCAF8;ATP2B4;ICA1;CAP2;RND3;MAP2K5;ATP5S;ADD3;MRPS31;SRI,INSIG1;MTA1;MYC;COL1A1;LAMC1;DUSP1;CITED2;SDC2;ID1;LDLR;ATRX;PAPD7;GJA1;PDLIM5;IGFBP5;FYN;CYR61;ZMIZ1;SLC7A1;FZD2;IGF1R;SIPA1L1;TGFBR3;SPOP;NOTCH2;PRDM2;ATP2C1;PHF3;AKT3;SMAD7;ADORA2B;PTPRM;CDON;PPARG;GRK5;BMPR1A;ATP2B1;CDC42BPA;NEK7;PRKAR2B;ATXN1;ATRN;DYRK1A;NFKB1;DDAH1;NRP1;PIK3R3;APBB2;MAP1B;PIAS3;DLG1;MAPK14
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4514244398847353,1.0277188059633875,0.5,0.7826004404951773,200,196,SAT1;JUN;ID2;FLNA;SLC6A8;GADD45B;CALU;EMP3;IGFBP2;FN1;TGFB1;COL1A1;LAMC1;PLOD1;RHOB;CADM1;LGALS1;PLOD3;MSX1;CRLF1;GJA1;TNFRSF12A;ITGB1;PLOD2;ENO2;FBLN1;APLP1;CD59;BASP1;LRP1;SLIT2;TPM4;ITGB5;VCAN;ITGAV;COL4A2;CYR61;CDH2;GPC1;COL6A2;TGFBR3;TPM2;QSOX1;ITGA5;NOTCH2;FSTL3;FUCA1;GAS1;FBN2;PLAUR;COL5A1;PMEPA1;DST;NID2;SDC1;LAMA1;TNFAIP3;DKK1;FZD8;FBLN2;WNT5A;MMP2;LOXL2;ABI3BP;IGFBP4;BMP1;MMP14;TGM2;SGCB;SDC4;PCOLCE;TPM1;LOXL1;PMP22;COL12A1;COL4A1;EDIL3;COMP;CD44;COL7A1;SPARC;CTGF;PDLIM4;COL3A1;LAMA3;GEM;PRRX1;SERPINE2;LUM;MATN3;CXCL1;RGS4;PTX3;DAB2;DPYSL3;NT5E;TFPI2;EFEMP2;LAMA2;SPOCK1;THBS1;SFRP1;ITGA2;FOXC2;WIPF1;TNFRSF11B;DCN;ITGB3;THBS2;SFRP4;IGFBP3;CXCL6;MEST;MMP3;OXTR;MFAP5;CTHRC1;COL5A2;ADAM12;COL5A3;INHBA;PRSS2;MYL9;THY1;CDH6;TAGLN;MMP1;MGP;MXRA5;ELN;GREM1;POSTN;SGCD;COL8A2;CXCL12;LRRC15;ECM2;NTM;COL1A2;COL11A1;SCG2;VCAM1;SERPINE1;FMOD;PDGFRB;GPX7;NNMT;BGN;CDH11;BDNF;SPP1;ECM1;LAMC2;SLIT3;MATN2;MAGEE1;FGF2;IL15;ANPEP;COL6A3;LOX;IL6;FBN1;PTHLH;TGFBI;GLIPR1;AREG;VEGFC;MYLK;FBLN5;COL16A1;IL32;TNC;SGCG;TIMP3;SNTB1;SNAI2;PCOLCE2;CALD1;FAS;CAP2;HTRA1;PVR;ACTA2;FERMT2;VEGFA;TIMP1;FSTL1;SERPINH1;PFN2;CAPG;GADD45A;COPA;PPIB;MCM7;VIM,SAT1;JUN;ID2;FLNA;SLC6A8;GADD45B;CALU;EMP3;IGFBP2;FN1;TGFB1;COL1A1;LAMC1;PLOD1;RHOB;CADM1;LGALS1;PLOD3;MSX1;CRLF1;GJA1;TNFRSF12A;ITGB1;PLOD2;ENO2;FBLN1;APLP1;CD59;BASP1;LRP1;SLIT2;TPM4;ITGB5;VCAN;ITGAV;COL4A2;CYR61;CDH2;GPC1;COL6A2;TGFBR3;TPM2;QSOX1;ITGA5;NOTCH2;FSTL3;FUCA1;GAS1;FBN2;PLAUR;COL5A1;PMEPA1
HALLMARK_COMPLEMENT,0.5021387522651979,1.0653796724244737,0.4583333333333333,0.7950895757913301,200,182,PFN1;CA2;CALM3;CTSB;PPP4C;GRB2;CD46;RAF1;GNB2;FN1;CLU;S100A13;CTSD;CALM1;STX4;ATOX1;LGMN;CTSC;ADAM9;PRCP;EHD1;CD59;GNAI2;LTA4H;LAMP2;LRP1;RHOG;FYN;MMP15;COL4A2;PRKCD;TIMP2;APOC1;MAFF;CDA;CPM;PLAUR;DUSP5;PDP1;CD55;LYN;DYRK2;ANG;TNFAIP3;C1R;PIK3CA;MMP14;ACTN2;GNB4;RABIF;RCE1;VCPIP1;KLK1;RNF4;CASP9;PLAT;LIPA;DOCK4;HPCAL4;PLA2G4A;HSPA1A;GCA;CASP3;C1S;PCLO;CASP7;LGALS3;CFB;CSRP1;ERAP2;SERPING1;PRSS36;APOBEC3G;CXCL1;DGKH;GP1BA;SRC;CR2;ZFPM2;TFPI2;OLR1;WAS;KCNIP3;CTSS;IRF7;GNGT2;RASGRP1;PDGFB;PIK3R5;PLG;L3MBTL4;ADRA2B;TMPRSS6;PHEX;C2;F7;PSMB9;KYNU;DGKG;MMP12;SPOCK2;SERPINC1;JAK2;PLEK;F2;APOA4;PCSK9;F5;KLKB1;LCP2;GNG2;CASP4;CP;FCN1;CD36;CR1;PIK3CG;CFH;SERPINA1;NOTCH4;FCER1G;PRSS3;SERPINE1;APOBEC3F;C4BPB;LCK;CDH13;GMFB;DOCK10;CCL5;ITIH1;PLA2G7;MMP8;LTF;KCNIP2;F10;SCG3;ITGAM;F3;CTSO;PSEN1;DUSP6;IL6;HNF4A;DPP4;MMP13;F8;BRPF3;PIM1;C3;SH2B3;CASP10;GZMB;PREP;USP14;FDX1;GNAI3;IRF2;ME1;DOCK9;ZEB1;CBLB;IRF1;CDK5R1;SIRT6;GATA3;GPD2;USP15;PLSCR1;PRDM4;USP8;AKAP10;CEBPB;PPP2CB;CTSH;USP16;LAP3;ANXA5;TIMP1;KIF2A;XPNPEP1;HSPA5,PFN1;CA2;CALM3;CTSB;PPP4C;GRB2;CD46;RAF1;GNB2;FN1;CLU;S100A13;CTSD;CALM1;STX4;ATOX1;LGMN;CTSC;ADAM9;PRCP;EHD1;CD59;GNAI2;LTA4H;LAMP2;LRP1;RHOG;FYN;MMP15;COL4A2;PRKCD;TIMP2;APOC1
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.5449478338963006,1.048156331778632,0.3793103448275862,0.8118102273226927,74,73,ACTG1;SCD;EBP;FASN;DHCR7;CD9;CBS;CLU;IDI1;SREBF2;GUSB;ABCA2;SQLE;FDFT1;ALCAM;LGMN;LDLR;ACAT2;PNRC1;LSS;TNFRSF12A;FADS2;ERRFI1;TM7SF2;CHKA;GSTM2;STARD4;ETHE1;CXCL16;PLAUR;TMEM97;PPARG;HMGCR;GLDC;LPL;CTNNB1;MVD;PDK3;HMGCS1;ALDOC;ECH1;SEMA3B;CPEB2;LGALS3;MVK;PCYT2;FBXO6;PMVK;TP53INP1;ANXA13;AVPR1A;ADH4;MAL2;CYP51A1;JAG1;GNAI1;ANTXR2;NFIL3;ATXN2;ACSS2;NSDHL;PLSCR1;HSD17B7;FAM129A;FABP5;GPX8;FDPS;ANXA5;STX5;S100A11;ATF5;ATF3;TRIB3,ACTG1;SCD;EBP;FASN;DHCR7;CD9;CBS;CLU;IDI1;SREBF2;GUSB;ABCA2;SQLE;FDFT1;ALCAM;LGMN;LDLR;ACAT2;PNRC1;LSS;TNFRSF12A;FADS2
HALLMARK_ANDROGEN_RESPONSE,0.5522103089159067,1.0289170480562684,0.5217391304347826,0.816923260532283,101,97,B2M;SAT1;ADAMTS1;SCD;SLC38A2;INSIG1;DBI;DHCR24;TMEM50A;IDI1;CENPN;ANKH;FADS1;CCND3;HOMER2;RAB4A;PDLIM5;ACSL3;CAMKK2;SPCS3;NDRG1;ITGAV;ZMIZ1;ZBTB10;PMEPA1;SRF;AKAP12;HMGCR;CCND1;B4GALT1;GUCY1A3;CDC14B;CDK6;SORD;SGK1;GSR;IQGAP2;MERTK;RRP12;HSD17B14;ABCC4;HMGCS1;TNFAIP8;HPGD;SEC24D;ELOVL5;LIFR;ELL2;ACTN1;ELK4;FKBP5;LMAN1;APPBP2;SLC26A2;ABHD2;ARID5B;MAF;TMPRSS2;GPD1L;ALDH1A3;MYL12A;INPP4B;AKT1;KLK2;STEAP4;AZGP1;KLK3;NKX3-1;SPDEF;MAK;MAP7;BMPR1B;PTK2B;GNAI3;UAP1;PIAS1;PTPN21;STK39;TSC22D1;VAPA;UBE2J1;TPD52;RPS6KA3;H1F0;HERC3;SMS;NCOA4;NGLY1;ADRM1;DNAJB9;SRP19;PA2G4;KRT8;UBE2I;PGM3;XRCC5;XRCC6,B2M;SAT1;ADAMTS1;SCD;SLC38A2;INSIG1;DBI;DHCR24;TMEM50A;IDI1;CENPN;ANKH;FADS1;CCND3;HOMER2;RAB4A;PDLIM5;ACSL3;CAMKK2;SPCS3;NDRG1
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.46245850651297454,1.0674272501180846,0.3181818181818182,0.8218585679885989,200,196,PMAIP1;GLA;FASN;FKBP4;MYC;DHCR7;AMFR;HES1;ABCA3;FDFT1;TOB1;NCOR2;FOXC1;CHPT1;GJA1;MED24;AKAP1;SLC9A3R1;SLC16A1;RAB31;FOS;TGIF2;SYNGR1;SCARB1;ASB13;ADCY9;SLC39A6;NBL1;SLC22A5;TIAM1;PLA2G16;BAG1;CANT1;CELSR2;IGF1R;ESRP2;SLC19A2;IL6ST;BLVRB;PODXL;ABLIM1;FAM63A;SLC7A2;MREG;SIAH2;WWC1;RAPGEFL1;KDM4B;CCND1;B4GALT1;SH3BP5;RHOBTB3;SEC14L2;MYB;MED13L;REEP1;SLC2A1;UGCG;ITPK1;ARL3;MAPT;TJP3;TMEM164;CYP26B1;KLF10;RARA;SULT2B1;ELF1;NPY1R;TPBG;ADCY1;EGR3;PDLIM3;NXT1;FLNB;RPS6KA2;RRP12;IGFBP4;KAZN;TGM2;TIPARP;TFAP2C;TSKU;MYBL1;PEX11A;ELOVL5;SVIL;RET;AQP3;IL17RB;CISH;MAST4;KRT13;FKBP5;SEMA3B;CD44;CLDN7;CA12;GREB1;KLF4;ELOVL2;FAM102A;SLC1A1;DLC1;OPN3;SLC26A2;MLPH;ABHD2;MICB;HR;SFN;PTGES;MUC1;SLC27A2;PDZK1;TPD52L1;RASGRP1;BHLHE40;WISP2;INHBB;NADSYN1;PAPSS2;THSD4;ABAT;SOX3;ANXA9;INPP5F;OLFM1;CALB2;MYOF;TMPRSS3;KLK10;OLFML3;FRK;ELF3;JAK2;CLIC3;KRT15;SLC24A3;CXCL12;RHOD;P2RY2;PGR;TFF1;BCL11B;CALCR;CBFA2T3;LAD1;RAB17;ENDOD1;AR;KCNK15;OVOL2;MPPED2;GFRA1;ISG20L2;FHL2;BCL2;NAV2;AFF1;LRIG1;SYT12;AREG;ZNF185;TUBB2B;SLC7A5;KCNK5;FARP1;NRIP1;CELSR1;GAB2;SLC37A1;TBC1D30;SCNN1A;FAM134B;ALDH3B1;SNX24;HSPB8;DHRS3;DYNLT3;WFS1;DEPTOR;UNC119;MYBBP1A;PRSS23;SYBU;PPIF;TTC39A;SLC1A4;KRT18;ADD3;RBBP8;DHRS2;KRT8;STC2;XBP1,PMAIP1;GLA;FASN;FKBP4;MYC;DHCR7;AMFR;HES1;ABCA3;FDFT1;TOB1;NCOR2;FOXC1;CHPT1;GJA1;MED24;AKAP1;SLC9A3R1;SLC16A1;RAB31;FOS;TGIF2;SYNGR1;SCARB1;ASB13;ADCY9;SLC39A6;NBL1;SLC22A5;TIAM1;PLA2G16;BAG1;CANT1;CELSR2;IGF1R;ESRP2;SLC19A2;IL6ST;BLVRB;PODXL;ABLIM1;FAM63A;SLC7A2;MREG;SIAH2;WWC1;RAPGEFL1;KDM4B;CCND1;B4GALT1;SH3BP5;RHOBTB3;SEC14L2;MYB;MED13L;REEP1;SLC2A1;UGCG;ITPK1;ARL3;MAPT;TJP3;TMEM164;CYP26B1;KLF10;RARA;SULT2B1;ELF1;NPY1R;TPBG;ADCY1;EGR3;PDLIM3;NXT1;FLNB;RPS6KA2;RRP12
