,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_gene_set_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_t_test
HALLMARK_ADIPOGENESIS,,1.0,0.728502277904328,1000000000.0,0.7487684729064039,1.0,0.007623007623007623,0.986013986013986,,0.8757618377871543,0.4991168028262309,0.5430142668473583,0.16374714394516374,1000000000.0,,,1.0,0.015194681861348529,0.983650477433537,1000000000.0,1.0,1.0,,0.34130665253114234,1.0,,,,0.8849272750675762,1.0,,,,0.20753266717909305,0.7574574043177108,0.20753266717909305,,1.0,0.4594444215472118,0.034022372287231296,0.04559796437659033,0.8821412505623031,0.9633233532934132,0.6075273985771966,0.6350293542074364,,0.9534022697553264,1.0,0.02796116504854369,0.7676843819062398,0.5438448566610454,,,0.7731072648063111,,0.6982286906978056,,0.9633233532934132,0.6043590183627938,0.011114911080711354,,0.16374714394516374,0.011114911080711354,0.9981142241379308,0.6982286906978056,0.7662259096015901,0.3838777555110221,,0.034022372287231296,0.9156512605042018,0.6043590183627938,0.3893700869275881,1.0,0.8486814566764337,1000000000.0,,0.06637312459230267,1.0,0.03183144492023192,1.0
HALLMARK_ALLOGRAFT_REJECTION,,0.387405140245692,0.5367417728160434,1000000000.0,0.7431972789115647,1.0,0.13985287062210142,0.9309104440585464,,0.6169201520912547,0.5100463678516228,0.5788510532414286,0.4986920096691943,1000000000.0,,,0.6173558532323821,0.1051939513477975,0.4900274962038823,1000000000.0,1.0,1.0,,0.5640467041087792,1.0,,,,0.4923413566739606,0.7287553648068671,,,,0.5323664071115863,0.9351264809478066,0.5323664071115863,,1.0,0.3858532027954848,0.0875101136992718,0.3983558426306518,0.8879508825786646,0.7110278038113089,0.8696314877958626,0.9173693086003372,,0.9171756609852998,0.913588850174216,0.013569388920616793,0.3926043749179156,0.5484968308425888,,,0.7028556388998553,,0.4637808694574412,,0.7110278038113089,0.4646719353813668,0.07709807886754297,,0.4986920096691943,0.07709807886754297,0.956896551724138,0.4637808694574412,0.7749731471535982,0.31215361757998755,,0.0875101136992718,0.9733695652173912,0.4646719353813668,0.434267077042521,0.5913021233051932,0.6616262034323985,1000000000.0,,0.43345171655673936,0.9614979066521941,0.6606618908566346,0.7287553648068671
HALLMARK_ANDROGEN_RESPONSE,,0.2422854387656702,0.7174292054099747,1000000000.0,0.7970521541950114,0.9999311863473712,0.001071985446985447,1.0,,0.7490494296577946,0.4787480680061824,0.5282162845000803,0.5015776302905016,1000000000.0,,,1.0,0.008044243338360985,0.9313138945961642,1000000000.0,0.22862545215389676,1.0,,0.48773278155483296,0.995766299745978,,,,0.7153677832014812,0.9558052434456928,,,,0.5361260568793237,0.9461095100864552,0.5361260568793237,,1.0,0.3863354951843597,0.014691478942213518,0.24321274477265184,0.8169232605322829,0.9550898203592816,0.5984065564314556,0.6410718577265079,,0.8957948682553103,1.0,0.002563106796116505,0.2799798524351874,0.748189663723837,,,0.8796979865771811,,0.7066654720781527,,0.9550898203592816,0.6110562896859448,0.01065891472868217,,0.5015776302905016,0.01065891472868217,1.0,0.7066654720781527,0.7409953455066236,0.25667585170340684,,0.014691478942213518,0.11739130434782608,0.6110562896859448,0.4398516383636181,1.0,1.0,1000000000.0,,0.2849910661107802,1.0,0.7811776792436592,0.9558052434456928
HALLMARK_ANGIOGENESIS,,0.1446480231436837,0.0,1000000000.0,0.7927437641723356,1.0,0.0,1.0,,0.8726235741444868,0.5284647089129315,0.013934280111711926,0.01370906321401371,1000000000.0,,,1.0,0.0,0.7919614847381558,1000000000.0,0.9922483639763168,0.8597325514874141,,0.007943076728178709,0.8975444538526672,,,,0.5929534494636355,0.3792430745220445,,,,0.0046118370484242895,0.7421389689401217,0.0046118370484242895,,1.0,1.0,0.0020987827060305023,0.0069792802617230105,1.0,0.31462390225276826,0.5670628951445988,0.4285102739726027,,0.5492450779079598,1.0,0.009611650485436891,0.05442885510596048,0.0,,,0.7272844605059371,,0.0392109362456092,,0.31462390225276826,0.035589450270098515,0.0020764119601328897,,0.01370906321401371,0.0020764119601328897,1.0,0.0392109362456092,0.8226817042606517,0.11961313932212247,,0.0020987827060305023,0.9919642857142856,0.035589450270098515,0.5597130898050084,0.8249424405218726,0.664017617770969,1000000000.0,,0.007175472928897586,0.08954876725073654,0.5493652094143681,0.3792430745220445
HALLMARK_APICAL_JUNCTION,,1.0,0.0,1000000000.0,1.0,1.0,0.9613684582743988,0.8897206559077063,,0.8744725738396625,0.8965174129353234,0.0067591657258304115,0.5080681744540211,1000000000.0,,,1.0,0.9508758409531148,1.0,1000000000.0,0.59429209514906,1.0,,0.004552172627845108,1.0,,,,0.6753764393268379,0.10300429184549356,,,,0.5313952102942928,0.7193542997953473,0.5313952102942928,,1.0,0.4613371555724426,1.0,0.2629605688429218,1.0,0.16494845360824742,0.6475004806767929,0.7525277234181345,,0.7848901151295924,1.0,1.0,0.05151026237833263,0.0,,,0.9562568423056784,,0.03048988318408577,,0.16494845360824742,0.03030843506872905,1.0,,0.5080681744540211,1.0,1.0,0.03048988318408577,0.8703902613677049,0.0752254509018036,,1.0,0.8214285714285714,0.03030843506872905,0.5983386247787529,1.0,0.7399327023034414,1000000000.0,,0.3517317421196005,0.9917373679197216,0.5874746528934466,0.10300429184549356
HALLMARK_APICAL_SURFACE,,0.2657907425265188,0.2545435333896872,1000000000.0,1.0,0.92588769611891,0.7707900207900208,1.0,,0.5887686458028663,0.8495459814528593,0.034805115818981935,0.9056444818871104,1000000000.0,,,0.17399534071054165,0.7823026646556058,1.0,1000000000.0,0.8689406530244796,1.0,,0.034324194501921375,0.9652836579170194,,,,0.7625489025926663,0.4055793991416308,,,,0.9199332777314428,1.0,0.9199332777314428,,1.0,0.8164534934307839,1.0,0.8633587786259542,0.5332080200501252,0.4273664479850047,1.0,1.0,,0.5381218880433761,1.0,0.32807766990291265,0.009213217661165186,0.2416209949409781,,,0.6303131991051454,,0.04113345521023765,,0.4273664479850047,0.038377563885728334,1.0,,0.9056444818871104,1.0,1.0,0.04113345521023765,0.8145363408521302,0.025400801603206416,,1.0,0.633673469387755,0.038377563885728334,0.3846753732895229,1.0,0.9646295521138551,1000000000.0,,0.832572298325723,0.1061792525973019,0.7067971261107959,0.4055793991416308
HALLMARK_APOPTOSIS,,1.0,0.5137362637362637,1000000000.0,0.8387311446317658,1.0,0.942144489174192,0.9630477436232832,,0.8230330106726236,0.7145681847174385,0.5294432230079029,0.4802021903959562,1000000000.0,,,1.0,1.0,0.668678986054819,1000000000.0,0.8377577386517088,1.0,,0.5076120969961369,1.0,,,,0.941541186891054,0.8848938826466917,,,,0.3447317208785099,0.7607549913025418,0.3447317208785099,,1.0,0.5942848155064288,1.0,0.2823529411764706,0.8506141897954764,0.7116045466560931,1.0,1.0,,0.8999879212465274,1.0,0.9203255139694254,0.3753409037475902,0.5370994940978078,,,0.8228001491424308,,0.5627412582904207,,0.7116045466560931,0.6843816663306806,1.0,,0.4802021903959562,1.0,0.9710031347962382,0.5627412582904207,0.7977201067184091,0.4467343778466023,,1.0,0.7269642857142857,0.6843816663306806,0.5030592710582729,0.7617805065234076,0.9410437446921884,1000000000.0,,0.2580101180438448,1.0,0.6496033535171368,0.8848938826466917
HALLMARK_BILE_ACID_METABOLISM,,1.0,0.5304065714088493,1000000000.0,0.7520098948670376,1.0,0.9563456345634564,0.7298076923076923,,0.6231742940603701,0.6848396904367053,0.3963276045946466,0.4838127331808882,1000000000.0,,,1.0,1.0,0.967976460351263,1000000000.0,1.0,1.0,,0.37259121830550396,1.0,,,,0.8367908256025359,0.9622587150677038,,,,0.5453262333996279,0.8954270267855148,0.5453262333996279,,1.0,0.7959132896656305,1.0,0.2365164247517189,0.9046505151768308,0.9105538922155688,0.9202973787092226,0.6873837307627262,,0.976210473683767,0.9526320745832941,0.540666315234581,0.6443700501783447,0.4690743046907431,,,0.8114530474163802,,0.7010022376412629,,0.9105538922155688,0.6403932432763735,1.0,,0.4838127331808882,1.0,1.0,0.7010022376412629,0.7954293510701799,0.3336860670194003,,1.0,0.9672321428571428,0.6403932432763735,0.6616756089783583,1.0,0.8746648793565682,1000000000.0,,0.2514947110225356,1.0,0.41517298874531056,0.9622587150677038
HALLMARK_CHOLESTEROL_HOMEOSTASIS,,0.35817605730816915,0.23245984784446325,1000000000.0,1.0,1.0,0.0,0.9242891401164782,,0.5903041825095057,0.4411901081916538,0.03201319151464733,0.17337932888311455,1000000000.0,,,1.0,0.002681414446120328,0.9140461105151632,1000000000.0,0.9845495926634912,1.0,,0.03528890125367321,0.9652836579170194,,,,0.974313551815766,0.46351931330472107,,,,0.18447348193697155,1.0,0.18447348193697155,,1.0,0.4236290986486758,0.0080135339684801,0.026306517909571343,0.8118102273226927,0.6082474226804123,0.6955633532013074,0.5081923180230996,,0.8318299311511052,1.0,0.002330097087378641,0.1516485773319061,0.2223159078133783,,,1.0,,0.12680423081760206,,0.6082474226804123,0.1783572680586734,0.010062611806797852,,0.17337932888311455,0.010062611806797852,1.0,0.12680423081760206,0.7697368421052632,0.02588927855711423,,0.0080135339684801,1.0,0.1783572680586734,0.4561078068460674,1.0,0.8634713939194981,1000000000.0,,0.0365296803652968,1.0,0.6264901064169988,0.46351931330472107
HALLMARK_COAGULATION,,0.2468056894889103,0.1802457897132453,1000000000.0,0.5751700680272109,1.0,0.0871881496881497,1.0,,0.5495123160853034,0.481356259659969,0.046158747136226495,0.14236334876091158,1000000000.0,,,1.0,0.07834393512142873,0.7289688809507453,1000000000.0,0.9326859838615841,1.0,,0.03180017735737512,1.0,,,,0.4011670313639679,0.28326180257510736,,,,0.15949269792467333,0.7655432810331945,0.15949269792467333,,1.0,0.9598698873561834,0.050685602350636634,0.17465648854961832,0.5440267335004176,0.32989690721649484,1.0,0.9469926925238898,,0.5205723133009038,1.0,0.023800277392510404,0.006700521935392861,0.14982488001037747,,,1.0,,0.03955835115008418,,0.32989690721649484,0.0376395338110028,0.02353266888150609,,0.14236334876091158,0.02353266888150609,1.0,0.03955835115008418,0.7928153717627401,0.02203573814295257,,0.050685602350636634,1.0,0.0376395338110028,0.3958844570145156,0.7848213524345528,0.517301520859495,1000000000.0,,0.2750597956077408,0.7368584276632036,0.8185794416083696,0.28326180257510736
