,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_gene_set_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_t_test
HALLMARK_E2F_TARGETS,,,0.06131359149582384,,0.12386706948640484,,,,,,,0.002491389408535413,,,,,,,,,,,,0.004205318491032777,,,,,,0.24719101123595505,,,,,,,,,,,0.0453781512605042,,,,,,0.0,,,,0.03995433789954338,,,,,0.012249272699433471,,,0.01603373458530486,,,,,,0.012249272699433471,,0.06015625,,,,0.01603373458530486,,,,,,0.04618699643994754,,0.0,0.24719101123595505
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,,0.20973963355834133,0.12320371935756552,,,,0.0,,,,0.04250386398763524,0.03247599153475913,0.011424219345011423,,,,,0.0,,,,,0.2382324687800192,0.025571132975803386,,0.06449650136902951,,0.2420833333333333,,,0.004016832440703903,0.02485052316890882,,0.011529592621060722,,0.011529592621060722,,,,0.0,0.0,,,,,,,,0.0,0.01019436551599057,0.15001405283867342,,,,,0.04345737923341493,,,0.04428180448353272,0.0,,0.011424219345011423,0.0,,0.04345737923341493,,0.005373246492985971,,0.0,,0.04428180448353272,,,,,,0.0,0.10234144828655606,,
HALLMARK_G2M_CHECKPOINT,,,,,,,0.028376944837340882,,,,,,0.15445099691098008,,,,,0.03421090999979172,,,,,,,,,,,,,,,,0.17514595496246874,,0.17514595496246874,,,,,0.008643457382953182,,,,,,0.0,,,,,,,,,,,,,0.22696929238985314,,0.15445099691098008,0.22696929238985314,,,,,,,,,,,,,,0.0040953986991086495,,0.0,
HALLMARK_HYPOXIA,,,,,,,0.0,,,,,0.13659727862395835,0.005712109672505713,,,,,0.0,,,,,,0.17614549952212288,,0.1339754816112084,,,,,0.02811782708492732,0.02877428998505232,,0.005764796310530361,,0.005764796310530361,,,,0.0,0.0,,,,,,,,0.003661581137309293,,,0.0,,,,,,,,0.0,,0.005712109672505713,0.0,,,,,,0.0,,,,,,,,0.0,,,
HALLMARK_KRAS_SIGNALING_DN,,,,,,,,,,,,,,,,,,,,,,,,,,0.005253940455341506,,,,,,,,,,,,,,,,,,,,,,,,0.15987026555226408,,0.0,,,,,,,,,,,,,,,0.08797025869921662,,,,,,,,,,,,,
HALLMARK_KRAS_SIGNALING_UP,,0.23577627772420445,,,,,0.0,,,,,,0.16201620162016206,,,,,0.005362828892240657,,,,,,,,,,,,,,,,0.15609294625436054,,0.15609294625436054,,,,0.003672869735553379,0.031089521165857045,,,,,,,,0.004271844660194175,,,,,,,,,,,0.0043604651162790714,,0.16201620162016206,0.0043604651162790714,,,,0.12431738476953907,,0.003672869735553379,,,,,,,,0.04636459430979978,,,
HALLMARK_MYC_TARGETS_V1,,,0.06970387243735764,,0.1676737160120846,,0.0,,,,,0.0,,,,,,0.0017876096307468856,,,,,,0.0,,,,,,0.2367041198501873,,,,,,,,,,0.008570029382957884,0.13706530958439356,,0.2371257485029941,,,,0.0,,0.016019417475728152,0.09645669291338584,0.05707762557077625,,,,,0.0005641112427370678,,0.2371257485029941,0.0,0.016064871481028153,,,0.016064871481028153,,0.0005641112427370678,,0.0010912698412698413,,0.008570029382957884,,0.0,,,,,,0.17161339421613395,,0.0,0.2367041198501873
HALLMARK_MYC_TARGETS_V2,,,0.14414072386737534,,,,0.05816686251468861,,,,,0.00030596010280259454,,,,,,0.07776101893748953,,,,,,0.0,,,,,0.0,,,,,,,,,,,0.10871694417238001,,,,,,,0.0,,0.01423948220064725,0.1328740157480315,0.13888888888888887,,,,,0.00037607416182471184,,,0.0003432297923459757,0.11516100178890876,,,0.11516100178890876,,0.00037607416182471184,,0.005820105820105821,,0.10871694417238001,,0.0003432297923459757,,,,,,,,0.0,
HALLMARK_NOTCH_SIGNALING,,,0.0,,,,,,,,,0.0041594866005110216,,,,,,0.22745791508469,,,,,,0.002926396689328998,,,,,,0.15450643776824036,,,,,,,,,,,,0.0,0.21993127147766325,,,,,,,0.01306601777401608,0.00983698707138842,,,,,0.004647848046354539,,0.21993127147766325,0.008856360896706541,,,,,,0.004647848046354539,,0.0,,,,0.008856360896706541,,,,,,,,,0.15450643776824036
HALLMARK_P53_PATHWAY,,,,,,,0.0871051390853371,,,,,,0.01684919966301601,,,,,0.13740601112245113,,,,,0.17036172695449242,0.17075345289631005,,,,0.20615384615384616,,,0.21242891957757928,0.1413162206444566,,0.016680567139282742,,0.016680567139282742,,,,,0.005042016806722689,,,,,0.05660377358490566,,,,,,,,,,,0.05555555555555555,,,,,0.01684919966301601,,,,,0.08313877755511022,,,,,,,,,,0.004777965148960089,,,
HALLMARK_TGF_BETA_SIGNALING,,0.1832208293153327,0.04649196956889265,,,,,,,,,0.0067591657258304115,,,,,,,,,,,,0.001950931126219332,,,,,,0.2317596566523605,,,,,,,,,,,,,0.22778595974472265,,,,,,0.10679611650485436,0.0085431654676259,0.05902192242833053,,,,,0.01859139218541815,,0.22778595974472265,0.015744641594144963,,,,,,0.01859139218541815,,0.024521543086172347,,,,0.015744641594144963,,,,,,,,,0.2317596566523605
HALLMARK_TNFA_SIGNALING_VIA_NFKB,,0.07232401157184186,,,,,0.0,,,,0.025502318392581144,0.015135909574081778,0.0,,0.0,,0.04950495049504952,0.0,,,,,0.018114450391107453,0.007370184254606366,,,,0.025,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,,,,,,,,0.0,0.009925148116800677,,,,,,0.0610655727936427,,,0.049202004981703004,0.0,,0.0,0.0,,0.0610655727936427,,0.02246993987975952,,0.0,,0.049202004981703004,,,,,,0.0,0.005117072414327802,,
HALLMARK_WNT_BETA_CATENIN_SIGNALING,,,0.02092138630600169,,,,,,,,,0.008665597084397963,,,,,,,,,,,,0.005039905409399941,,,,,,,,,,,,,,,,,,,,,,,,,0.09266616878267364,0.08342149809564113,0.05902192242833053,,,,,0.04523905431785083,,,0.039783335456634136,,,,,,0.04523905431785083,,0.04577726882336101,,,,0.039783335456634136,,,,,,,,,
TP,0.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,4.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
TN,8.0,7.0,2.0,8.0,6.0,8.0,4.0,8.0,8.0,8.0,8.0,2.0,6.0,8.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,7.0,1.0,8.0,8.0,8.0,7.0,7.0,4.0,7.0,7.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,6.0,4.0,7.0,5.0,8.0,8.0,7.0,4.0,8.0,4.0,3.0,2.0,8.0,8.0,8.0,8.0,2.0,7.0,5.0,2.0,5.0,8.0,6.0,5.0,8.0,2.0,8.0,1.0,8.0,6.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,4.0,4.0
FP,0.0,1.0,6.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,6.0,3.0,0.0,2.0,3.0,0.0,6.0,0.0,7.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0
FN,5.0,2.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,2.0,1.0,5.0,4.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,2.0,5.0,3.0,5.0,5.0,2.0,2.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,1.0,5.0,1.0,1.0,5.0,3.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0
Sensitivity,0.0,60.0,20.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,40.0,60.0,80.0,0.0,20.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,60.0,0.0,40.0,0.0,0.0,60.0,60.0,0.0,80.0,0.0,80.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,60.0,20.0,40.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,80.0,0.0,80.0,80.0,0.0,40.0,0.0,80.0,0.0,80.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0
Specificity,100.0,87.5,25.0,100.0,75.0,100.0,50.0,100.0,100.0,100.0,100.0,25.0,75.0,100.0,100.0,100.0,100.0,37.5,100.0,100.0,100.0,100.0,87.5,12.5,100.0,100.0,100.0,87.5,87.5,50.0,87.5,87.5,100.0,75.0,100.0,75.0,100.0,100.0,100.0,75.0,50.0,87.5,62.5,100.0,100.0,87.5,50.0,100.0,50.0,37.5,25.0,100.0,100.0,100.0,100.0,25.0,87.5,62.5,25.0,62.5,100.0,75.0,62.5,100.0,25.0,100.0,12.5,100.0,75.0,100.0,25.0,100.0,100.0,100.0,100.0,100.0,50.0,100.0,50.0,50.0
PPV,,75.0,14.285714285714285,,0.0,,50.0,,,,100.0,33.33333333333333,66.66666666666666,,100.0,,100.0,44.44444444444444,,,,,66.66666666666666,30.0,,100.0,,66.66666666666666,0.0,0.0,75.0,75.0,,66.66666666666666,,66.66666666666666,,,,66.66666666666666,50.0,0.0,0.0,,,0.0,0.0,,50.0,37.5,14.285714285714285,100.0,,,,25.0,0.0,0.0,25.0,57.14285714285714,,66.66666666666666,57.14285714285714,,25.0,,36.36363636363637,,66.66666666666666,,25.0,,,,,,50.0,100.0,0.0,0.0
