,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1,RNF43_G659fs_4,RNF43_G659fs_3,RNF43_G659fs_2,RNF43_G659fs_1
HALLMARK_ADIPOGENESIS,0.8550668571892377,0.8564491183712823,0.860472560393556,0.8544755223568612,0.7599470694953995,0.7656288506157352,0.7697861438263265,0.7620893498459654,0.7858330282412554,0.790558284149271,0.7942206814273326,0.7855606366367534,0.4386474558710187,0.43781860706020154,0.4392927965360773,0.4384861293922027,0.37968256814231555,0.3784460712027384,0.38166751693365686,0.37774106801800145,0.3753432356072313,0.37318630236556244,0.3764374050824556,0.37348074594966135,0.24462039755653123,0.3033336879274431,0.4078195196979571,0.2842603040214096,0.16591446823679346,0.16597777900023739,0.2225933510008545,0.1738387587340196,0.0749935691625167,0.13336578026551144,0.22994601445248294,0.11604989548318233,,,,,,,,,,,,
HALLMARK_ALLOGRAFT_REJECTION,0.3247250461812044,0.3212129407657635,0.3348172890731298,0.3200880737997524,0.14966321239712074,0.16898835997511705,0.17193312949057343,0.1667315236797429,0.24507138567584952,0.2398137204822475,0.2594537036735187,0.2408716204630984,0.12849594561893085,0.1296091883357535,0.13057123569876436,0.12406956759669693,0.03195154693273763,0.025843048999041537,0.03154058007843183,0.024379977557073582,0.02396781716859618,0.025592267467273357,0.02826105078631912,0.0187917969973212,0.41951446159644573,0.4379953832910711,0.4196257889341313,0.26323016113570974,0.39893983642667136,0.4050952333663521,0.4044608511714358,0.3525078304685996,0.2567115662456637,0.2708555088504264,0.2578053600370027,0.10529337889710515,,,,,,,,,,,,
HALLMARK_ANDROGEN_RESPONSE,0.8249245129791839,0.8239290505723276,0.8266999730680505,0.8216363184825902,0.7221432077227733,0.7324440673569722,0.7298735971485568,0.7296399134176665,0.7659619838518056,0.7610675351423378,0.7657130994602667,0.759744205143681,0.34357298870846736,0.3489875720811613,0.34567468228122444,0.34500112249817244,0.29221626872585493,0.29392932465682337,0.29447327685317776,0.29206128789454455,0.2866549589089629,0.2915644495601792,0.2883375183418547,0.2891682338902365,0.3870265467928355,0.5544049524511,0.4470958900769864,0.5650859629249051,0.24831609435639362,0.4170312796379033,0.2994986117492279,0.33335749403148435,0.20941546037868475,0.38405664946403967,0.2715953231828407,0.3964659107519715,,,,,,,,,,,,
HALLMARK_ANGIOGENESIS,0.48311220068807664,0.49800553673581316,0.4976211470673364,0.4868122919800607,0.3822171403023079,0.40120940340795413,0.40228394079277213,0.3952472592758363,0.41674703828928145,0.4438624584370702,0.43722792350984,0.42721451185752096,0.18898680955394362,0.18585481067202186,0.19281140012828657,0.18007067596497825,0.11701130483374202,0.10595241504570668,0.11240358674253781,0.08821854426723416,0.10823504945869813,0.10829677137424097,0.11077010540008558,0.0976994683832651,0.7306397355363717,0.5073280776977642,0.7879853148632741,0.5076609985819301,0.4779680127936939,0.2237467178340343,0.29919808638798184,0.10951497092778535,0.5772544835326032,0.36214740386820055,0.6620511401924424,0.3711595768663249,,,,,,,,,,,,
HALLMARK_APICAL_JUNCTION,0.5940440000889536,0.5942175422034197,0.6007622529662976,0.5905601051927171,0.5071309127917584,0.49531131424411967,0.5064088964147805,0.49209367039670954,0.5299732582190205,0.5322436436353408,0.5377696934944485,0.5273814238314354,0.193804390936181,0.19675811051567219,0.19818021011822406,0.18927286884322578,0.12583715359561032,0.12881449738216383,0.1292618987458788,0.1208790113315639,0.1209149171012519,0.12309056537663528,0.1257166898433689,0.11680546891974684,0.2730281577557112,0.27873740097510086,0.4268410207547203,0.18952029050461378,0.1865587932515383,0.1845180415285329,0.24416542032550942,0.13209968672705039,0.12196526919718118,0.11710811951994433,0.24896153583030511,0.023774920573140627,,,,,,,,,,,,
HALLMARK_APICAL_SURFACE,0.46658162820745563,0.46799684611396436,0.46508193108302226,0.4522460236356727,0.31436508011015873,0.33004474617297824,0.3277258659423406,0.320423872230035,0.40627924851241715,0.40391346714984294,0.40474248913496036,0.3884969554672216,0.09817776926328864,0.11318488456614584,0.10783328379585054,0.10629110104232783,0.042211740006639215,0.05228669421597235,0.04885512661606543,0.047202649652852764,0.03111206320596668,0.04583037101724414,0.04182536850537396,0.03432460546057544,0.29268460726944123,0.7637415807050657,0.6695390316746976,0.4329629255691709,0.34046145100620967,0.5766560754373323,0.5553379970630506,0.46008533730842704,0.16447190164528017,0.5906753970400754,0.46785372283369797,0.2958346097942369,,,,,,,,,,,,
HALLMARK_APOPTOSIS,0.7126437593534426,0.7109098353942324,0.7163450707666952,0.6975667555302879,0.5917533951744601,0.6039876373004714,0.6073833851319034,0.5862683226631478,0.6391321108340094,0.6344863765582804,0.6420972286221127,0.6180649904228468,0.3578594692211056,0.3597752487095676,0.35948457636578857,0.3542916507630645,0.28860946019487227,0.2908452374206861,0.2902436357099122,0.2842563436395271,0.2858642087023856,0.2890689688197114,0.2883208357107268,0.28037703778484446,0.2740788517475129,0.4082365723514249,0.4547840381179061,0.3146462778164343,0.3836458747444237,0.4033217090422884,0.4879852247790369,0.32724143970433817,0.12912945796513223,0.23391859294461523,0.2891831452523628,0.15807744015103836,,,,,,,,,,,,
HALLMARK_BILE_ACID_METABOLISM,0.49554173538677837,0.49498211459844293,0.48254847226577635,0.48478655428539785,0.42811228852982247,0.4298905519111539,0.43466822969506236,0.421085172660141,0.43335650876091886,0.4324287870032793,0.4136966451674086,0.41862789330250144,0.10525540768274892,0.10569455244372875,0.10738922698033214,0.09781627660437714,0.052312459044035864,0.0511426441655133,0.052637316841731265,0.04016397151244442,0.04249933574848126,0.04199576384884758,0.04391017290656979,0.0346351969048741,0.18086795062209737,0.17079369004746184,0.17285295943398507,0.05832824794994047,0.16208600890392597,0.014062856744888707,0.1310082607355206,0.03468091294150385,0.009189368627864514,0.018694357190242605,-0.0009374063623784585,-0.1311955299284694,,,,,,,,,,,,
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.8674778211914876,0.8717713699500181,0.875425472449293,0.8615114105006797,0.7820461588768423,0.7833494261525648,0.7889343306072473,0.7774112037241846,0.8142910621558329,0.819314381554433,0.8228210409243283,0.8085691560468432,0.3737202009742789,0.37688152075158043,0.38086531196359774,0.3652531720620454,0.3270975946216943,0.32910165997300517,0.3348261629911265,0.3164696381771293,0.32349585330422437,0.3264436543439878,0.33260329957836854,0.31443884073323786,0.42479056641234536,0.5267757455376398,0.7480818397430347,0.30643969489194145,0.4031869231808959,0.5064423440801493,0.663102875479141,0.40116109221499197,0.27431811861198635,0.34922517733817904,0.5525163642166862,0.13963637724868283,,,,,,,,,,,,
HALLMARK_COAGULATION,0.34342512803061,0.34442290301743844,0.35431238192987125,0.3380196567484092,0.2218344744842696,0.2150303763464852,0.21038591441294233,0.20836803261547723,0.27382923906455814,0.2762786412559161,0.29370366555086663,0.27172587184616187,0.0292191118653852,0.02543476712301085,0.029161818264824977,0.015614452191068552,-0.047331839275073014,-0.05054231504104974,-0.04793230219813241,-0.06696916880098443,-0.0518251624584192,-0.05716541069331191,-0.05241500195785012,-0.06684929120744376,0.4571243890531196,0.35551736349418495,0.46245848337355533,0.30449613512692775,0.41616551313836203,0.45064330547929526,0.47935601089770186,0.3840034090231311,0.3066723672050809,0.18356913138912384,0.3070256330967139,0.1393546571475325,,,,,,,,,,,,
HALLMARK_COMPLEMENT,0.4767429803424339,0.4796328765578502,0.46926731380949016,0.4711314973099414,0.3515113296351251,0.3587954064014373,0.3481700264635667,0.344342361141711,0.4091616576437442,0.4132609280533938,0.40088961502651144,0.40560257151245505,0.11347265522450495,0.11695170597871107,0.11927972407608357,0.10670309009877785,0.04042667348400709,0.043279616088858504,0.043495740111907086,0.028860027071035438,0.04021140990022416,0.04248250038029459,0.04345051034376275,0.031204669833392044,0.4235610269642257,0.48422605057062085,0.5069526098879359,0.2574343348357507,0.2417814475327975,0.3700673453307419,0.3875410802255198,0.2584395613583454,0.27016202283906704,0.32246639363606006,0.36424334115132845,0.10265818486532703,0.6055220398839074,0.5609413321015767,0.5641539883085215,0.5296269796949696,0.3697687973365779,0.3023194119747869,0.2863116673041986,0.2764045352912906,0.3673439605117522,0.3219100137052502,0.3257322331969663,0.3124397084301919
