# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_COMPLEMENT	0.10388855248961584	0.09103937712535477	0.092120339092822	0.08836107990960648
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.00203538871443653	0.004454897657893459	0.00883813819500717	0.0005914216534168414
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.04282950062364896	0.04709793766532355	0.046891597584739236	0.035819134470392144
HALLMARK_GLYCOLYSIS	0.19238015676509274	0.19445632415103947	0.2071235218874406	0.19485545426727569
HALLMARK_HYPOXIA	0.09285883480723438	0.09727182323848356	0.10465982924943437	0.07238051205786131
HALLMARK_IL2_STAT5_SIGNALING	-0.06775690415388572	-0.06590962556253316	-0.061110797815823535	-0.07193216372308339
HALLMARK_KRAS_SIGNALING_DN	-0.05847094741507023	-0.03880865710227945	-0.050457527311011836	-0.07568649721532944
HALLMARK_KRAS_SIGNALING_UP	0.022196916058417143	0.029176750387808235	0.03404108146202317	0.02232117324023295
HALLMARK_P53_PATHWAY	0.11226432292210646	0.12209046599279756	0.12289554156912433	0.10551552339598941
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.023882417877719813	-0.027181506772869353	-0.02303770847821289	-0.039795293800267674
# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_COMPLEMENT	0.10388855248961584	0.09103937712535477	0.092120339092822	0.08836107990960648
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.00203538871443653	0.004454897657893459	0.00883813819500717	0.0005914216534168414
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.04282950062364896	0.04709793766532355	0.046891597584739236	0.035819134470392144
HALLMARK_GLYCOLYSIS	0.19238015676509274	0.19445632415103947	0.2071235218874406	0.19485545426727569
HALLMARK_HYPOXIA	0.09285883480723438	0.09727182323848356	0.10465982924943437	0.07238051205786131
HALLMARK_IL2_STAT5_SIGNALING	-0.06775690415388572	-0.06590962556253316	-0.061110797815823535	-0.07193216372308339
HALLMARK_KRAS_SIGNALING_DN	-0.05847094741507023	-0.03880865710227945	-0.050457527311011836	-0.07568649721532944
HALLMARK_KRAS_SIGNALING_UP	0.022196916058417143	0.029176750387808235	0.03404108146202317	0.02232117324023295
HALLMARK_P53_PATHWAY	0.11226432292210646	0.12209046599279756	0.12289554156912433	0.10551552339598941
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.023882417877719813	-0.027181506772869353	-0.02303770847821289	-0.039795293800267674
