# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_COMPLEMENT	0.16941335343281863	0.15694053377251163	0.1578393728330182	0.14817938371957967
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.05716822664647373	0.06255630737124733	0.0626730633906571	0.06053354627999502
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.08069118335472548	0.08786561530786632	0.08526602741909708	0.07407420989609367
HALLMARK_GLYCOLYSIS	0.22394332453682875	0.2247547977518663	0.23704934936601765	0.22148879457992587
HALLMARK_HYPOXIA	0.1298925390182431	0.13303001559398922	0.14104246911728802	0.11881691157128915
HALLMARK_IL2_STAT5_SIGNALING	-0.015370792782837848	-0.010444140312152803	-0.007955209294670413	-0.021660955663000782
HALLMARK_KRAS_SIGNALING_DN	-0.029546124431387447	-0.008893169293977411	-0.01741519811771238	-0.042731306455030704
HALLMARK_KRAS_SIGNALING_UP	0.06566103436115561	0.07355434997651511	0.07918263897250702	0.07306124447460766
HALLMARK_P53_PATHWAY	0.1572307304722723	0.16263675319997337	0.16141259664498525	0.14820060189811562
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.02310104486719673	0.021137332158740783	0.025331416444370772	0.011867664939012494
# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_COMPLEMENT	0.16941335343281863	0.15694053377251163	0.1578393728330182	0.14817938371957967
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.05716822664647373	0.06255630737124733	0.0626730633906571	0.06053354627999502
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.08069118335472548	0.08786561530786632	0.08526602741909708	0.07407420989609367
HALLMARK_GLYCOLYSIS	0.22394332453682875	0.2247547977518663	0.23704934936601765	0.22148879457992587
HALLMARK_HYPOXIA	0.1298925390182431	0.13303001559398922	0.14104246911728802	0.11881691157128915
HALLMARK_IL2_STAT5_SIGNALING	-0.015370792782837848	-0.010444140312152803	-0.007955209294670413	-0.021660955663000782
HALLMARK_KRAS_SIGNALING_DN	-0.029546124431387447	-0.008893169293977411	-0.01741519811771238	-0.042731306455030704
HALLMARK_KRAS_SIGNALING_UP	0.06566103436115561	0.07355434997651511	0.07918263897250702	0.07306124447460766
HALLMARK_P53_PATHWAY	0.1572307304722723	0.16263675319997337	0.16141259664498525	0.14820060189811562
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.02310104486719673	0.021137332158740783	0.025331416444370772	0.011867664939012494
# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_COMPLEMENT	0.16941335343281863	0.15694053377251163	0.1578393728330182	0.14817938371957967
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.05716822664647373	0.06255630737124733	0.0626730633906571	0.06053354627999502
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.08069118335472548	0.08786561530786632	0.08526602741909708	0.07407420989609367
HALLMARK_GLYCOLYSIS	0.22394332453682875	0.2247547977518663	0.23704934936601765	0.22148879457992587
HALLMARK_HYPOXIA	0.1298925390182431	0.13303001559398922	0.14104246911728802	0.11881691157128915
HALLMARK_IL2_STAT5_SIGNALING	-0.015370792782837848	-0.010444140312152803	-0.007955209294670413	-0.021660955663000782
HALLMARK_KRAS_SIGNALING_DN	-0.029546124431387447	-0.008893169293977411	-0.01741519811771238	-0.042731306455030704
HALLMARK_KRAS_SIGNALING_UP	0.06566103436115561	0.07355434997651511	0.07918263897250702	0.07306124447460766
HALLMARK_P53_PATHWAY	0.1572307304722723	0.16263675319997337	0.16141259664498525	0.14820060189811562
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.02310104486719673	0.021137332158740783	0.025331416444370772	0.011867664939012494
# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
