# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.22323546232339192	0.2225084603772175	0.22440251869706573	0.22209395171896057
HALLMARK_ALLOGRAFT_REJECTION	0.018786004283461596	0.01519449528424148	0.01854437513475083	0.014334278205122258
HALLMARK_ANDROGEN_RESPONSE	0.17180939901086428	0.17281659519215492	0.17313641345673608	0.1717182775835675
HALLMARK_ANGIOGENESIS	0.06879713456276676	0.06229502837787034	0.06608801340564195	0.051868347844747406
HALLMARK_APICAL_JUNCTION	0.0739863178281241	0.07573685570490601	0.07599990662863342	0.07107116376668013
HALLMARK_APICAL_SURFACE	0.024818514428939658	0.030742112849092746	0.02872451276961778	0.027752934167348992
HALLMARK_APOPTOSIS	0.16968876551993176	0.17100329719595425	0.17064958373289948	0.1671293380710112
HALLMARK_BILE_ACID_METABOLISM	0.030757261354152066	0.030069465318328048	0.03094826243437735	0.02361452302957285
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.19231797529580955	0.19349627130611907	0.1968620093858904	0.18606923761458408
HALLMARK_COAGULATION	-0.027828891578785674	-0.029716500076069186	-0.028181935488315324	-0.039374716178956624
HALLMARK_COMPLEMENT	0.023768979412340144	0.02544637525511528	0.02557344599855367	0.01696833625359736
HALLMARK_DNA_REPAIR	0.2893255335217445	0.28809379523725365	0.2905717864465256	0.2909841452039804
HALLMARK_E2F_TARGETS	0.35724831836266735	0.3582244679988615	0.3557331411551505	0.35793720375156896
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.012662201810725329	0.011865786067554677	0.01248352205317041	0.008094415063381676
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.01882652533088296	0.011919276702555113	0.017124382931983994	0.010069188523897217
HALLMARK_ESTROGEN_RESPONSE_LATE	0.08137042195426482	0.07606176042606431	0.07993171333548646	0.07409329524869672
HALLMARK_FATTY_ACID_METABOLISM	0.21973763803421537	0.22086565901471028	0.22188614325762335	0.22012373377887515
HALLMARK_G2M_CHECKPOINT	0.31456609482407527	0.3164163932301186	0.3143197207687739	0.3151873730492664
HALLMARK_GLYCOLYSIS	0.16565802955322126	0.1659423354716426	0.16675206162935668	0.16318961512800342
HALLMARK_HEDGEHOG_SIGNALING	0.027126520896631586	0.027799426692279208	0.025265242579701204	0.029690918087679475
HALLMARK_HEME_METABOLISM	0.13945419901503142	0.13903624515614701	0.14020379754444856	0.13595154961385203
HALLMARK_HYPOXIA	0.08669184523703224	0.0866419219421281	0.08893886230348833	0.08155455451167196
HALLMARK_IL2_STAT5_SIGNALING	0.051034357521126256	0.0540612969857181	0.054813834612915426	0.051284431534592806
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.005728640283652074	0.0008396822546850185	-0.0013063353813690135	0.00490213684821275
HALLMARK_INFLAMMATORY_RESPONSE	-0.055622874021537726	-0.053325870104113264	-0.05277609153393431	-0.06034044150026541
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.021481398638001064	0.0253205869143984	0.02461956457158262	0.027733184885102062
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.007295307282705857	-0.009401307838380765	-0.008925813190491117	-0.01211104214134285
HALLMARK_KRAS_SIGNALING_DN	-0.1329554224508672	-0.13635214446442032	-0.13688432746612786	-0.1415277734809209
HALLMARK_KRAS_SIGNALING_UP	-0.07592941421939363	-0.07733765028661406	-0.07860040266991611	-0.07897604335806079
HALLMARK_MITOTIC_SPINDLE	0.20104096246563502	0.20349478494197473	0.2004366493686836	0.19864311434953608
HALLMARK_MTORC1_SIGNALING	0.3115015128743259	0.3126074413604096	0.31337111530793743	0.31284588981859246
HALLMARK_MYC_TARGETS_V1	0.44510125891059416	0.4449854429890613	0.44432301607530933	0.44642511415261693
HALLMARK_MYC_TARGETS_V2	0.3191999014243144	0.31184906339846086	0.31358493881135524	0.3159403746831224
HALLMARK_MYOGENESIS	0.03480931868277399	0.030313231707666994	0.03052162687948524	0.025501033030273266
HALLMARK_NOTCH_SIGNALING	0.05545145800309675	0.06409395082804546	0.06114694896947009	0.054349953159822585
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.3703942590624928	0.3712167062240417	0.3704264689613902	0.36999527368054463
HALLMARK_P53_PATHWAY	0.13785820153666492	0.13884536136728615	0.14079870191254795	0.1365627539309669
HALLMARK_PANCREAS_BETA_CELLS	0.012162937625193531	0.003415618299685073	0.012000178108991207	-0.00490396191679367
HALLMARK_PEROXISOME	0.147324331781585	0.14716780084752487	0.14790406985473084	0.14559304459797318
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.1922830372981124	0.19655372622541983	0.1961080247842525	0.19534408557399052
HALLMARK_PROTEIN_SECRETION	0.24328839051999698	0.2481271934790842	0.24559883540025862	0.24585629946446494
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.21281801902051165	0.21515408685720358	0.21677973899041555	0.21582452294323612
HALLMARK_SPERMATOGENESIS	0.06041630891097811	0.06918848215057544	0.06408115717193892	0.05981011643223011
HALLMARK_TGF_BETA_SIGNALING	0.12339162901743418	0.12869585983895696	0.12198553958379177	0.12154445455040548
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.008087359335019877	0.006656746055785861	0.007891725800107162	0.0026436386527250487
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.335121486965286	0.333416475507615	0.33466339309464255	0.3371114525476512
HALLMARK_UV_RESPONSE_DN	0.02716242825265969	0.030998827165876392	0.029478376043077226	0.030697280697321055
HALLMARK_UV_RESPONSE_UP	0.1865887059692698	0.18811144576637356	0.18680252986994306	0.18254569754014965
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.13582227250837903	0.13915435222887296	0.13973657362684347	0.12789431383141397
HALLMARK_XENOBIOTIC_METABOLISM	0.10703770427936195	0.1090745051388352	0.1115409390617355	0.10575511205904597
# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.22323546232339192	0.2225084603772175	0.22440251869706573	0.22209395171896057
HALLMARK_ALLOGRAFT_REJECTION	0.018786004283461596	0.01519449528424148	0.01854437513475083	0.014334278205122258
HALLMARK_ANDROGEN_RESPONSE	0.17180939901086428	0.17281659519215492	0.17313641345673608	0.1717182775835675
HALLMARK_ANGIOGENESIS	0.06879713456276676	0.06229502837787034	0.06608801340564195	0.051868347844747406
HALLMARK_APICAL_JUNCTION	0.0739863178281241	0.07573685570490601	0.07599990662863342	0.07107116376668013
HALLMARK_APICAL_SURFACE	0.024818514428939658	0.030742112849092746	0.02872451276961778	0.027752934167348992
HALLMARK_APOPTOSIS	0.16968876551993176	0.17100329719595425	0.17064958373289948	0.1671293380710112
HALLMARK_BILE_ACID_METABOLISM	0.030757261354152066	0.030069465318328048	0.03094826243437735	0.02361452302957285
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.19231797529580955	0.19349627130611907	0.1968620093858904	0.18606923761458408
HALLMARK_COAGULATION	-0.027828891578785674	-0.029716500076069186	-0.028181935488315324	-0.039374716178956624
HALLMARK_COMPLEMENT	0.023768979412340144	0.02544637525511528	0.02557344599855367	0.01696833625359736
HALLMARK_DNA_REPAIR	0.2893255335217445	0.28809379523725365	0.2905717864465256	0.2909841452039804
HALLMARK_E2F_TARGETS	0.35724831836266735	0.3582244679988615	0.3557331411551505	0.35793720375156896
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.012662201810725329	0.011865786067554677	0.01248352205317041	0.008094415063381676
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.01882652533088296	0.011919276702555113	0.017124382931983994	0.010069188523897217
HALLMARK_ESTROGEN_RESPONSE_LATE	0.08137042195426482	0.07606176042606431	0.07993171333548646	0.07409329524869672
HALLMARK_FATTY_ACID_METABOLISM	0.21973763803421537	0.22086565901471028	0.22188614325762335	0.22012373377887515
HALLMARK_G2M_CHECKPOINT	0.31456609482407527	0.3164163932301186	0.3143197207687739	0.3151873730492664
HALLMARK_GLYCOLYSIS	0.16565802955322126	0.1659423354716426	0.16675206162935668	0.16318961512800342
HALLMARK_HEDGEHOG_SIGNALING	0.027126520896631586	0.027799426692279208	0.025265242579701204	0.029690918087679475
HALLMARK_HEME_METABOLISM	0.13945419901503142	0.13903624515614701	0.14020379754444856	0.13595154961385203
HALLMARK_HYPOXIA	0.08669184523703224	0.0866419219421281	0.08893886230348833	0.08155455451167196
HALLMARK_IL2_STAT5_SIGNALING	0.051034357521126256	0.0540612969857181	0.054813834612915426	0.051284431534592806
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.005728640283652074	0.0008396822546850185	-0.0013063353813690135	0.00490213684821275
HALLMARK_INFLAMMATORY_RESPONSE	-0.055622874021537726	-0.053325870104113264	-0.05277609153393431	-0.06034044150026541
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.021481398638001064	0.0253205869143984	0.02461956457158262	0.027733184885102062
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.007295307282705857	-0.009401307838380765	-0.008925813190491117	-0.01211104214134285
HALLMARK_KRAS_SIGNALING_DN	-0.1329554224508672	-0.13635214446442032	-0.13688432746612786	-0.1415277734809209
HALLMARK_KRAS_SIGNALING_UP	-0.07592941421939363	-0.07733765028661406	-0.07860040266991611	-0.07897604335806079
HALLMARK_MITOTIC_SPINDLE	0.20104096246563502	0.20349478494197473	0.2004366493686836	0.19864311434953608
HALLMARK_MTORC1_SIGNALING	0.3115015128743259	0.3126074413604096	0.31337111530793743	0.31284588981859246
HALLMARK_MYC_TARGETS_V1	0.44510125891059416	0.4449854429890613	0.44432301607530933	0.44642511415261693
HALLMARK_MYC_TARGETS_V2	0.3191999014243144	0.31184906339846086	0.31358493881135524	0.3159403746831224
HALLMARK_MYOGENESIS	0.03480931868277399	0.030313231707666994	0.03052162687948524	0.025501033030273266
HALLMARK_NOTCH_SIGNALING	0.05545145800309675	0.06409395082804546	0.06114694896947009	0.054349953159822585
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.3703942590624928	0.3712167062240417	0.3704264689613902	0.36999527368054463
HALLMARK_P53_PATHWAY	0.13785820153666492	0.13884536136728615	0.14079870191254795	0.1365627539309669
HALLMARK_PANCREAS_BETA_CELLS	0.012162937625193531	0.003415618299685073	0.012000178108991207	-0.00490396191679367
HALLMARK_PEROXISOME	0.147324331781585	0.14716780084752487	0.14790406985473084	0.14559304459797318
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.1922830372981124	0.19655372622541983	0.1961080247842525	0.19534408557399052
HALLMARK_PROTEIN_SECRETION	0.24328839051999698	0.2481271934790842	0.24559883540025862	0.24585629946446494
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.21281801902051165	0.21515408685720358	0.21677973899041555	0.21582452294323612
HALLMARK_SPERMATOGENESIS	0.06041630891097811	0.06918848215057544	0.06408115717193892	0.05981011643223011
HALLMARK_TGF_BETA_SIGNALING	0.12339162901743418	0.12869585983895696	0.12198553958379177	0.12154445455040548
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.008087359335019877	0.006656746055785861	0.007891725800107162	0.0026436386527250487
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.335121486965286	0.333416475507615	0.33466339309464255	0.3371114525476512
HALLMARK_UV_RESPONSE_DN	0.02716242825265969	0.030998827165876392	0.029478376043077226	0.030697280697321055
HALLMARK_UV_RESPONSE_UP	0.1865887059692698	0.18811144576637356	0.18680252986994306	0.18254569754014965
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.13582227250837903	0.13915435222887296	0.13973657362684347	0.12789431383141397
HALLMARK_XENOBIOTIC_METABOLISM	0.10703770427936195	0.1090745051388352	0.1115409390617355	0.10575511205904597
# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.22323546232339192	0.2225084603772175	0.22440251869706573	0.22209395171896057
HALLMARK_ALLOGRAFT_REJECTION	0.018786004283461596	0.01519449528424148	0.01854437513475083	0.014334278205122258
HALLMARK_ANDROGEN_RESPONSE	0.17180939901086428	0.17281659519215492	0.17313641345673608	0.1717182775835675
HALLMARK_ANGIOGENESIS	0.06879713456276676	0.06229502837787034	0.06608801340564195	0.051868347844747406
HALLMARK_APICAL_JUNCTION	0.0739863178281241	0.07573685570490601	0.07599990662863342	0.07107116376668013
HALLMARK_APICAL_SURFACE	0.024818514428939658	0.030742112849092746	0.02872451276961778	0.027752934167348992
HALLMARK_APOPTOSIS	0.16968876551993176	0.17100329719595425	0.17064958373289948	0.1671293380710112
HALLMARK_BILE_ACID_METABOLISM	0.030757261354152066	0.030069465318328048	0.03094826243437735	0.02361452302957285
