# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.21836114519630545	0.2171063192980824	0.21899769349925352	0.21727761594637693
HALLMARK_ALLOGRAFT_REJECTION	0.013943610829494066	0.014888657373252253	0.01644125916953837	0.010932389139751147
HALLMARK_ANDROGEN_RESPONSE	0.16676550731571274	0.16962167175196743	0.1677443596561118	0.16822763997468093
HALLMARK_ANGIOGENESIS	0.06296724466592399	0.0630031522483261	0.0644420487012292	0.05683802391356854
HALLMARK_APICAL_JUNCTION	0.07034393393777476	0.07160964756703066	0.0731374319829567	0.06795320533016685
HALLMARK_APICAL_SURFACE	0.018099875278380632	0.026662455456022055	0.02433248956868903	0.019968816394564624
HALLMARK_APOPTOSIS	0.16630547739032167	0.16816989113995692	0.16773465430353743	0.1631132394284367
HALLMARK_BILE_ACID_METABOLISM	0.02472457938160818	0.02443161942852738	0.025545353511258636	0.020149507285011893
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.1881982097785421	0.1899131340126561	0.1934965932568499	0.18292916680815682
HALLMARK_COAGULATION	-0.030150008714282448	-0.033256772363072326	-0.03049315604280532	-0.038890504473866966
HALLMARK_COMPLEMENT	0.02339354671349201	0.024714785172126566	0.025277938425287975	0.018153750471268163
HALLMARK_DNA_REPAIR	0.28668161370072176	0.28581965124130904	0.28865935285012945	0.2888639256158309
HALLMARK_E2F_TARGETS	0.35549285148351517	0.35649972610024333	0.35393549701170446	0.35618288105791024
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.008093889516269399	0.010121428201105264	0.011789490927685204	0.00856417244847074
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.01706691796457925	0.010955928627581215	0.01652456317973526	0.011727013410833912
HALLMARK_ESTROGEN_RESPONSE_LATE	0.07770586653568257	0.07269307028642809	0.07863812379163734	0.07450374449234323
HALLMARK_FATTY_ACID_METABOLISM	0.21517924637775207	0.21662932058365295	0.2169937613196735	0.21481806627870964
HALLMARK_G2M_CHECKPOINT	0.31201458081653166	0.3135969281521715	0.31145083184932826	0.31279594849666226
HALLMARK_GLYCOLYSIS	0.16196242980838016	0.16124423954045877	0.16262401218847936	0.16076445501840217
HALLMARK_HEDGEHOG_SIGNALING	0.023696559429729327	0.023764212831288514	0.02291198372308724	0.025429602390222534
HALLMARK_HEME_METABOLISM	0.1345195983469917	0.1358463066938321	0.13660850485263318	0.13237653722038034
HALLMARK_HYPOXIA	0.08307478859623758	0.08292522312354832	0.08577513802299683	0.07705424205542666
HALLMARK_IL2_STAT5_SIGNALING	0.04895389049107503	0.05129231418507204	0.05078233475635156	0.04860551455535843
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0048832371314661595	0.004971803222546431	0.002597655292083238	0.004584305957267465
HALLMARK_INFLAMMATORY_RESPONSE	-0.04813208330518197	-0.05025366627877815	-0.047205809883512466	-0.05419075654042915
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.017692646181557622	0.022770249639329825	0.022818725669227262	0.020488981393372383
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.008566049794178887	-0.009636569581471379	-0.007528693278412982	-0.013832435967737115
HALLMARK_KRAS_SIGNALING_DN	-0.13197298042710603	-0.13187572566280834	-0.13049050187188937	-0.1361581938358429
HALLMARK_KRAS_SIGNALING_UP	-0.07932250969754603	-0.07216260947585182	-0.0746611381954198	-0.07841741076198215
HALLMARK_MITOTIC_SPINDLE	0.19799855560850288	0.20108871384886573	0.19744214557980266	0.1958824941876812
HALLMARK_MTORC1_SIGNALING	0.30834996836680256	0.31023305043705024	0.31088416473360847	0.31012054920199533
HALLMARK_MYC_TARGETS_V1	0.44424944578768727	0.4441432850132567	0.4434530366314035	0.44560570779153075
HALLMARK_MYC_TARGETS_V2	0.31647342089135655	0.309059730046953	0.3117766418308049	0.3130730801469241
HALLMARK_MYOGENESIS	0.02877537254999874	0.025625355834652003	0.029155336138251435	0.024529575222063144
HALLMARK_NOTCH_SIGNALING	0.048460296370998114	0.051606427334774954	0.04532027508016696	0.047523633044773264
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.36878452100322706	0.3700887764391218	0.36916908980964275	0.36889358921123794
HALLMARK_P53_PATHWAY	0.13209454309999585	0.1337633825771322	0.13466521150059932	0.1329443200894929
HALLMARK_PANCREAS_BETA_CELLS	0.006596043994705366	0.008184423758732436	0.014879908768651025	0.006350040685728747
HALLMARK_PEROXISOME	0.13988604982118433	0.14059881719145026	0.1420664773300539	0.14054925182024888
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.18845389685184552	0.1926149329241708	0.19276313315343108	0.19107222571584165
HALLMARK_PROTEIN_SECRETION	0.2391201173379031	0.24424892101148124	0.24156561189637699	0.24223995547909957
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.20648780182810422	0.21085621196951868	0.21470321019288047	0.21022869264864905
HALLMARK_SPERMATOGENESIS	0.05693115770211068	0.0626312617705712	0.0614508178034862	0.06268327528422087
HALLMARK_TGF_BETA_SIGNALING	0.11753074413710103	0.12572530333937323	0.11743947426498695	0.11900470480051166
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.009111708944823892	0.009721292330798596	0.010958113483889673	0.0028514710249137143
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.33207018347683614	0.3305653593780623	0.3314337733838769	0.33379879809441293
HALLMARK_UV_RESPONSE_DN	0.028934301363284693	0.03202725311883997	0.03146867821465931	0.03140106672286413
HALLMARK_UV_RESPONSE_UP	0.1799610990328725	0.18089449098491805	0.18345900519413982	0.17839442884869627
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.1313070911373217	0.13336181199995784	0.13399905973352977	0.12647107817730613
HALLMARK_XENOBIOTIC_METABOLISM	0.10751142960513975	0.10696711742445582	0.10892397908117749	0.10183625315529188
# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.21836114519630545	0.2171063192980824	0.21899769349925352	0.21727761594637693
HALLMARK_ALLOGRAFT_REJECTION	0.013943610829494066	0.014888657373252253	0.01644125916953837	0.010932389139751147
HALLMARK_ANDROGEN_RESPONSE	0.16676550731571274	0.16962167175196743	0.1677443596561118	0.16822763997468093
HALLMARK_ANGIOGENESIS	0.06296724466592399	0.0630031522483261	0.0644420487012292	0.05683802391356854
HALLMARK_APICAL_JUNCTION	0.07034393393777476	0.07160964756703066	0.0731374319829567	0.06795320533016685
HALLMARK_APICAL_SURFACE	0.018099875278380632	0.026662455456022055	0.02433248956868903	0.019968816394564624
HALLMARK_APOPTOSIS	0.16630547739032167	0.16816989113995692	0.16773465430353743	0.1631132394284367
HALLMARK_BILE_ACID_METABOLISM	0.02472457938160818	0.02443161942852738	0.025545353511258636	0.020149507285011893
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.1881982097785421	0.1899131340126561	0.1934965932568499	0.18292916680815682
HALLMARK_COAGULATION	-0.030150008714282448	-0.033256772363072326	-0.03049315604280532	-0.038890504473866966
HALLMARK_COMPLEMENT	0.02339354671349201	0.024714785172126566	0.025277938425287975	0.018153750471268163
HALLMARK_DNA_REPAIR	0.28668161370072176	0.28581965124130904	0.28865935285012945	0.2888639256158309
HALLMARK_E2F_TARGETS	0.35549285148351517	0.35649972610024333	0.35393549701170446	0.35618288105791024
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.008093889516269399	0.010121428201105264	0.011789490927685204	0.00856417244847074
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.01706691796457925	0.010955928627581215	0.01652456317973526	0.011727013410833912
HALLMARK_ESTROGEN_RESPONSE_LATE	0.07770586653568257	0.07269307028642809	0.07863812379163734	0.07450374449234323
