# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.07660266330692754	0.09498867877763435	0.12770832550951114	0.08901586530798081
HALLMARK_ALLOGRAFT_REJECTION	0.13137058632501394	0.1371578707719208	0.13140544838333276	0.08243029447716914
HALLMARK_ANDROGEN_RESPONSE	0.12119702425045319	0.17361142542698355	0.1400076865035904	0.17695617450463794
HALLMARK_ANGIOGENESIS	0.2287991934401994	0.15886934331815697	0.24675691139503278	0.15897359720153034
HALLMARK_APICAL_JUNCTION	0.08549852853966566	0.08728637305484431	0.13366489191034395	0.05934811302888593
HALLMARK_APICAL_SURFACE	0.09165392849384121	0.23916500727103301	0.20966556152526286	0.13558196104269232
HALLMARK_APOPTOSIS	0.08582755244321809	0.1278389251827762	0.14241522333091602	0.09853120639614776
HALLMARK_BILE_ACID_METABOLISM	0.056638640370603885	0.05348389449260849	0.05412875289791645	0.01826543977372005
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.13302279392839264	0.1649593634739728	0.23426117310033207	0.09596132213896914
HALLMARK_COAGULATION	0.14314810217708332	0.11132995108970013	0.14481846914303229	0.09535269810032238
HALLMARK_COMPLEMENT	0.13263776472679006	0.15163496375126456	0.15875176590226622	0.08061533654612173
HALLMARK_DNA_REPAIR	-0.025970889407104493	-0.02516783962312366	0.022266455890095592	0.021853837895357168
HALLMARK_E2F_TARGETS	0.07072309999876504	0.09056638099433718	0.07256869931953415	0.11041041646494945
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.18600338055538604	0.17496305195696657	0.20103506017474618	0.1835043318851183
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.17888585508911903	0.1342740934721381	0.1826987223747557	0.11850141866511524
HALLMARK_ESTROGEN_RESPONSE_LATE	0.18728356958558245	0.1484001986007268	0.20611096846003688	0.1510785018550748
HALLMARK_FATTY_ACID_METABOLISM	0.07129365618001583	0.08043577749490062	0.10395796897361018	0.07011895086149564
HALLMARK_G2M_CHECKPOINT	0.06374515621971664	0.11209838302042206	0.0801888030739627	0.08761582973660338
HALLMARK_GLYCOLYSIS	0.1275155345566383	0.14167098718118007	0.16403857264106878	0.12198027104827983
HALLMARK_HEDGEHOG_SIGNALING	0.14409659240233216	0.13248631159576557	0.12126128508531468	0.17439972748045388
HALLMARK_HEME_METABOLISM	0.04467099215008255	0.07815115946216475	0.08693955833695281	0.05730237067872635
HALLMARK_HYPOXIA	0.13928793672698286	0.13440876586095415	0.1632194907102763	0.10034818097167005
HALLMARK_IL2_STAT5_SIGNALING	0.16547210049707115	0.18501668778688793	0.18151536367197466	0.16580308758616422
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.14540175453283752	0.11246228038614121	0.11221438767364218	0.12698448688583183
HALLMARK_INFLAMMATORY_RESPONSE	0.16835450502886928	0.17116182806250507	0.18015074629865407	0.14908462247940918
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.05187776042525742	0.11920596733831768	0.11704639422315982	0.07178263792854787
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.12162819144762974	0.1272535656760929	0.14244339311678508	0.04464396769412103
HALLMARK_KRAS_SIGNALING_DN	0.08550010564809436	0.09502072317010678	0.0829469157461913	0.06167030520264682
HALLMARK_KRAS_SIGNALING_UP	0.11131637748032762	0.15934884970959484	0.1302283211020809	0.1263403894297935
HALLMARK_MITOTIC_SPINDLE	0.08253797909426372	0.10763289804650233	0.069485539229013	0.049623144072800024
HALLMARK_MTORC1_SIGNALING	0.08127096785001482	0.11032121277164554	0.12145977198661147	0.14333983437120343
HALLMARK_MYC_TARGETS_V1	0.0750010186001383	0.07740766770547258	0.09253882467731682	0.1495368409322928
HALLMARK_MYC_TARGETS_V2	0.14022503614535495	0.016482873319138346	0.06979464838448501	0.04428573980835492
HALLMARK_MYOGENESIS	0.09723175168436352	0.06704190029655668	0.11907597821675396	0.05390536661133447
HALLMARK_NOTCH_SIGNALING	0.10266439752244119	0.19917004752146789	0.1539152986230871	0.10548274876155707
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.07010471651282561	0.11698221525482919	0.1554625403189244	0.11388940787765692
HALLMARK_P53_PATHWAY	0.06473196123307208	0.07744490692682933	0.10116031884401465	0.07744948618632029
HALLMARK_PANCREAS_BETA_CELLS	0.08384979787852626	0.12791811589699079	0.19673606590398335	0.18744496397992663
HALLMARK_PEROXISOME	0.07465128372899804	0.090143959998904	0.10104875407091578	0.08394235147468974
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.01775707171848714	0.06511174002230058	0.06004908397019238	0.056962698312554835
HALLMARK_PROTEIN_SECRETION	-0.06639221301199809	0.013281071253447421	-0.019009501612611234	0.01129518912239316
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.13490411341317252	0.16247933234321488	0.20820023435986754	0.16217270921757526
HALLMARK_SPERMATOGENESIS	0.00440641553734924	0.05333675466715691	0.04427139835319986	0.029013779094216322
HALLMARK_TGF_BETA_SIGNALING	0.11955990821098707	0.20674340773474875	0.11727804934849125	0.1822214894374859
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.2118522141626029	0.20541616210221783	0.2207804671015632	0.19885967843618915
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.014403415081568702	-0.008975647281017145	0.021482688848873815	0.09042974138066756
HALLMARK_UV_RESPONSE_DN	0.14332101770125677	0.15875851144767147	0.12911113986042108	0.16370955642262733
HALLMARK_UV_RESPONSE_UP	0.1645944734373516	0.16336547884411223	0.20161269430412704	0.1453602967480402
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.149502631931463	0.15271693062293545	0.15704989925143145	0.10440944078582123
HALLMARK_XENOBIOTIC_METABOLISM	0.12018268193234909	0.10272140447562807	0.1237108871509102	0.08314313579562943
# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.07660266330692754	0.09498867877763435	0.12770832550951114	0.08901586530798081
HALLMARK_ALLOGRAFT_REJECTION	0.13137058632501394	0.1371578707719208	0.13140544838333276	0.08243029447716914
HALLMARK_ANDROGEN_RESPONSE	0.12119702425045319	0.17361142542698355	0.1400076865035904	0.17695617450463794
HALLMARK_ANGIOGENESIS	0.2287991934401994	0.15886934331815697	0.24675691139503278	0.15897359720153034
HALLMARK_APICAL_JUNCTION	0.08549852853966566	0.08728637305484431	0.13366489191034395	0.05934811302888593
HALLMARK_APICAL_SURFACE	0.09165392849384121	0.23916500727103301	0.20966556152526286	0.13558196104269232
HALLMARK_APOPTOSIS	0.08582755244321809	0.1278389251827762	0.14241522333091602	0.09853120639614776
HALLMARK_BILE_ACID_METABOLISM	0.056638640370603885	0.05348389449260849	0.05412875289791645	0.01826543977372005
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.13302279392839264	0.1649593634739728	0.23426117310033207	0.09596132213896914
HALLMARK_COAGULATION	0.14314810217708332	0.11132995108970013	0.14481846914303229	0.09535269810032238
HALLMARK_COMPLEMENT	0.13263776472679006	0.15163496375126456	0.15875176590226622	0.08061533654612173
HALLMARK_DNA_REPAIR	-0.025970889407104493	-0.02516783962312366	0.022266455890095592	0.021853837895357168
HALLMARK_E2F_TARGETS	0.07072309999876504	0.09056638099433718	0.07256869931953415	0.11041041646494945
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.18600338055538604	0.17496305195696657	0.20103506017474618	0.1835043318851183
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.17888585508911903	0.1342740934721381	0.1826987223747557	0.11850141866511524
HALLMARK_ESTROGEN_RESPONSE_LATE	0.18728356958558245	0.1484001986007268	0.20611096846003688	0.1510785018550748
HALLMARK_FATTY_ACID_METABOLISM	0.07129365618001583	0.08043577749490062	0.10395796897361018	0.07011895086149564
HALLMARK_G2M_CHECKPOINT	0.06374515621971664	0.11209838302042206	0.0801888030739627	0.08761582973660338
HALLMARK_GLYCOLYSIS	0.1275155345566383	0.14167098718118007	0.16403857264106878	0.12198027104827983
HALLMARK_HEDGEHOG_SIGNALING	0.14409659240233216	0.13248631159576557	0.12126128508531468	0.17439972748045388
HALLMARK_HEME_METABOLISM	0.04467099215008255	0.07815115946216475	0.08693955833695281	0.05730237067872635
HALLMARK_HYPOXIA	0.13928793672698286	0.13440876586095415	0.1632194907102763	0.10034818097167005
HALLMARK_IL2_STAT5_SIGNALING	0.16547210049707115	0.18501668778688793	0.18151536367197466	0.16580308758616422
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.14540175453283752	0.11246228038614121	0.11221438767364218	0.12698448688583183
HALLMARK_INFLAMMATORY_RESPONSE	0.16835450502886928	0.17116182806250507	0.18015074629865407	0.14908462247940918
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.05187776042525742	0.11920596733831768	0.11704639422315982	0.07178263792854787
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.12162819144762974	0.1272535656760929	0.14244339311678508	0.04464396769412103
HALLMARK_KRAS_SIGNALING_DN	0.08550010564809436	0.09502072317010678	0.0829469157461913	0.06167030520264682
HALLMARK_KRAS_SIGNALING_UP	0.11131637748032762	0.15934884970959484	0.1302283211020809	0.1263403894297935
HALLMARK_MITOTIC_SPINDLE	0.08253797909426372	0.10763289804650233	0.069485539229013	0.049623144072800024
