# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.33482393118428516	0.33732725854378487	0.33915891407840015	0.3357677952472805
HALLMARK_ALLOGRAFT_REJECTION	0.06593988863164629	0.07445432620567047	0.07575175775738556	0.07345999011202872
HALLMARK_ANDROGEN_RESPONSE	0.3181679848417818	0.32270642502497787	0.32157390543944253	0.3214709470775102
HALLMARK_ANGIOGENESIS	0.1684004723736999	0.17676824488098927	0.1772416736839033	0.17414139280571445
HALLMARK_APICAL_JUNCTION	0.22343604266907346	0.21822846360258902	0.22311793056439796	0.21681080676123013
HALLMARK_APICAL_SURFACE	0.13850563568780666	0.14541391606882842	0.14439224413148788	0.14117506975398753
HALLMARK_APOPTOSIS	0.2607197343303394	0.2661100005845556	0.2676061279911465	0.2583030745196925
HALLMARK_BILE_ACID_METABOLISM	0.18862134639065659	0.18940482876715128	0.19150981860361746	0.18552528002653929
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.34456053558648475	0.34513474014645623	0.34759538476220175	0.3425184276984891
HALLMARK_COAGULATION	0.09773771595479887	0.09473990863623213	0.09269361217000963	0.09180455667757764
HALLMARK_COMPLEMENT	0.15487184564366585	0.15808112602100077	0.15339970592751095	0.15171328064637596
HALLMARK_DNA_REPAIR	0.38886045316117185	0.3889518663353453	0.3920810673124947	0.3901192131628358
HALLMARK_E2F_TARGETS	0.4321845857187421	0.4325914720084456	0.43151791051082544	0.43245511180248575
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.1770901230375977	0.1829878194189809	0.1840642710780698	0.18296903316431318
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.23854111038717463	0.23100287805186373	0.23691154944718848	0.22869965998563815
HALLMARK_ESTROGEN_RESPONSE_LATE	0.23294026578913604	0.2326624875838048	0.23659084672442585	0.23105507662861208
HALLMARK_FATTY_ACID_METABOLISM	0.3108567575151807	0.3097949591974485	0.30928518876585637	0.3091042061591404
HALLMARK_G2M_CHECKPOINT	0.41325207166701095	0.4141584963192842	0.4133782070829361	0.4136578015760382
HALLMARK_GLYCOLYSIS	0.3107070764660111	0.3093625491374012	0.3108199144896212	0.30944727539816513
HALLMARK_HEDGEHOG_SIGNALING	0.24743026950404284	0.24777082632829997	0.24678828052956986	0.24805877527159897
HALLMARK_HEME_METABOLISM	0.2732546640108152	0.2751067576979696	0.27627106413769126	0.2732734179734316
HALLMARK_HYPOXIA	0.2557894343720719	0.25704329886819177	0.25817320216966877	0.25025309518475053
HALLMARK_IL2_STAT5_SIGNALING	0.20447186111170002	0.21062324255472334	0.21300247539094966	0.2078398753494867
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.12340391278999485	0.12740364144785604	0.12302559051483078	0.12064873526972222
HALLMARK_INFLAMMATORY_RESPONSE	0.06615274639762919	0.06804357643248592	0.07156025534706525	0.06560518527054873
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.17315632879566595	0.17949072292010568	0.17651935697978718	0.17584348478733952
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.14113089564536613	0.1449959792652714	0.14598328566614743	0.14316082749880527
HALLMARK_KRAS_SIGNALING_DN	0.035328384687384536	0.03801042591853977	0.039142657330315696	0.03645621048446314
HALLMARK_KRAS_SIGNALING_UP	0.09600118537061812	0.10522364445870083	0.1000225790080248	0.09944549693049758
HALLMARK_MITOTIC_SPINDLE	0.35897467756970514	0.3603086110825074	0.3591039108044948	0.3583129829140885
HALLMARK_MTORC1_SIGNALING	0.4071470039921317	0.4096337392639159	0.40982026121696336	0.40972054467383495
HALLMARK_MYC_TARGETS_V1	0.4753415709336824	0.47527640839773044	0.47499905214871074	0.47591687383914394
HALLMARK_MYC_TARGETS_V2	0.41813470019099513	0.4147472414819744	0.41617945158705116	0.41667408415683677
HALLMARK_MYOGENESIS	0.17500751499195077	0.1751873356396515	0.18226006504058767	0.1760308618139558
HALLMARK_NOTCH_SIGNALING	0.24877720532962547	0.25187162261089024	0.2507992164399103	0.2496762344356583
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.43866295109359577	0.43928225667736853	0.4389597528538425	0.43886986233573105
HALLMARK_P53_PATHWAY	0.2987654075605144	0.3015428685162864	0.3013264137386803	0.3010156631356453
HALLMARK_PANCREAS_BETA_CELLS	0.09304295244847997	0.10901592765642579	0.11034903285102078	0.10073273223734117
HALLMARK_PEROXISOME	0.29855234913662315	0.30114295892835463	0.3002761552142646	0.3008504327811957
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.3285288972093708	0.33138036981225827	0.3306419028803183	0.327582710636124
HALLMARK_PROTEIN_SECRETION	0.3772860721603829	0.3796935867958266	0.3785989204388987	0.3790040113174584
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.35161710235001553	0.3529382601869773	0.3537846991364016	0.35895842852311655
HALLMARK_SPERMATOGENESIS	0.16166716836288314	0.15831687104956949	0.16075068369314877	0.160897618300008
HALLMARK_TGF_BETA_SIGNALING	0.3076949029340669	0.3161689690337852	0.3073261691215512	0.3098872453205344
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.20556258292937876	0.20579235926374406	0.2035356653346004	0.19997373338107255
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.415979339363529	0.4165196575026359	0.4169504524196187	0.41802249652603307
HALLMARK_UV_RESPONSE_DN	0.2581423272344419	0.25672302895292876	0.25619536818806354	0.26030794856473627
HALLMARK_UV_RESPONSE_UP	0.33133681963010264	0.32894772151100465	0.3329893554773947	0.33198393297254475
