# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.3259665906382304	0.32792664513183734	0.3294458217398304	0.3258536015432865
HALLMARK_ALLOGRAFT_REJECTION	0.10165656212049455	0.09947566218846778	0.10762240345662098	0.09991448320718468
HALLMARK_ANDROGEN_RESPONSE	0.3177240042881167	0.3156937679636782	0.3176207660763625	0.31514484554320316
HALLMARK_ANGIOGENESIS	0.17286828925193984	0.1841158707885412	0.18136383994613745	0.1772102379217116
HALLMARK_APICAL_JUNCTION	0.2198349648114463	0.22077672949554084	0.22306895642866126	0.2187598618462389
HALLMARK_APICAL_SURFACE	0.16852620941760302	0.16754487412468502	0.1678887556622906	0.16115004523340593
HALLMARK_APOPTOSIS	0.2651144806196888	0.26318741200784923	0.2663444229884792	0.2563757572927233
HALLMARK_BILE_ACID_METABOLISM	0.1797579620798473	0.17937313949345704	0.17160297434367164	0.17364847521271104
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3377710935771856	0.3398547859637391	0.3413093618828661	0.3353976247113201
HALLMARK_COAGULATION	0.11358543134118798	0.11460145287849305	0.12182942059820763	0.11271294645393996
HALLMARK_COMPLEMENT	0.16972184391449607	0.17142223719336885	0.16629056852564122	0.16824552117122757
HALLMARK_DNA_REPAIR	0.3888045778164062	0.3879297993272002	0.3892763336002422	0.38958749523493996
HALLMARK_E2F_TARGETS	0.43012865181223303	0.43050141179845347	0.42965628410810347	0.42906118981194163
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.18436878211343194	0.18797037575057784	0.1911242266531703	0.19045964008083166
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.23718104438109833	0.23625792802679488	0.23832595345626148	0.23658490935840634
HALLMARK_ESTROGEN_RESPONSE_LATE	0.22971926740013765	0.22957317538231306	0.23163550629431207	0.22893780279034337
HALLMARK_FATTY_ACID_METABOLISM	0.30038006209086715	0.300161616005381	0.30235571727137966	0.30153700137364464
HALLMARK_G2M_CHECKPOINT	0.4093158579185095	0.4104744615490626	0.4084401010723392	0.4098201553918443
HALLMARK_GLYCOLYSIS	0.3119422471895846	0.3101881649039259	0.30946490185219533	0.308631788531544
HALLMARK_HEDGEHOG_SIGNALING	0.234759081371449	0.2412055564397237	0.23515245557138217	0.235053702685708
HALLMARK_HEME_METABOLISM	0.2653734934708565	0.2697737042016175	0.2718547275661696	0.2683615229135059
HALLMARK_HYPOXIA	0.2585733556167282	0.25383850411839654	0.2550444785310656	0.2505769444388833
HALLMARK_IL2_STAT5_SIGNALING	0.20875259200190083	0.20882484220934397	0.2091773815950767	0.20922549119478537
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.1436592782654495	0.13887098343306548	0.14269028352057125	0.1376846030076344
HALLMARK_INFLAMMATORY_RESPONSE	0.1106260288602363	0.1059681469691214	0.1067967882376999	0.10285807402451393
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.18373801358112452	0.1884236904110362	0.1786203763086634	0.18946984176392948
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.15838120998662675	0.15975599618962752	0.15174931884935292	0.15706979235947827
HALLMARK_KRAS_SIGNALING_DN	0.06939314376798073	0.06685730242507743	0.05973695151334665	0.06679473173648239
