# scale the enrichment scores by number of genes in the gene sets
# this normalization has not effects on the final NES, as indicated by Barbie et al., 2009, online methods, pg. 2
Term|ES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.33732068733579573	0.33786598421882263	0.3394532170965773	0.3370874079490136
HALLMARK_ALLOGRAFT_REJECTION	0.1281028200918212	0.12671730759911784	0.1320841722871977	0.12627355177470956
HALLMARK_ANDROGEN_RESPONSE	0.325429644920387	0.32503693871212447	0.32613005730624706	0.3241324644503933
HALLMARK_ANGIOGENESIS	0.19058596205225722	0.19646132759836168	0.1963096873072135	0.1920456342724156
HALLMARK_APICAL_JUNCTION	0.23434814334449622	0.23441660506166045	0.2369984690578922	0.23297375979644563
HALLMARK_APICAL_SURFACE	0.1840647128372579	0.18462301102521794	0.18347308791277853	0.1784093702791054
HALLMARK_APOPTOSIS	0.2811353062155551	0.2804512796779912	0.28259545976900513	0.2751874844167909
HALLMARK_BILE_ACID_METABOLISM	0.19548936715161108	0.19526859883696815	0.19036357329132905	0.1912464883041437
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3422167663646339	0.34391055534284093	0.34535208515572907	0.33986303959083897
HALLMARK_COAGULATION	0.13547993266452976	0.13587355117696961	0.1397749137383727	0.13334749439615898
HALLMARK_COMPLEMENT	0.1880733283713685	0.1892133816543571	0.18512420579459707	0.18585961923555225
HALLMARK_DNA_REPAIR	0.39189640436939444	0.39116399525371215	0.39249454563387615	0.39272725196164815
HALLMARK_E2F_TARGETS	0.4314403218197464	0.43182553869976836	0.43092008483446465	0.43112736013683706
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.19968372726419892	0.2017439098969614	0.20438391537055814	0.20313053814813095
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.24718912776643265	0.24529785703882434	0.2479537014297079	0.24554448437427834
HALLMARK_ESTROGEN_RESPONSE_LATE	0.24520249094565763	0.245052184560862	0.24648464845359594	0.2440907763943253
HALLMARK_FATTY_ACID_METABOLISM	0.3138409661512833	0.31421392868299913	0.31523629700099476	0.31448157951391015
HALLMARK_G2M_CHECKPOINT	0.4113081489882228	0.41238985721247307	0.4110493688035894	0.411758190620257
HALLMARK_GLYCOLYSIS	0.31923374108112806	0.3182907318513493	0.3182222376836572	0.3172116379071306
HALLMARK_HEDGEHOG_SIGNALING	0.2436435109234829	0.24696676457084316	0.2420749499403582	0.2436453288233878
HALLMARK_HEME_METABOLISM	0.2810044851196018	0.28442610308961036	0.28538999949251487	0.2824619596108221
HALLMARK_HYPOXIA	0.26972248393169485	0.26650308616801505	0.2678900645951035	0.2635183059794554
HALLMARK_IL2_STAT5_SIGNALING	0.22334998567312916	0.22388644486640272	0.22384788862742772	0.22351407668427373
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.1600434598927816	0.1574423576072613	0.15860838213722744	0.15647531076181087
HALLMARK_INFLAMMATORY_RESPONSE	0.12761795046104185	0.12393031818510371	0.12358226113236292	0.12164143478316064
