#gene_id	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1	RNF43_WT_2	RNF43_WT_3	RNF43_WT_1	RNF43_WT_4	GFP_1	RNF43_R117fs_4	GFP_3	GFP_2	RNF43_R117fs_1	GFP_4	RNF43_R117fs_3	RNF43_R117fs_2
A1BG	5.543455000000001	5.32293	5.486536	5.3506480000000005	5.455341000000001	5.384656	5.195571	5.414032	5.421042	6.221736	5.3632550000000005	5.649691000000001	5.309172	5.37066	5.804652	5.580875
A4GALT	1.997309	2.074351	2.2378080000000002	1.814345	2.079252	1.679974	1.268887	2.098007	1.65967	2.1215599999999997	1.194519	1.709038	1.236834	1.961739	2.0579099999999997	1.902902
AAAS	5.848382	5.672635	5.809938	5.7752349999999995	6.027607	5.898626999999999	5.9649019999999995	5.9293569999999995	5.988467	6.094858	5.995464	5.879842	5.975777	5.915875	5.860375	5.807966
AACS	4.4751449999999995	4.328359	4.445005	4.348008999999999	4.340454	4.188237	4.413613	4.251207	4.5505580000000005	4.614082	4.358023	4.599835	4.167598	4.651375	4.560413	4.314031
AADAT	3.249882	3.566646	3.4040209999999997	3.3663769999999995	3.306851	3.4130830000000003	3.490764	3.403625	3.281942	3.289167	3.6349	3.343569	3.5752	3.280877	3.475084	3.538932
AAED1	4.104522	4.058301999999999	3.891321	4.204519	3.879979	3.9922519999999997	3.8394559999999998	3.8340389999999998	3.979281	3.325819	4.0412349999999995	3.976122	3.73786	3.930518	3.8808809999999996	3.7395989999999997
AAGAB	5.743008000000001	5.777283000000001	5.755329	5.653278	5.796314	5.819115	5.848478	5.680714	5.793776	5.433782	5.991834	6.034052	5.797511	6.006748	5.738313	5.888466
AAK1	4.351089	4.273153	4.194849	4.322363	4.306172	4.4784180000000005	4.318087	4.454806	4.390733	4.507586	4.563986	4.422244999999999	4.241266	4.479292	4.369577	4.479344
AAMDC	4.634593	4.720651999999999	4.7983519999999995	4.653551	4.59103	4.614422	4.709151	4.589862	4.866077	4.784492	5.126914	4.939769	4.691345	4.792439	4.549442	4.7146040000000005
AAMP	7.397829	7.417453999999999	7.465294	7.480198	7.47802	7.600083000000001	7.594742999999999	7.543545	7.598277	7.67201	7.464724	7.518266000000001	7.573513	7.451293	7.2269369999999995	7.333328
AAR2	4.904649	4.836415000000001	4.887599	4.884155000000001	4.86219	4.9742690000000005	4.920908	4.929976	4.913851	5.063218	4.849063	4.97221	4.943876	5.0474760000000005	4.894283000000001	4.974423000000001
AARD	0.8917440000000001	0.140949	0.514013	0.37138000000000004	0.641989	0.35924	0.5634020000000001	0.27457800000000004	0.0	0.715299	1.190684	0.229138	0.0	0.271414	0.6522399999999999	0.246408
