,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SOX4,4315.14596628269,0.553184407636569,0.0396879775852225,13.938337030369198,3.70471887903402e-44,5.06720049139261e-41
KCTD12,3154.2088502988204,0.685663358465881,0.0510505921107147,13.4310559411116,3.9769983009846204e-41,4.55694108200744e-38
RFWD3,4277.103995384121,-0.6437110911427328,0.0499467502408526,-12.8879474247801,5.262587038343499e-38,4.455907625180279e-35
VASH1,2240.00058284118,0.57536838990401,0.0463274447328724,12.4196012368398,2.0457863238104695e-35,1.65346030107609e-32
VPS11,1405.9951537481,-0.6709506593175429,0.0557547173219683,-12.033971142620699,2.35552221392758e-33,1.7451475202435902e-30
NECTIN4,186.900347765081,-1.90153156735759,0.15913490870185698,-11.9491793652903,6.556948389761359e-33,4.66356397273387e-30
INPP5B,1440.16452214943,-0.7099564718009351,0.0599065396273834,-11.8510679504582,2.1246567750255098e-32,1.3992045228418e-29
PYCR1,8059.07845853355,0.5706769353872281,0.0509408870637692,11.2027286582748,3.9536493212966293e-29,2.06764231123457e-26
STXBP2,1503.9439878392902,-0.656204518393026,0.0595473674415063,-11.019874540005802,3.0648595041479598e-28,1.39734017546807e-25
GFM2,1729.76837459792,-0.6871618934104949,0.0633120543206665,-10.8535712635404,1.9178244996161498e-27,7.577963872816619e-25
CA2,4023.4860231034795,0.735314903267779,0.0691941466276563,10.626836793357901,2.23567070311202e-26,7.80284632464132e-24
NEMP1,4884.5246635106705,-0.5490251336101339,0.0517321425683139,-10.6128435118482,2.59722339176031e-26,8.71343945828115e-24
CTPS1,5402.46911199261,0.5976356193258879,0.0574103369810601,10.409895686957,2.2346638162263397e-25,7.224464966603741e-23
PRDX4,4230.918398272629,0.539264199996939,0.0520569857541779,10.3591130409171,3.8047370934457897e-25,1.20807196890285e-22
UBR2,2216.0733848037303,-0.583783201904878,0.0576505405601074,-10.1262398623343,4.22588531203475e-24,1.22466926612719e-21
AC240274.1,1873.2803959292899,-0.563960272728455,0.0558024379957295,-10.106373359020902,5.17651268137974e-24,1.46100907916846e-21
TSC22D3,12109.826734419199,0.6228111989508779,0.06271258217954001,9.93120004479852,3.04567717643923e-23,7.41851861291314e-21
LIF,286.154316244289,-1.51533091885507,0.156533477076297,-9.68055490210873,3.64730933223889e-22,8.1195570761788e-20
TRAFD1,1808.79204003855,-0.692680348597261,0.0715860272035275,-9.67619486171358,3.80619188062434e-22,8.3552960283187e-20
GPCPD1,565.7616056436029,-1.1578616006941398,0.120468883448633,-9.61129187511598,7.16443714730514e-22,1.49871596372038e-19
RANBP10,1218.1836369422501,-0.6791798460323851,0.070999614979551,-9.56596519893804,1.11159348821804e-21,2.29828416441918e-19
INSIG1,3943.0829145909706,1.15438919119721,0.120763633935431,9.559079613440801,1.1880855556877e-21,2.42820106502102e-19
HES1,1219.4491098691,0.579247310264824,0.0612662857988665,9.45458505786458,3.2430566724443893e-21,6.13455220135465e-19
TRAIP,1040.74889316643,-0.5953732699131921,0.0630936252074357,-9.43634587417916,3.86006428564947e-21,7.22482137506665e-19
TOX4,2479.51878719423,-0.6488694413470849,0.0691667775536224,-9.38122989529245,6.52075976477933e-21,1.19531576677878e-18
TRIM23,1161.58395506741,-0.5907542691990029,0.0631849909035583,-9.34959807307236,8.798142027458491e-21,1.56439763390239e-18
SAT1,1718.1438009909803,0.9195944687170251,0.0989030414695621,9.29793922464998,1.4319404628776297e-20,2.5209240960818997e-18
ZNF326,3047.59100261036,-0.511708033768424,0.0563703834732698,-9.07760427088578,1.10990876318039e-19,1.8273414553806e-17
TBCE,2047.30215771429,-0.631678971527459,0.0696067875487797,-9.07496228129742,1.13716881408223e-19,1.8381816984723697e-17
IGFBP5,1320.24720437407,0.8232382126988441,0.0909013560576382,9.05639088790766,1.34838205990066e-19,2.1406769113476397e-17
TMEM109,3696.5922612230797,0.549590426412845,0.0608059036809466,9.03843859136754,1.58925564369979e-19,2.45726561744573e-17
POC5,594.579241367627,-0.840395181140731,0.0949113462088452,-8.85452809078807,8.403859973535049e-19,1.20392288534319e-16
TYW5,575.702482407024,-0.7075026553038021,0.0799100457662942,-8.85373858216741,8.463548769354841e-19,1.20392288534319e-16
DHCR7,2692.1418799725,0.561803812087844,0.0640314833931436,8.77386845215584,1.72630886740755e-18,2.3431677840743303e-16
FJX1,614.218772854572,0.726567883180032,0.0829682370578423,8.757181168903179,2.0019374889929898e-18,2.65645152923763e-16
PCDH10,1997.12571597839,0.579761478704885,0.0663361265720096,8.73975477111311,2.33616975551141e-18,3.07699514242581e-16
ZNF274,1310.57305342488,-0.622912601866384,0.0715122063249427,-8.71057731089913,3.0233104140754e-18,3.95275606416726e-16
NRARP,797.218692077945,0.836812686176832,0.0962087479601294,8.69788562806806,3.3812507089375397e-18,4.3253250975265e-16
TIMM23B,794.6683467330969,-0.6167163470483029,0.0715356696826016,-8.6211025881861,6.6312466408537896e-18,8.021101804151099e-16
APRT,4181.240942291571,0.599404956001885,0.0696135040705556,8.61046953468062,7.27619352303836e-18,8.74175655629359e-16
EMSY,1485.70246574922,-0.546465155012981,0.0634794012944205,-8.60854298985036,7.399500962528e-18,8.7713684409807e-16
GJA1,1925.10176882751,0.57718720080058,0.06727489212727,8.57953364991894,9.525855111283329e-18,1.0998651281411e-15
