"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PGK1",15582.7158440556,1.49093588225507,0.0572441941667519,26.0451894547068,1.52522018771453e-149,2.71199401577521e-145
"RNF43",739884.524379461,10.7480497330065,0.44084419088137,24.3806087396052,2.74656535373669e-131,2.44183392773961e-127
"EGR1",1021.90796650552,2.85245387997436,0.123662515916598,23.0664389999807,1.00612972938106e-117,5.96333090604152e-114
"HSPA6",320.770252249103,3.35449181135974,0.179192842381565,18.720010056076,3.4008695658533e-78,1.51177154376094e-74
"ZCCHC12",1977.85555302649,2.15620024227767,0.120593432095428,17.8799143934424,1.69096434478182e-71,6.0134074029131e-68
"DHRS2",861.835613661737,-2.9669188785519,0.177020337588606,-16.7603277621524,4.7599290835104e-63,1.41060498389831e-59
"SLC9A8",891.737741206481,-1.28219645666452,0.0808479163899976,-15.8593630351511,1.21116025525493e-56,3.07652007124113e-53
"CCT6P3",561.056582784442,-1.4207264093627,0.0922445297380351,-15.4017415818306,1.59319913385922e-53,3.54108422489384e-50
"SMG1P5",873.341055743023,-1.79926454830334,0.117004475892401,-15.3777411896445,2.30862120267187e-53,4.56106595607873e-50
"FTCD",174.505798520169,-2.63547183197003,0.184507151308544,-14.283846524533,2.75940545931833e-46,4.90649884721393e-43
"UAP1L1",1408.29043295786,-1.18312533722493,0.0835198876022609,-14.1657917795486,1.49176014416915e-45,2.41136246577016e-42
"PMAIP1",8997.96856262886,0.831580878954321,0.0593181255962049,14.019001284955,1.19281435414117e-44,1.76745266924868e-41
"SOX4",4315.14596628269,0.553184407636569,0.0396879775852225,13.9383370303692,3.70471887903402e-44,5.06720049139261e-41
"CXCL8",109.389658536738,4.61603574022506,0.335454938235347,13.7605240349348,4.40323579771659e-43,5.59242397994277e-40
"KCTD12",3154.20885029882,0.685663358465881,0.0510505921107147,13.4310559411116,3.97699830098462e-41,4.55694108200744e-38
"PHLDA3",741.170340675075,-1.45015500872973,0.107988499499238,-13.4287911717856,4.10050375750065e-41,4.55694108200744e-38
"BTG2",1349.49783878117,-1.19979046556051,0.0895738933208572,-13.3944213104907,6.51821029174733e-41,6.81766454103289e-38
"AP5Z1",1512.84254519831,-0.864459897472469,0.0657691172221856,-13.1438573905758,1.84572529110244e-39,1.82326896672736e-36
"TRMT13",1089.90253633088,-0.994292297573588,0.0760647036608416,-13.0716646449706,4.78077607917216e-39,4.47405155072422e-36
"DDB2",1495.11687841755,-1.22287487113167,0.0940526027868946,-13.0020311495522,1.19136451615504e-38,1.05918262308764e-35
"RFWD3",4277.10399538412,-0.643711091142733,0.0499467502408526,-12.8879474247801,5.2625870383435e-38,4.45590762518028e-35
"VASH1",2240.00058284118,0.57536838990401,0.0463274447328724,12.4196012368398,2.04578632381047e-35,1.65346030107609e-32
"CFAP43",221.811283871728,-2.02574151520752,0.166789437547531,-12.1455024070708,6.06091445697507e-34,4.68561391128147e-31
"VPS11",1405.9951537481,-0.670950659317543,0.0557547173219683,-12.0339711426207,2.35552221392758e-33,1.74514752024359e-30
"NECTIN4",186.900347765081,-1.90153156735759,0.159134908701857,-11.9491793652903,6.55694838976136e-33,4.66356397273387e-30
"FDXR",915.87969410748,-1.00030035859599,0.0842230322964381,-11.8768029518962,1.56228966224608e-32,1.06842586478452e-29
"INPP5B",1440.16452214943,-0.709956471800935,0.0599065396273834,-11.8510679504582,2.12465677502551e-32,1.3992045228418e-29
"GADD45B",835.492518213873,1.5167095413756,0.128170896377343,11.8334940633505,2.62003776058653e-32,1.66381755074961e-29
"MAFB",451.810493732253,1.04799563343021,0.0893167497370036,11.7334725739133,8.58623660006927e-32,5.26454734433902e-29
"GPR50",342.035326402112,1.43216683395073,0.123460530453543,11.6001999075295,4.11116783255455e-31,2.43668917435508e-28
"FOS",219.953782813054,2.36015149630883,0.204081373550985,11.5647570145308,6.21670308706956e-31,3.56578056745755e-28
"MOK",802.542679747533,-1.0789135857922,0.0941311777086306,-11.4618090632184,2.05183632146947e-30,1.14011567600152e-27
"NFKBIA",1030.80702215237,0.971752054890535,0.0862517603024549,11.2664605508681,1.92139356780322e-29,1.03528178876088e-26
"PYCR1",8059.07845853355,0.570676935387228,0.0509408870637692,11.2027286582748,3.95364932129663e-29,2.06764231123457e-26
"SPATA18",479.722678757089,-0.994617398535543,0.0889954461643333,-11.1760482294672,5.3415960946623e-29,2.71368343311973e-26
"RRM2",5495.79726118663,0.692124754968473,0.0620465753711257,11.154922746801,6.77516421273818e-29,3.34636652407493e-26
"ZSWIM8",3015.29941085491,-0.690610779567635,0.0622682921094887,-11.0908900207718,1.38898861353553e-28,6.67502879385819e-26
"SMC1B",71.0448903218488,-2.93697493856129,0.265737473413875,-11.0521670159296,2.13986209062667e-28,1.00128652193244e-25
"STXBP2",1503.94398783929,-0.656204518393026,0.0595473674415063,-11.0198745400058,3.06485950414796e-28,1.39734017546807e-25
"PTBP2",1304.93255462735,-0.978590116494448,0.0895204143729308,-10.9314743832369,8.15131135841023e-28,3.62346168159731e-25
"PIDD1",2254.3015096241,-0.715168446752633,0.0655279679205983,-10.9139420837713,9.88737101877808e-28,4.28798400207056e-25
"ARC",405.51104693039,1.38071547043157,0.126960099952338,10.8751920560073,1.5133674108381e-27,6.40694903145531e-25
"DHX9",10260.8062720835,-0.461425705207182,0.042446513313263,-10.8707563752475,1.58878188405548e-27,6.56979783264895e-25
"AEN",4437.08328052422,-1.02490729938613,0.0943156427375276,-10.8667795673975,1.65955676744293e-27,6.70649520043246e-25
"GFM2",1729.76837459792,-0.687161893410495,0.0633120543206665,-10.8535712635404,1.91782449961615e-27,7.57796387281662e-25
"BRAP",1238.13305879784,-0.845573763429259,0.0779368436821489,-10.8494740546304,2.00576160091348e-27,7.75314065779188e-25
"RARB",369.855635157216,-1.10797552648911,0.103132876995085,-10.7431845088731,6.38048245022593e-27,2.41385869037164e-24
