"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00179533213644524,0.00874125874125874,0.554725876846995,2.15127577790022,0,21,"c(""HES1"", ""SAT1"", ""FJX1"", ""CYR61"", ""FOSB"", ""DUSP4"", ""EGR3"", ""JUNB"", ""IL15RA"", ""SLC2A6"", ""DUSP5"", ""LAMB3"", ""CCL20"", ""CXCL2"", ""ICAM1"", ""MAFF"", ""CD44"", ""IFIH1"")"
"HALLMARK_HYPOXIA",0.0034965034965035,0.00874125874125874,0.539608155719522,2.15507515665554,1,22,"c(""SLC37A4"", ""NDRG1"", ""CYR61"", ""KDELR3"", ""COL5A1"", ""ADORA2B"", ""MIF"", ""CHST2"", ""B3GALT6"", ""CTGF"", ""CA12"", ""PCK1"", ""TGM2"", ""MAFF"", ""ALDOC"", ""CXCR4"")"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0034965034965035,0.00874125874125874,0.495299078298249,1.97811454004368,1,22,"c(""SAT1"", ""GJA1"", ""CYR61"", ""GAS1"", ""FN1"", ""FZD8"", ""COL5A1"", ""CRLF1"", ""LAMA1"", ""CTGF"", ""DKK1"", ""SPARC"", ""LUM"", ""TGM2"", ""SFRP1"", ""CD44"")"
"HALLMARK_GLYCOLYSIS",0.00177619893428064,0.00874125874125874,0.658315941472552,2.16661520244563,0,12,"c(""SLC37A4"", ""KDELR3"", ""COL5A1"", ""CYB5A"", ""ADORA2B"", ""MIF"", ""CHST2"", ""B3GALT6"")"
"HALLMARK_COMPLEMENT",0.0402930402930403,0.0805860805860806,0.520858545405955,1.66531964385423,21,11,"c(""CA2"", ""FN1"", ""HSPA1A"", ""DUSP5"", ""APOC1"", ""CSRP1"", ""CDA"", ""MAFF"")"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0502793296089385,0.0837988826815643,0.523690547087478,1.60379471873417,26,10,"c(""HES1"", ""DHCR7"", ""GJA1"", ""EGR3"", ""NPY1R"", ""CA12"", ""TGM2"", ""CD44"")"
"HALLMARK_IL2_STAT5_SIGNALING",0.15828677839851,0.226123969140729,0.440673278546108,1.34955553570736,84,10,"c(""CA2"", ""NDRG1"", ""ETV4"", ""IL18R1"", ""TGM2"", ""MAFF"", ""CD44"")"
"HALLMARK_KRAS_SIGNALING_UP",0.321180555555556,0.401475694444444,0.3052410190277,1.09907575032639,184,16,"c(""CA2"", ""ETV4"", ""GUCY1A3"", ""IGF2"", ""TMEM158"", ""PCSK1N"", ""MMP11"")"
"HALLMARK_P53_PATHWAY",0.508992805755396,0.56554756195044,0.270566365800478,0.93432083043954,282,14,"c(""SAT1"", ""NDRG1"", ""PROCR"")"
"HALLMARK_KRAS_SIGNALING_DN",0.826879271070615,0.826879271070615,-0.198073709573554,-0.689622231484378,362,12,"c(""SKIL"", ""GPR19"", ""EDN2"", ""PAX3"", ""FGGY"", ""CYP39A1"", ""C5"")"
