,fgseaRes.GFP_659_allgenes_multi,fgseaRes.WT_659_allgenes_single,fgseaRes.WT_659_allgenes_multi,fgseaRes.GFP_659_allgenes_single,fgseaRes.WT_659_mutspec_genes_multi,fgseaRes.GFP_659_mutspec_genes_single,fgseaRes.WT_659_mutspec_genes_single,fgseaRes.GFP_659_mutspec_genes_multi
HALLMARK_E2F_TARGETS,0.00488270510344809,0.00688325991189427,3.07409637406925e-08,0.00345781466113416,,,,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6.25e-10,0.00688325991189427,0.000358314425419208,0.00345781466113416,,0.004432624113475179,,0.00425669213202361
HALLMARK_G2M_CHECKPOINT,,0.0134264232008593,0.00703068896472636,,,,,
HALLMARK_HYPOXIA,2.2594036888291395e-09,,,0.00345781466113416,,0.004432624113475179,,0.00151683989143874
HALLMARK_KRAS_SIGNALING_DN,,,,,,,,
HALLMARK_KRAS_SIGNALING_UP,9.05269171896744e-05,,,0.00345781466113416,,,,
HALLMARK_MYC_TARGETS_V1,6.25e-10,0.00688325991189427,2.5e-09,0.00345781466113416,,,,
HALLMARK_MYC_TARGETS_V2,4.48952045117188e-05,0.00688325991189427,7.3973777910482e-05,0.00345781466113416,,,,
HALLMARK_NOTCH_SIGNALING,,0.0120787534726416,0.00662663915021939,,,,,
HALLMARK_P53_PATHWAY,0.00598189090857289,,,0.00636253737990711,,,,
HALLMARK_TGF_BETA_SIGNALING,0.0357876314884283,0.00688325991189427,0.0014739811898251199,0.036484059272564,,,,
HALLMARK_TNFA_SIGNALING_VIA_NFKB,6.25e-10,0.00688325991189427,0.000382113445880937,0.00345781466113416,,0.004432624113475179,0.0361663652802893,0.00151683989143874
HALLMARK_WNT_BETA_CATENIN_SIGNALING,,0.0395228513940788,0.0316310000386821,,,,,
TP,4.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0
TN,3.0,1.0,1.0,3.0,8.0,8.0,8.0,8.0
FP,5.0,7.0,7.0,5.0,0.0,0.0,0.0,0.0
FN,1.0,3.0,3.0,1.0,5.0,2.0,4.0,2.0
Sensitivity,0.8,0.4,0.4,0.8,0.0,0.6,0.2,0.6
Specificity,0.375,0.125,0.125,0.375,1.0,1.0,1.0,1.0
PPV,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.4444444444444444,,1.0,1.0,1.0
NPV,0.75,0.25,0.25,0.75,0.6153846153846154,0.8,0.6666666666666666,0.8
TPR,0.8,0.4,0.4,0.8,0.0,0.6,0.2,0.6
FPR,0.625,0.875,0.875,0.625,0.0,0.0,0.0,0.0
