Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HALLMARK_HYPOXIA,-0.9557998507082291,-2.0508324765395596,0.0,0.17647058823529413,200,22,TGM2;CXCR4;MAFF;CHST2;CA12;COL5A1;CYR61;ALDOC;ADORA2B;CTGF;KDELR3;B3GALT6;SLC37A4;NDRG1;MIF;PDK1;LDHC;PHKG1;TKTL1;BCAN;PCK1;EDN2,PCK1;EDN2
HALLMARK_COMPLEMENT,-0.7028154610198675,-1.4999769897391864,0.0,0.29411764705882354,200,11,CDA;MAFF;HSPA1A;DUSP5;ITIH1;FN1;CA2;APOC1;USP15;F8;CSRP1,CSRP1
HALLMARK_KRAS_SIGNALING_DN,-0.9797514923212531,-1.651424728555159,0.0,0.35294117647058826,200,12,ZBTB16;COL2A1;CHST2;SNCB;SKIL;PAX3;CYP39A1;RIBC2;FGGY;C5;GPR19;EDN2,EDN2
HALLMARK_KRAS_SIGNALING_UP,-0.39298664463633437,-1.2311542258715664,0.0,0.3970588235294118,200,16,ETV5;IGF2;CXCR4;MMP11;GUCY1A3;PCSK1N;TMEM158;CA2;RBM4;LAT2;SNAP91;LCP1;CCL20;LIF;KCNN4;ETV4,KCNN4;ETV4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6792743965286324,1.3420745456473488,0.25,0.7272727272727273,200,22,SFRP1;LUM;GLIPR1;ANPEP;DKK1;ECM1;TGM2;LAMA1;FN1;COL5A1;CRLF1;FZD8;SAT1;GAS1;CYR61;GJA1;CTGF;SPARC;ACTA2;FAS;COL3A1;CD44,SFRP1;LUM;GLIPR1
HALLMARK_GLYCOLYSIS,0.3189298767497566,0.892354244711401,0.42857142857142855,0.8282828282828283,200,12,CXCR4;CHST2;COL5A1;ADORA2B;KDELR3;B3GALT6;CYB5A;SLC37A4;MIF;LDHC;TKTL1;CD44,CXCR4;CHST2;COL5A1;ADORA2B;KDELR3;B3GALT6;CYB5A;SLC37A4;MIF
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.2903401487365507,-0.6277259213381557,0.6666666666666666,0.8823529411764706,200,21,DUSP4;EGR3;FOSB;SLC2A6;MAFF;DUSP5;JUNB;SAT1;IL15RA;CYR61;FJX1;HES1;PLK2;CCL20;LIF;LAMB3;IFIH1;ICAM1;CD44;CXCL2;CLCF1,CD44;CXCL2;CLCF1
HALLMARK_IL2_STAT5_SIGNALING,-0.44629505932862074,-0.7909324699849858,1.0,0.8823529411764706,200,10,ECM1;TGM2;MAFF;IL18R1;CA2;NDRG1;LIF;CAPN3;CD44;ETV4,CD44;ETV4
HALLMARK_P53_PATHWAY,0.1372279840170994,0.48006864461090787,0.8888888888888888,0.9242424242424242,200,14,ZBTB16;VDR;SAT1;PROCR;NDRG1;SESN1;PLK3;TRAFD1;RPS27L;PLK2;FAS;GLS2;LIF;NHLH2,ZBTB16;VDR;SAT1;PROCR;NDRG1;SESN1;PLK3;TRAFD1
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.3855787441597817,0.9211284702103795,0.7142857142857143,1.0,200,10,EGR3;TGM2;CA12;NPY1R;HES1;GJA1;DHCR7;GAB2;SYT12;CD44,EGR3;TGM2;CA12;NPY1R;HES1;GJA1;DHCR7
