,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_gene_set_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_t_test
HALLMARK_ADIPOGENESIS,,1.0,0.5909422936449964,1000000000.0,0.942658423493045,1.0,0.039074273412271265,0.9639562061754212,,0.8715617394498784,0.5888285492629945,0.5515164125276185,0.2799377916018662,1000000000.0,,,1.0,0.013774549367769708,1.0,1000000000.0,1.0,0.995508982035928,,0.3670562295196264,1.0,,,,0.8170153791130187,0.9130347054075868,,,,0.27213647441104794,0.8330000000000001,0.3180722891566265,,0.9918362823685862,0.4375641601611247,0.014612761811982462,0.03670715249662618,0.8869575096568962,0.7986852917009039,0.6437784765449528,0.6564195298372513,,0.9733866481732912,1.0,0.026408450704225355,0.7669275228434212,0.5223495279307632,,,0.9200247985120894,,0.6796142158805655,,0.9107142857142858,0.5523255813953488,0.024760987688286683,,0.30755148741418764,0.013248282630029442,0.9895750792393028,0.7060022650056625,0.6238325281803543,0.3914843992867693,,0.06154058913013415,0.9876157407407408,0.6251950142052453,0.37524998615035177,1.0,0.8952621890340293,1000000000.0,,0.08585365853658537,1.0,0.025412191801542885,0.9757414825149646
HALLMARK_ALLOGRAFT_REJECTION,,0.39194783945261175,0.4532967032967033,1000000000.0,0.8506439979392066,1.0,0.11511780887453653,0.8928165814877911,,0.5817883511074652,0.5632273079906904,0.5699736943792171,0.5253499222395023,1000000000.0,,,0.5999021898603489,0.11741478860122928,0.4885943364981233,1000000000.0,1.0,1.0,,0.5883599143061176,1.0,,,,0.8002503576537908,0.7333724097507154,,,,0.4630381803411861,0.9332343584305408,0.5804085908852802,,1.0,0.3680899003783638,0.09059912323429127,0.33373279352226715,0.8762541806020067,0.6775785918420368,0.8711724687550587,0.9686583378598588,,0.90676975836591,0.9940334128878282,0.01147626499739176,0.4050175786167568,0.5306783536585366,,,0.6936350485637528,,0.4585021181854727,,0.7160205346078952,0.4763322652206064,0.045739046701974005,,0.4273291925465839,0.0993621197252208,0.9544374009508716,0.4419063079777365,0.656055900621118,0.2887145457081216,,0.09108510076564287,1.0,0.4719612293724311,0.3795423383746053,0.5944125678868399,0.5951514269073966,1000000000.0,,0.3909407665505227,1.0,0.6608182975944973,0.6078938736834433
HALLMARK_ANDROGEN_RESPONSE,,0.20254357041921808,0.4697612732095491,1000000000.0,0.8465597185951073,0.9998269477035959,0.012296100024840606,0.9288200874009332,,1.0,0.5422808378588053,0.5273343967871804,0.4572317262830482,1000000000.0,,,1.0,0.006380857427716849,0.9531986991708454,1000000000.0,0.5456016597510374,1.0,,0.4544275172577958,1.0,,,,0.8534920015606711,0.9362389023405971,,,,0.3424045491470349,0.9560975609756096,0.2891566265060241,,1.0,0.381804004108078,0.009132976132489042,0.2512233761661679,0.8299463190184049,0.8848180192372759,0.5487646794583841,0.7361585030269675,,0.8724025543195463,1.0,0.0,0.243123555546942,0.6010132711621234,,,1.0,,0.6885227337070381,,0.9130634071810542,0.6165569425444597,0.008496417344019937,,0.3234782608695652,0.003463603301968481,1.0,0.6866964226234095,0.6884057971014493,0.24278474060018976,,0.008935885024946013,0.7611275964391692,0.5992283595815612,0.4320295926248179,1.0,1.0,1000000000.0,,0.14607046070460708,1.0,0.7802979767207329,0.90283091048202
HALLMARK_ANGIOGENESIS,,0.2496467263306641,0.029177718832891244,1000000000.0,1.0,1.0,0.0,1.0,,0.6379756420773648,0.5728277734678046,0.0123799898938858,0.19918650556286635,1000000000.0,,,1.0,0.0,0.8381917895503367,1000000000.0,0.9893050193050194,0.8717858400845369,,0.008291676584940094,0.7148755455939602,,,,0.8802177858439201,0.5298824886453752,,,,0.19800974817221773,1.0,0.10671256454388983,,1.0,1.0,0.007306380905991231,0.039862971037060116,0.8824386503067485,0.3333097144476724,0.5859779322111955,0.5894514767932489,,0.6358283125120209,1.0,0.011296948356807512,0.05538313948482897,0.03556910569105691,,,0.9373837569745817,,0.045721000295971696,,0.4782156133828997,0.030893106564785142,0.0,,0.18586956521739129,0.0,1.0,0.03094956991060888,0.5835346215780998,0.13093953597426086,,0.002420135527589545,0.9774305555555556,0.032063472588593746,0.4305288661293004,0.8278359056181154,0.7645790000770356,1000000000.0,,0.022996515679442508,0.10045270059319387,0.5425479265297738,0.3436714165968148
HALLMARK_APICAL_JUNCTION,,1.0,0.07294429708222812,1000000000.0,1.0,1.0,0.9554010358245744,0.9654903869554636,,0.8352849336455893,0.8247316267547481,0.005721844068602682,0.6495646034361027,1000000000.0,,,1.0,1.0,1.0,1000000000.0,0.6296138996138997,1.0,,0.007609795286836467,1.0,,,,0.8742845176601982,0.6423473433782712,,,,0.6449657513487299,0.8887361419068737,0.4940239043824701,,1.0,0.4364568672947123,1.0,0.3557312252964427,1.0,0.32424006235385816,0.6403901687736636,0.7936708860759494,,0.7645916920503291,1.0,1.0,0.05881699799250298,0.05868902439024391,,,0.9721016738995659,,0.02671696712947216,,0.9159851301115242,0.033325117081587384,1.0,,0.5891737891737892,1.0,1.0,0.02764378478664193,0.6325051759834369,0.07594747091426575,,1.0,0.7087673611111112,0.03670940433102264,0.6155051629079925,1.0,0.7539178139478578,1000000000.0,,0.3871592973955179,1.0,0.5446135929790018,0.4274937133277452
HALLMARK_APICAL_SURFACE,,0.21824462238970013,0.11865605658709108,1000000000.0,1.0,0.8119613747274427,0.7965554359526372,1.0,,0.5961170358217117,0.8232399146625291,0.03706194453526737,0.857495881383855,1000000000.0,,,0.21667662881052,0.8019370460048426,1.0,1000000000.0,0.8217245817245817,1.0,,0.0348250416567484,0.8918249380677126,,,,0.8047210300429183,0.5313243457573354,,,,0.8936170212765957,1.0,0.906772908366534,,1.0,0.6725287079418614,1.0,0.8817813765182186,0.5320168711656441,0.2785138997142115,1.0,1.0,,0.5907874079143351,1.0,0.3184663536776213,0.011898417097479085,0.1867378048780488,,,1.0,,0.03580815733325087,,0.4500619578686493,0.049543998028099584,1.0,,0.8948148148148148,1.0,1.0,0.03172541743970316,0.6521739130434783,0.026011313298475627,,1.0,0.9627700617283951,0.041715232194343914,0.3671615319095896,1.0,0.9850549130543308,1000000000.0,,0.8048780487804879,0.15042147986262874,0.6432000588284731,0.3562447611064543
HALLMARK_APOPTOSIS,,1.0,0.3956498673740053,1000000000.0,0.8640470812031862,1.0,0.9381637016134959,1.0,,0.9123731459797032,0.8304008130597726,0.5235858871087595,0.5779791323448655,1000000000.0,,,1.0,1.0,0.6775313467139996,1000000000.0,0.9421119691119691,1.0,,0.4898674210222056,1.0,,,,0.8802177858439201,0.9085668165571312,,,,0.5616448169639658,0.8476172607879926,0.4621513944223107,,1.0,0.6205892294562438,1.0,0.2940711462450593,0.8998685363716038,0.7527001447500279,1.0,1.0,,0.920296837888974,1.0,0.924771836270129,0.37741141450569576,0.5068597560975611,,,0.88228793228928,,0.6072298122578401,,0.7885289431757833,0.655656889327089,1.0,,0.6358024691358025,1.0,0.9683042789223456,0.572318395081702,0.6733762748255502,0.4522769261496979,,1.0,0.9723090277777778,0.6725695083464546,0.4997326653429319,0.7103955079623209,0.9217485086899584,1000000000.0,,0.2766404199475065,1.0,0.6563657579499247,0.94669727110431
HALLMARK_BILE_ACID_METABOLISM,,1.0,0.5673989998314323,1000000000.0,0.8364660716956673,1.0,1.0,0.8930987821380243,,0.7181889149102263,0.7524360033030553,0.3760563578989941,0.6020667964654784,1000000000.0,,,1.0,0.9449045582559716,0.9513886657885436,1000000000.0,1.0,1.0,,0.4044655929721816,1.0,,,,0.8166969147005444,0.9039548022598871,,,,0.62591466846786,0.7984552845528456,0.5532157085941947,,1.0,0.7792064118532491,1.0,0.2328422565576716,0.9539612862280517,0.7838948233360724,0.9201373291407304,0.7356540084388186,,0.9907869047139808,1.0,0.5705484360509231,0.6807264610262375,0.5014430014430014,,,0.7420954742715437,,0.6899382820904818,,0.7181818181818181,0.5722102794606214,1.0,,0.6550264550264551,1.0,1.0,0.7069648924122309,0.8442854619325206,0.3279822150725026,,1.0,0.9971547067901234,0.5859294171743878,0.6461644264860673,1.0,0.8496793390339726,1000000000.0,,0.2093056549749463,1.0,0.3673044925124792,0.969504863919554
HALLMARK_CHOLESTEROL_HOMEOSTASIS,,0.37447008949599625,0.26259946949602125,1000000000.0,1.0,1.0,0.011302475780409042,0.9739163354154836,,0.5751047018695221,0.6446858029480218,0.03113003276484535,0.25194401244167963,1000000000.0,,,1.0,0.0058111380145278455,0.8418604197550128,1000000000.0,0.990788747931605,1.0,,0.03350764698881219,0.7060280759702725,,,,0.8274429267360779,0.732223103357124,,,,0.21411163978182665,1.0,0.2904953145917002,,1.0,0.3946170936052893,0.00974184120798831,0.025910931174089068,0.8616806587019696,0.6734216679657054,0.6437784765449529,0.298372513562387,,0.8078982327603558,1.0,0.0,0.16543862921707614,0.302782012195122,,,1.0,,0.1313816135316491,,0.6555968608013217,0.1553857530194725,0.003939248041318335,,0.2889632107023412,0.0040146311000089216,1.0,0.1479591836734694,0.7446514837819186,0.022881609826733908,,0.008297607523164155,1.0,0.16484878228329553,0.5273824857348623,1.0,0.846887942450688,1000000000.0,,0.07665505226480837,1.0,0.6683064603267982,0.4041432163812717
HALLMARK_COAGULATION,,0.26566179934055584,0.11879499810534296,1000000000.0,1.0,1.0,0.11766684607104412,1.0,,0.5543185280675027,0.6677657098525989,0.03959053724235189,0.266607420573206,1000000000.0,,,1.0,0.05861669649436783,0.7202092435827416,1000000000.0,0.970638365783594,1.0,,0.04337727711889326,0.9800784475639968,,,,0.46793037672865995,0.3973037272006345,,,,0.23653653175323744,0.726489283074649,0.26222537207654145,,1.0,0.8010118043844856,0.034339990258158794,0.21788737578211265,0.5580265848670757,0.2618862042088854,0.9885231135775924,0.9477661596958176,,0.5853005112515599,1.0,0.023362396601833226,0.008776137433601592,0.19207317073170732,,,1.0,,0.04089489470917468,,0.6265179677819083,0.04688740996357462,0.025276841598459318,,0.2946291560102302,0.024533856722276745,1.0,0.03130797773654916,0.5709266578831796,0.0229627502871124,,0.04864472410454986,1.0,0.046426599595116864,0.3879457764404363,0.7710717682795865,0.5532906231799651,1000000000.0,,0.2804878048780488,0.7035981891976272,1.0,0.3448688779786852
