,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_gene_set_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_t_test,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_phenotype_t_test,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_GFP_TPM_phenotype_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_t_test,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_gene_set_diff_of_classes,RNF43_G659fs_vs_RNF43_WT_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_signal_to_noise,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_zscore_phenotype_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_ratio_of_classes,RNF43_G659fs_vs_GFP_TPM_filtered_transformed_zscore_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_GFP_RNF43_G659fs_mutspec_TPM_filtered_transformed_phenotype_diff_of_classes,RNF43_G659fs_vs_GFP_TPM_phenotype_signal_to_noise,RNF43_G659fs_vs_GFP_TPM_gene_set_log2_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_gene_set_ratio_of_classes,RNF43_G659fs_vs_RNF43_WT_TPM_filtered_transformed_phenotype_t_test
HALLMARK_E2F_TARGETS,,,0.17384952520087654,,,,0.2487548410027742,,,,,0.0017030716425470965,,,,,,,,,,,,0.004148365056124939,,,,,,,,,,,,,,,,,0.11383399209486166,,,,,,0.0,,,,0.11363636363636365,,,,,0.008412401821608548,,,0.013924174320891144,,,,,,0.010354311600064716,,0.06462037861595472,,,,0.018179429491074508,,,,,,0.026771653543307086,,0.0,
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,,0.2119642016015073,0.1122219955111202,,,,0.0,,,,,0.03373658710578724,0.2021772939346812,,,,,0.0,,,,,0.2297410192147034,0.02630113578399701,,0.049700874367234235,,,,,0.005179430262671107,0.01606732976281561,,0.048740861088545896,,0.06024096385542167,,,,0.0,0.010364372469635627,,,,0.24135021097046416,,,,0.0,0.013569258647337849,0.1810213414634146,,,,0.0660377358490566,0.03875609429275282,,,0.043546134253553526,0.0,,0.052173913043478265,0.0,,0.03606215213358071,,0.004381584860438408,,0.0,,0.04220599963192442,,,,,,0.02682926829268293,0.12706837339993754,,
HALLMARK_G2M_CHECKPOINT,,,,,,,0.03796061650949275,,,,,,,,,,,0.03238760821946386,,,,,,,,,,,,,,,,,,0.2326693227091633,,,,0.23801280580641124,0.11205533596837944,,,,,,0.0,,0.20954388331506613,,,,,,,,,,,0.2024914967760783,,,0.2247612693382261,,,,,,0.2350732256853173,,,,,,,,0.021417322834645668,,0.0,
HALLMARK_HYPOXIA,,0.19194536033914272,,,,,0.0044402583423035534,,,,,0.1728200881468596,0.06998444790046658,,,,,0.0,,,,,,0.16169981291687002,,0.04653835104854928,,,,,0.03107658157602664,0.030126243305279268,,0.09138911454102357,,0.08032128514056222,,,,0.002922552362396493,0.0,,,,,,,,0.0,,,0.17647058823529413,,,,,,,,0.0,,0.052173913043478265,0.0,,,,,,0.0020744018807910387,,,,,,,,0.02682926829268293,,,
HALLMARK_KRAS_SIGNALING_DN,,,,,,,,,,,,,,,,,,,,,,,,,,0.09049123814995692,,,,,,,,,,,,,,,,,,,,,,,,0.1695263832762226,,,,,,,,,,,,,,,,,0.09179198990453796,,,,,,,,,,,,,
HALLMARK_KRAS_SIGNALING_UP,,0.1857210147365588,,,,,0.01302475780409042,,,,,,0.2138413685847589,,,,,0.0028175214615892576,,,,,,,,,,,,,,,,0.18413214189006227,,0.16144578313253016,,,,0.007970597351990434,0.037426900584795315,,,,,,,,0.0,,,,,,,,,,,0.002888781896966779,,0.19006211180124225,0.0016355904481517827,,,,0.13024017576272032,,0.0016134236850596966,,,,,,,,0.03577235772357724,,,
HALLMARK_MYC_TARGETS_V1,,,0.1813002191380569,,,,0.010656620021528526,,,,,0.0,,,,,,0.004768113242689514,,,,,,0.0,,,,,,,,,,0.1818409048303443,,0.1910499139414802,,,,0.008992468807373824,0.10516789711836153,,,,,,0.0,,0.022593896713615023,0.0986050986050986,0.1367845117845118,,,,,0.0,,,0.0,0.0030951234610358345,,,0.003680078508341511,,0.0,,0.0011059722501508145,,0.0013200739241397519,,0.0,,,,,,0.09893292682926827,,0.0,
HALLMARK_MYC_TARGETS_V2,,,0.2111029948867787,,,,0.08262741610895305,,,,,0.0,,,,,,0.0645682001614205,,,,,,0.00034569708801041163,,,,,,,,,,,,,,,,0.09437408670238674,,,,,,,0.0031446540880503146,,0.010632421982877659,0.12794612794612795,0.07154882154882154,,,,,0.0005662193533774987,,0.06753246753246754,0.00034199726402188777,0.07944150216658641,,,0.1064391937797237,,0.0,,0.004792546417320196,,0.11442400774443368,,0.00034486722611794463,,,,,,,,0.0,
HALLMARK_NOTCH_SIGNALING,,,0.014588859416445622,,,,0.16111794556358605,,,,,0.0010403352852004872,,,,,,0.22336144276530012,,,,,,0.007855272554153773,,,,,,,,,,,,,,,,,,,,,,,,,,0.009113681181047807,0.013338414634146343,,,,,0.006493707288413371,,,0.008380576780872565,,,,,,0.0018552875695732839,,0.0,,,,0.0058892092509662,,,,,,,,,0.2388935456831517
HALLMARK_P53_PATHWAY,,,,,,,0.09151745530583134,,,,,,0.016474464579901153,,,,,0.11621988108897464,,,,,0.17152724481964696,0.13284196282000088,,,,0.18563789152024449,,,0.21173084829381936,0.1214459788789602,,0.03677436301549777,,0.021248339973439574,,,,,0.03320158102766799,,,,,0.10714285714285714,,,,,,,,,,,0.0,,,,,0.05925925925925926,,,,,0.07189044789534127,,,,,,,,,,0.01784776902887139,,,
HALLMARK_TGF_BETA_SIGNALING,,0.21726330664154492,0.0583554376657825,,,,,,,,,0.002080670570400975,,,,,,,,,,,,0.003927636277076887,,,,,,,,,,,,,,,,,,,,,,,,,0.10854633976699704,0.01721473111975697,0.026676829268292686,,,,,0.016079656142737868,,,0.010845452304658616,,,,,,0.01700680272108843,,0.02697108902980976,,,,0.018649162628059632,,,,,,,,,0.2263202011735121
HALLMARK_TNFA_SIGNALING_VIA_NFKB,,0.16250588789448892,,,,,0.0,,,,,0.01248402342240585,0.023328149300155518,,0.0,,0.08965929468021519,0.0,,,,,0.003341687552213868,0.00859170435610569,,,,0.020151133501259445,,,0.0,0.0,,0.024370430544272948,,0.024096385542168683,,,,0.0,0.0,,,,,,,,0.0,0.01299543427667928,,,,,,0.05168460903022887,,,0.04051359042731978,0.0,,0.0,0.0,,0.05598992843890803,,0.028453254772723487,,0.0,,0.03868883299593072,,,,,,0.0,0.0412113643459257,,
HALLMARK_WNT_BETA_CATENIN_SIGNALING,,,0.0632183908045977,,,,,,,,,0.006415400925403006,,,,,,,,,,,,0.007691621042608902,,,,,,,,,,,,,,,,,,,,,,,,,0.09583784759841098,0.10477357920730516,0.06478658536585365,,,,,0.03787995918241133,,,0.0521145110743336,,,,,,0.03432282003710575,,0.046458709313854867,,,,0.04739411254348989,,,,,,,,,0.20117351215423301
TP,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,4.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
TN,8.0,7.0,2.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,2.0,7.0,8.0,8.0,8.0,8.0,3.0,8.0,8.0,8.0,8.0,7.0,1.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,6.0,8.0,5.0,8.0,8.0,8.0,5.0,4.0,8.0,8.0,8.0,8.0,7.0,4.0,8.0,3.0,3.0,2.0,8.0,8.0,8.0,8.0,2.0,7.0,7.0,2.0,5.0,8.0,7.0,5.0,8.0,2.0,8.0,1.0,8.0,5.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,4.0,5.0
