# normalize enrichment scores by using the entire data set
# as indicated by Barbie et al., 2009, online methods, pg. 2
Term|NES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.7599470694953995	0.7656288506157352	0.7697861438263265	0.7620893498459654
HALLMARK_ALLOGRAFT_REJECTION	0.14966321239712074	0.16898835997511705	0.17193312949057343	0.1667315236797429
HALLMARK_ANDROGEN_RESPONSE	0.7221432077227733	0.7324440673569722	0.7298735971485568	0.7296399134176665
HALLMARK_ANGIOGENESIS	0.3822171403023079	0.40120940340795413	0.40228394079277213	0.3952472592758363
HALLMARK_APICAL_JUNCTION	0.5071309127917584	0.49531131424411967	0.5064088964147805	0.49209367039670954
HALLMARK_APICAL_SURFACE	0.31436508011015873	0.33004474617297824	0.3277258659423406	0.320423872230035
HALLMARK_APOPTOSIS	0.5917533951744601	0.6039876373004714	0.6073833851319034	0.5862683226631478
HALLMARK_BILE_ACID_METABOLISM	0.42811228852982247	0.4298905519111539	0.43466822969506236	0.421085172660141
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.7820461588768423	0.7833494261525648	0.7889343306072473	0.7774112037241846
HALLMARK_COAGULATION	0.2218344744842696	0.2150303763464852	0.21038591441294233	0.20836803261547723
HALLMARK_COMPLEMENT	0.3515113296351251	0.3587954064014373	0.3481700264635667	0.344342361141711
HALLMARK_DNA_REPAIR	0.8825933103922513	0.8828007901072784	0.8899031113303633	0.8854503074147732
HALLMARK_E2F_TARGETS	0.9809257308351452	0.9818492372356118	0.9794125837050417	0.9815397416193682
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.40193996756143013	0.41532591959285453	0.4177691328986795	0.41528328058813635
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.5414147583529125	0.5243052956208656	0.5377161575494203	0.5190777008857879
HALLMARK_ESTROGEN_RESPONSE_LATE	0.5287025683253845	0.528072097461595	0.5369882612682894	0.5244237702928862
HALLMARK_FATTY_ACID_METABOLISM	0.705548976355819	0.7031390216160198	0.701981999941274	0.7015712252361418
HALLMARK_G2M_CHECKPOINT	0.9379547624192867	0.940012066853223	0.9382410509153115	0.9388756441922271
HALLMARK_GLYCOLYSIS	0.7052092465334221	0.7021575841279916	0.705465354049593	0.7023498866117152
HALLMARK_HEDGEHOG_SIGNALING	0.5615904082750928	0.5623633672439319	0.5601332912820706	0.5630169225464169
HALLMARK_HEME_METABOLISM	0.6202038199792674	0.6244075014933264	0.6270501180581922	0.6202463856909873
HALLMARK_HYPOXIA	0.5805631346940751	0.5834090204287066	0.5859735524791293	0.5679973520564483
HALLMARK_IL2_STAT5_SIGNALING	0.4640880689038389	0.4780498077928105	0.48344993261406244	0.47173242258241765
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.2800888262595729	0.2891669768611958	0.27923015136343016	0.2738354229408048
HALLMARK_INFLAMMATORY_RESPONSE	0.15014633388400456	0.15443793496168373	0.16241971161079638	0.14890353898454034
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.393011467750858	0.4073885889884895	0.40064450462523454	0.3991104831764471
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.32032361062604614	0.3290961585138643	0.331337039574504	0.32493092993515305
HALLMARK_KRAS_SIGNALING_DN	0.08018453853708324	0.08627194503360526	0.08884176117645488	0.08274435529319038
HALLMARK_KRAS_SIGNALING_UP	0.21789308557616627	0.23882522364867517	0.22702040900022769	0.22571061064703365
HALLMARK_MITOTIC_SPINDLE	0.8147618160901552	0.8177894338006642	0.8150551356796852	0.8132599732778507
HALLMARK_MTORC1_SIGNALING	0.9240981415015841	0.9297422636995374	0.9301656110125972	0.9299392852106673
HALLMARK_MYC_TARGETS_V1	1.0788787783558105	1.0787308794942732	1.0781013663411863	1.0801845385370832
HALLMARK_MYC_TARGETS_V2	0.949036823444949	0.9413483368130299	0.9445990120810882	0.9457216754778053
HALLMARK_MYOGENESIS	0.39721308954049855	0.39762122695699553	0.4136741415815989	0.3995357712428172
HALLMARK_NOTCH_SIGNALING	0.5646475372259099	0.5716709101860666	0.5692368788906859	0.5666880560505476
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.995629622412808	0.9970352551041319	0.9963032708796985	0.9960992471243697
HALLMARK_P53_PATHWAY	0.6781053407357757	0.6844093205812757	0.6839180349872674	0.6832127269488454
HALLMARK_PANCREAS_BETA_CELLS	0.21117880911417003	0.2474325370286185	0.2504582747122369	0.228632237830989
HALLMARK_PEROXISOME	0.6776217638173195	0.6835016491423289	0.6815342720196109	0.6828377049986176
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.7456592836591561	0.7521312471196115	0.7504551549153834	0.743511731926544
HALLMARK_PROTEIN_SECRETION	0.8563230348726333	0.8617873506564586	0.8593027956036577	0.8602222269745037
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.7980623892988318	0.801061010164995	0.8029821655520861	0.8147249357653427
HALLMARK_SPERMATOGENESIS	0.36693461663996707	0.3593304749163288	0.36485447906874086	0.3651879753140516
HALLMARK_TGF_BETA_SIGNALING	0.6983725415215791	0.7176060583028118	0.6975356294787212	0.703348482655875
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.4665636710689764	0.467085192488675	0.4619631931974808	0.4538787061052614
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.9441448190450707	0.9453711745954555	0.9463489462068114	0.9487821557272833
HALLMARK_UV_RESPONSE_DN	0.5859034758974957	0.582682106487129	0.5814844792729431	0.5908187684746207
HALLMARK_UV_RESPONSE_UP	0.7520324016362911	0.7466098856652144	0.7557831483942775	0.7535011493643309
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.7090824460417693	0.7091954417781888	0.7101774692879897	0.7048865734812197
HALLMARK_XENOBIOTIC_METABOLISM	0.4800650024732493	0.48692654273546093	0.4925670777691985	0.47738216912596865
# normalize enrichment scores by using the entire data set
# as indicated by Barbie et al., 2009, online methods, pg. 2
Term|NES	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1
HALLMARK_ADIPOGENESIS	0.7599470694953995	0.7656288506157352	0.7697861438263265	0.7620893498459654
HALLMARK_ALLOGRAFT_REJECTION	0.14966321239712074	0.16898835997511705	0.17193312949057343	0.1667315236797429
HALLMARK_ANDROGEN_RESPONSE	0.7221432077227733	0.7324440673569722	0.7298735971485568	0.7296399134176665
HALLMARK_ANGIOGENESIS	0.3822171403023079	0.40120940340795413	0.40228394079277213	0.3952472592758363
HALLMARK_APICAL_JUNCTION	0.5071309127917584	0.49531131424411967	0.5064088964147805	0.49209367039670954
HALLMARK_APICAL_SURFACE	0.31436508011015873	0.33004474617297824	0.3277258659423406	0.320423872230035
HALLMARK_APOPTOSIS	0.5917533951744601	0.6039876373004714	0.6073833851319034	0.5862683226631478
HALLMARK_BILE_ACID_METABOLISM	0.42811228852982247	0.4298905519111539	0.43466822969506236	0.421085172660141
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.7820461588768423	0.7833494261525648	0.7889343306072473	0.7774112037241846
HALLMARK_COAGULATION	0.2218344744842696	0.2150303763464852	0.21038591441294233	0.20836803261547723
HALLMARK_COMPLEMENT	0.3515113296351251	0.3587954064014373	0.3481700264635667	0.344342361141711
HALLMARK_DNA_REPAIR	0.8825933103922513	0.8828007901072784	0.8899031113303633	0.8854503074147732
HALLMARK_E2F_TARGETS	0.9809257308351452	0.9818492372356118	0.9794125837050417	0.9815397416193682
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.40193996756143013	0.41532591959285453	0.4177691328986795	0.41528328058813635
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.5414147583529125	0.5243052956208656	0.5377161575494203	0.5190777008857879
HALLMARK_ESTROGEN_RESPONSE_LATE	0.5287025683253845	0.528072097461595	0.5369882612682894	0.5244237702928862
HALLMARK_FATTY_ACID_METABOLISM	0.705548976355819	0.7031390216160198	0.701981999941274	0.7015712252361418
HALLMARK_G2M_CHECKPOINT	0.9379547624192867	0.940012066853223	0.9382410509153115	0.9388756441922271
HALLMARK_GLYCOLYSIS	0.7052092465334221	0.7021575841279916	0.705465354049593	0.7023498866117152
HALLMARK_HEDGEHOG_SIGNALING	0.5615904082750928	0.5623633672439319	0.5601332912820706	0.5630169225464169
HALLMARK_HEME_METABOLISM	0.6202038199792674	0.6244075014933264	0.6270501180581922	0.6202463856909873
HALLMARK_HYPOXIA	0.5805631346940751	0.5834090204287066	0.5859735524791293	0.5679973520564483
HALLMARK_IL2_STAT5_SIGNALING	0.4640880689038389	0.4780498077928105	0.48344993261406244	0.47173242258241765
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.2800888262595729	0.2891669768611958	0.27923015136343016	0.2738354229408048
HALLMARK_INFLAMMATORY_RESPONSE	0.15014633388400456	0.15443793496168373	0.16241971161079638	0.14890353898454034
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.393011467750858	0.4073885889884895	0.40064450462523454	0.3991104831764471
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.32032361062604614	0.3290961585138643	0.331337039574504	0.32493092993515305
HALLMARK_KRAS_SIGNALING_DN	0.08018453853708324	0.08627194503360526	0.08884176117645488	0.08274435529319038
HALLMARK_KRAS_SIGNALING_UP	0.21789308557616627	0.23882522364867517	0.22702040900022769	0.22571061064703365
HALLMARK_MITOTIC_SPINDLE	0.8147618160901552	0.8177894338006642	0.8150551356796852	0.8132599732778507
HALLMARK_MTORC1_SIGNALING	0.9240981415015841	0.9297422636995374	0.9301656110125972	0.9299392852106673
HALLMARK_MYC_TARGETS_V1	1.0788787783558105	1.0787308794942732	1.0781013663411863	1.0801845385370832
