#gene_id	RNF43_G659fs_4	RNF43_G659fs_3	RNF43_G659fs_2	RNF43_G659fs_1	RNF43_WT_2	RNF43_WT_3	RNF43_WT_1	RNF43_WT_4	GFP_1	RNF43_R117fs_4	GFP_3	GFP_2	RNF43_R117fs_1	GFP_4	RNF43_R117fs_3	RNF43_R117fs_2
A4GALT	1.997309	2.074351	2.2378080000000002	1.814345	2.079252	1.679974	1.268887	2.098007	1.65967	2.1215599999999997	1.194519	1.709038	1.236834	1.961739	2.0579099999999997	1.902902
ABHD17AP3	-10.0	-2.805762	-10.0	-2.986708	-3.6458470000000003	-4.270236	-4.325464	-10.0	-1.8142040000000001	-2.509463	-1.0759969999999999	0.21587699999999999	-4.457308	-0.41817299999999996	-2.8455150000000002	-4.277976
AC004381.6	3.3590760000000004	2.988009	3.078763	3.214651	3.64169	3.689631	3.6677519999999997	3.5791480000000004	3.914111	3.04983	3.742811	3.8656699999999997	3.3383849999999997	3.7086629999999996	3.1490810000000002	3.246396
AC006011.4	4.805246	4.928688	4.819735	4.909644	4.8227	4.873808	4.781968	4.722958	4.231847	5.469769	4.51387	4.146818	4.4835769999999995	4.887691	4.523292	5.188029
AC009133.22	4.398809	4.488554	4.3495989999999995	3.9301220000000003	3.8924879999999997	4.110405	3.465779	3.7709879999999996	4.044158	5.707376	2.8164540000000002	4.173135	4.167751	2.88123	3.205147	4.171871
AC010642.1	0.6371	0.12068399999999999	0.21336599999999997	0.27018200000000003	0.7657470000000001	0.85693	0.628307	0.817959	1.424944	1.572764	1.236284	1.190507	0.42732700000000007	1.6445439999999998	1.721128	1.676493
AC090286.2	-2.138289	-1.251195	-2.7019330000000004	-2.1249689999999997	-2.761927	-2.373081	-2.417949	-2.246628	-0.103692	-10.0	-0.350565	-0.138283	-10.0	0.440208	-10.0	-3.429556
AC093724.2	1.305714	1.3510520000000001	1.571842	1.164368	0.927343	1.176233	0.637953	0.9798129999999999	1.072401	1.222638	0.942256	0.7929970000000001	1.257693	0.381372	0.8524940000000001	0.796938
AC240274.1	4.380192	4.349588	4.338384	4.203358000000001	4.313405	4.612118	4.604935	4.390567	4.9652400000000005	4.569653	5.041335	4.908015	4.668048000000001	5.062392	4.671593	4.833277
ACAP1	1.3696409999999999	1.0983209999999999	1.4917120000000001	1.168863	2.5123029999999997	1.7307279999999998	2.3580509999999997	2.100525	1.947327	2.594312	2.31767	2.3403259999999997	2.1618060000000003	2.766148	2.004754	2.202784
ACKR2	-0.944466	-0.587202	-0.695332	-0.14232999999999998	-0.894041	-1.012441	-0.041681	-0.5665020000000001	0.17366099999999998	0.242731	0.80395	0.253289	0.177809	-0.015373	-0.25346399999999997	0.1384
ACRV1	-1.142213	-0.86641	-1.220665	-0.743929	-0.46649399999999996	-0.0006349999999999999	-0.130427	-0.118126	-0.442326	-0.661248	0.76431	0.7394229999999999	-1.395103	1.0067620000000002	-0.523886	-0.348181
ACSBG1	1.967861	1.597325	2.352509	1.792877	2.598733	2.289902	2.194276	2.53155	2.927886	2.36176	2.630497	2.8192009999999996	1.845904	3.169559	1.392511	1.60913
ACTA2	3.2836629999999998	2.983619	2.921431	3.417877	3.4484589999999997	3.8747629999999997	4.070158	3.720846	4.51962	4.367178	4.288698999999999	4.27184	3.951292	4.378504	3.9778059999999997	4.300725
ACTR10	5.3491	5.514349	5.50962	5.676263	5.799352	5.9946209999999995	6.202129	5.723272	6.1737589999999996	5.261726	6.427547	6.230565	5.9488080000000005	6.216444	5.762103	6.096849
ACVR1C	0.8415819999999999	0.788144	0.8483209999999999	1.1263020000000001	0.686221	0.43298000000000003	-0.11336700000000001	0.004457	0.20770999999999998	0.045922000000000004	0.22641799999999998	-0.068892	-0.406599	0.41995200000000005	1.101227	0.48979700000000004
ADAMTS1	6.594500999999999	6.674921	6.912533	6.1590940000000005	6.277966	6.0136650000000005	5.410014	5.942442	5.36947	5.862932	5.682514	5.8211059999999994	5.5566510000000005	5.8014730000000005	6.324454	6.140085
ADAMTS7P4	1.790069	1.945585	1.988317	1.340098	2.540043	2.450543	1.983379	2.4428810000000003	3.096515	2.366202	2.663949	2.5680509999999996	2.300732	3.001489	2.366202	2.294285
ADCY10P1	0.9682069999999999	0.157696	0.42925399999999997	-0.097432	-0.093725	-0.44843999999999995	-0.258268	-0.586573	-0.372795	-1.049203	-0.082312	-0.185834	-0.434725	0.161271	0.222615	-0.09254
ADGRG2	0.761868	0.807714	0.779332	0.6825180000000001	0.543357	0.16981	0.38132699999999997	0.15765099999999999	0.160255	-0.121323	0.45063800000000004	0.12388699999999998	0.347634	0.339393	0.345296	0.467724
ADM5	2.331768	2.188853	2.044268	1.9137950000000001	1.535715	1.523542	1.3774629999999999	1.76679	1.657041	2.125912	1.572021	1.6991779999999999	1.535864	1.755353	1.324638	1.567448
ADORA1	1.416756	1.6053879999999998	1.6529029999999998	1.591804	1.189438	0.659395	0.803492	1.0225	0.743294	1.161657	1.171912	1.565851	1.021041	1.097725	1.7056360000000002	0.541406
ADORA2B	3.865122	3.7297580000000004	3.953161	3.6560019999999995	3.7283910000000002	3.5301050000000003	3.533719	3.5836690000000004	3.4702319999999998	3.4012809999999996	3.23169	3.127374	3.380323	3.2172259999999997	3.523766	3.4855970000000003
ADPRHL1	1.34836	1.664639	1.770951	1.8405919999999998	2.0254209999999997	2.204269	2.238858	2.07092	2.4621020000000002	2.612959	2.466365	2.33912	2.4412409999999998	2.6238029999999997	2.459812	2.561915
AGAP2	3.4010510000000003	3.437478	3.376546	3.257622	3.178011	2.979152	2.883768	3.032944	2.98073	3.4953830000000004	2.8654349999999997	2.917233	3.0233529999999997	2.877226	2.99632	3.079668
AGAP5	3.568229	3.455233	3.24487	3.1723790000000003	3.6553839999999997	3.66523	3.820436	3.594527	4.090029	3.5855699999999997	4.179728	3.7448699999999997	3.6818800000000005	4.217353	3.783006	3.951232
AGGF1P2	-1.304145	-1.138175	-1.417972	-0.921185	-0.832282	-0.178688	-0.660755	-0.32472399999999996	0.629063	-1.0251270000000001	0.40263499999999997	-0.445062	-0.016588	0.459589	-0.903943	-0.806771
AGTR1	0.567079	0.923693	0.754359	0.772809	0.48994899999999997	0.35454	0.756944	0.638035	-0.228681	-0.061003999999999996	0.254103	0.300877	0.0019030000000000002	0.194327	0.20814000000000002	0.50956
AIM1L	1.204668	1.175281	2.295721	2.279409	2.416884	1.906359	2.400961	2.117033	2.89606	2.89111	2.42993	2.828588	1.991628	2.9498159999999998	2.7831740000000003	2.4956099999999997
AKAP3	0.850929	0.113738	-0.1357	1.012895	0.65136	1.618179	1.576884	0.9941409999999999	2.099931	1.7389119999999998	1.877975	1.055863	1.795791	1.8939970000000002	1.784312	1.381748
ALDOC	2.616676	2.296513	2.777558	2.003041	2.505256	1.9957790000000002	2.2314700000000003	2.293403	2.162243	2.141729	1.830655	1.9916040000000002	2.174036	2.009872	2.552978	2.4601490000000004
ALKBH1	3.9068330000000002	3.853925	3.9918480000000005	3.898097	4.099462	4.139246	4.226686	4.330268	4.535117	4.349204	4.399355	4.542539	4.25477	4.631391000000001	4.51224	4.456099
ALOXE3	0.5230630000000001	0.383052	0.499979	0.362919	0.62584	0.032234	0.183852	0.500161	0.025185	0.739509	-0.255808	0.245232	0.153344	0.192142	0.253756	0.389229
ANKK1	-2.264367	-1.380525	-0.894279	-1.551691	-1.8521169999999998	-1.577453	-0.162477	-0.959203	-0.583973	-1.066023	-0.499485	-0.484984	-1.932389	0.46262	-0.866268	-0.322772
ANKRD24	-0.441666	-0.13783199999999998	0.285315	0.544316	0.5587489999999999	-0.099462	0.463222	-0.085079	1.16393	0.48604899999999995	0.525357	0.39026900000000003	0.303187	1.362066	0.139904	0.7320260000000001
ANKRD44	2.3923229999999998	2.401757	2.0812	1.7963630000000002	1.138762	2.546707	2.16756	2.330814	2.532722	2.142139	2.8638779999999997	2.942599	2.17188	2.9386959999999998	3.284389	2.334066
ANKRD63	1.192245	1.370231	1.489579	1.113734	0.706623	0.7685270000000001	0.654335	0.42252399999999996	0.974772	1.643464	0.463131	0.724869	1.085839	0.533504	0.655297	0.643034
ANPEP	-0.920423	-1.347666	-1.299927	-2.0911310000000003	-1.314997	-1.233407	-0.6037	-0.062625	-0.903698	-0.045583	0.662613	0.787744	-1.947643	0.335582	0.387358	-0.318741
AP003419.11	0.43941	0.765721	0.8208610000000001	0.555963	1.9283400000000002	1.694443	1.6967860000000001	1.671026	1.8555270000000001	-2.2370810000000003	1.991154	1.2014770000000001	-0.15353	2.721917	0.905235	1.404941
APOC1	5.9118059999999995	5.411178	5.7254830000000005	5.4407559999999995	5.734871	5.501453	5.570489	5.386044999999999	5.373922	5.298366000000001	5.267914	5.162838	5.590132	5.025597	5.208293	5.374942
APRT	8.670046000000001	8.640456	8.619712	8.51791	8.569405999999999	8.318878	8.18716	8.397973	8.222132	8.837728	7.959663000000001	8.197957	8.313784	8.102899	8.652691	8.550647
