STUDY_ID	SAMPLE_ID	RNF43
coadread_tcga_pan_can_atlas_2018	TCGA-AF-2687-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-2689-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-2690-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-2691-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-2692-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-2693-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-3400-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-3911-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-4110-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-5654-01	RNF43-HSF5
coadread_tcga_pan_can_atlas_2018	TCGA-AF-6136-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-6655-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-6672-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-A56K-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-A56L-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AF-A56N-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3574-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3575-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3580-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3581-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3583-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3584-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3591-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3592-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3594-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3598-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3599-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3602-01	WT
coadread_tcga_pan_can_atlas_2018	TCGA-AG-3605-01	WT
